;x;y
NO1;60.277570048571434;10.600777279999999
NO2;59.210873266666674;7.296395241025642
NO3;62.7033872;8.245529188372092
NO4;67.94531167741935;18.13874209032258
NO5;60.794818383333336;6.734565975
SE1;67.669313;21.075340
SE2;63.837299;15.651356
SE3;59.260720;15.246642
SE4;56.616549;13.787220
DK1;56.002774;9.403579
DK2;55.657007;12.288619
