,param_initialization,optimizer,qaoa_variant,warm_start,errors,depth,lagrangian_multiplier,amount_shots,max_tol,error_mitigation,vertexcover,graph_size,graph_name,time_elapsed,quantum_func_evals,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal
269,gaussian,COBYLA,vanilla,False,True,8,2,5000,1e-08,True,True,5,>>graph6<<DbS,795.5527753829956,276,"[0, 0, 0, 1, 1]",2,"[0, 0, 0, 1.0, 1.0]",2.0,"[3.23219316 1.39253938 2.62094955 1.26784147 3.24811466 2.35026825
 2.80277761 2.9105238  3.23961228 1.59480232 3.19023525 2.94665449
 2.56832223 1.56056295 3.32580813 1.62388879]",0.24
270,gaussian,COBYLA,vanilla,False,True,10,2,5000,1e-08,True,True,5,>>graph6<<DbS,1008.1604442596436,345,"[0, 0, 0, 1, 1]",2,"[0, 0, 0, 1.0, 1.0]",2.0,"[3.11715206 2.58736397 3.6239129  1.50419084 2.97264045 1.85678163
 3.12478217 1.73212474 3.23600709 1.35006164 4.08810046 2.59505925
 4.33607078 2.27649254 2.92604905 1.0896249  4.11009785 1.38665221
 3.58824555 2.62111661]",0.4075
271,gaussian,COBYLA,vanilla,False,True,8,2,5000,1e-08,True,True,5,>>graph6<<DxK,797.1248285770416,280,"[1, 0, 1, 0, 1]",3,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[3.69324735 1.60910639 3.20294958 2.68894666 3.29871206 1.68515689
 3.07931519 1.46587843 3.14656699 1.53651585 3.4165595  1.57422055
 3.66624888 1.66226731 3.40422602 1.45801053]",0.5707000000000001
272,gaussian,COBYLA,vanilla,False,True,8,2,5000,1e-08,True,True,5,>>graph6<<Dv[,762.2128098011017,262,"[1, 1, 1, 1, 0]",4,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[3.42500601 2.77316154 4.41824377 1.38260174 3.2376516  1.52008081
 3.13024553 1.26158962 3.37459275 1.01402392 3.14459894 2.43865294
 3.07524045 1.64401016 3.92008675 1.4633696 ]",0.23470000000000002
273,gaussian,COBYLA,vanilla,False,True,10,2,5000,1e-08,True,True,5,>>graph6<<DbS,1218.6071603298187,413,"[0, 0, 0, 1, 1]",2,"[0, 0, 0, 1.0, 1.0]",2.0,"[3.11055496 2.28042688 3.34238493 1.55154823 3.14898057 1.82428283
 2.59985338 1.31480636 3.2340877  1.34127898 4.13172022 1.90222123
 3.41688047 1.28124643 2.83158374 1.46952924 3.22612173 2.3014896
 2.44250173 2.61925411]",0.4178
274,gaussian,COBYLA,vanilla,False,True,10,2,5000,1e-08,True,True,5,>>graph6<<DxK,892.2245132923126,307,"[0, 1, 0, 1, 1]",3,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[3.55568467 2.64635462 2.99548571 2.08976623 3.20208967 2.04828033
 2.82680318 1.38350666 2.68956848 1.43060364 3.01936208 1.44049487
 2.91577936 1.33514804 2.98063809 1.40230359 3.2919387  1.62635013
 3.26366069 1.90896738]",0.4207
275,gaussian,COBYLA,vanilla,False,True,10,2,5000,1e-08,True,True,5,>>graph6<<Dv[,959.0481793880463,334,"[1, 1, 0, 0, 1]",3,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[3.03592704 2.4490422  3.30461101 1.58934201 4.35411498 1.47257732
 3.40177848 1.32709768 3.24598118 1.74840649 4.30023716 1.70239439
 2.90595567 1.44393501 3.26067448 1.18247603 4.62284189 2.44606733
 3.93845305 1.81646574]",0.5117
276,gaussian,COBYLA,vanilla,False,True,8,2,5000,1e-08,True,True,5,>>graph6<<DbS,734.4623129367828,255,"[0, 0, 0, 1, 1]",2,"[0, 0, 0, 1.0, 1.0]",2.0,"[4.18116669 2.40846116 3.66171994 1.94819751 3.47822326 1.43480687
 4.20049173 2.52932385 3.22293287 1.49467973 2.96855723 2.58264341
 3.1888368  1.549208   3.25546297 1.45753565]",0.1704
277,gaussian,COBYLA,vanilla,False,True,8,2,5000,1e-08,True,True,5,>>graph6<<DxK,744.9764833450317,260,"[1, 1, 1, 1, 0]",4,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[4.48326323 1.72576009 3.05767218 1.35013381 3.25301453 1.65589237
 3.08547174 1.64929694 3.1218464  2.60099919 2.95086839 1.54686323
 2.62708006 2.04794607 4.04574255 2.70306206]",0.37610000000000005
278,gaussian,COBYLA,vanilla,False,True,8,2,5000,1e-08,True,True,5,>>graph6<<Dv[,818.0784256458282,283,"[1, 1, 1, 1, 0]",4,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[4.50231147 1.55920823 3.84112247 1.60184715 3.96793769 1.29168364
 2.54086533 1.58215873 3.21377293 1.66902409 4.50245915 2.82758132
 3.18361588 2.72895296 3.20506645 1.3895578 ]",0.0151
