backend_mode,qaoa_variant,param_initialization,depth,warm_start,graph_size,graph_name,time_elapsed,quantum_func_evals,ratio,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal
noisy_sampling,vanilla,gaussian,10,True,5,>>graph6<<Dm{,861.0831570625305,271,0.8666666666666667,"[1, 1, 0, 1, 0]",3.25,"[1.0, 0, 0, 0, 1.0]",3.75,"[4.1451201  1.55391048 4.00223918 1.81659369 3.96046366 2.81677151
 2.8836609  1.40029953 2.26722451 1.4171727  2.76239388 1.26893678
 2.95262747 1.34928082 2.79543338 1.52620482 3.17356862 1.55996184
 3.03456057 1.47750711]",0.0658
noisy_sampling,vanilla,gaussian,10,True,7,>>graph6<<FkPsg,1099.6751825809479,266,0.7142857142857143,"[0, 1, 1, 1, 1, 0, 1]",3.75,"[0, 1.0, 1.0, 1.0, 1.0, 0, 0]",5.25,"[3.17559689 1.57820474 3.17802746 1.46984954 2.97468306 1.640805
 3.01105773 1.54679249 4.24885213 1.62185803 2.97731439 1.53005573
 3.04615912 2.58092622 3.40161127 1.57528692 3.54450751 1.57864755
 3.24509843 1.68463001]",0.019
noisy_sampling,vanilla,gaussian,10,True,7,>>graph6<<FkPsg,1230.978686094284,303,0.5238095238095238,"[0, 1, 0, 1, 1, 1, 1]",2.75,"[0, 1.0, 1.0, 1.0, 1.0, 0, 0]",5.25,"[4.09088003 2.686061   3.00768577 1.52841001 2.99790036 1.72181096
 3.16833436 1.58081284 2.88958011 1.59985157 3.08422037 1.48635363
 4.14570891 1.51753551 2.83233281 1.40289063 4.09133408 1.50886992
 2.99609435 1.49781822]",0.019200000000000002
noisy_sampling,vanilla,static,10,False,7,>>graph6<<FkPsg,1314.658884048462,320,1.0,"[1, 0, 0, 0, 0, 1, 1]",5.25,"[0, 1.0, 1.0, 1.0, 1.0, 0, 0]",5.25,"[ 0.23203451  0.86475462  0.39963716  0.71082935  0.50792131  0.77085031
  0.53617304  0.79522225  0.62057362  0.60477333  0.3093981   0.43095
  0.70144361  0.21577629  0.62324737  0.25616595  0.68693421  0.26425673
  1.2227894  -0.18529127]",0.039
noisy_sampling,vanilla,static,10,False,7,>>graph6<<FkPsg,1348.9247167110443,328,0.9523809523809523,"[0, 1, 0, 0, 1, 1, 1]",5.0,"[0, 1.0, 1.0, 1.0, 1.0, 0, 0]",5.25,"[ 1.14300992  0.92874337  0.22647788  0.81862919  0.39493141  0.74677037
  0.39061584  0.92945263  0.77508692  0.5702421   0.49397904  0.46082084
  0.45840152  0.41125236  0.68724576  0.30464268  0.62261602  0.18186345
  1.13839913 -0.0707688 ]",0.036199999999999996
noisy_sampling,vanilla,gaussian,10,True,7,>>graph6<<Fm~]w,1385.7935845851898,286,0.6785714285714286,"[0, 1, 0, 1, 0, 1, 0]",4.75,"[1.0, 0, 1.0, 1.0, 0, 0, 1.0]",7.0,"[3.0804974  1.82276359 3.34998949 1.66083777 3.15300987 1.54794817
 3.28401113 1.56615396 3.08056142 1.36878158 3.17816039 1.38317075
 2.92438137 1.4255807  3.13256618 1.44776118 3.32080193 1.53480746
 4.29363797 1.54077135]",0.0188
noisy_sampling,vanilla,gaussian,10,True,7,>>graph6<<Fm~]w,1408.586196422577,280,0.7857142857142857,"[0, 1, 0, 0, 0, 1, 1]",5.5,"[1.0, 0, 1.0, 1.0, 0, 0, 1.0]",7.0,"[4.38114235 1.60601155 3.22904509 1.54977596 2.82783336 1.64239079
 4.23627016 1.38813758 3.10871927 1.6612967  2.94024861 1.56342055
 2.83378846 1.60547825 2.86885011 1.48872972 3.16902848 1.63871694
 3.04311577 1.77422051]",0.012799999999999999
noisy_sampling,vanilla,gaussian,10,True,9,>>graph6<<HkPsgZ@,1193.650455713272,275,0.5333333333333333,"[0, 1, 0, 0, 1, 1, 1, 1, 1]",4.0,"[1.0, 1.0, 0, 0, 0, 0, 1.0, 1.0, 0]",7.5,"[4.38439789 2.63517457 3.36884566 1.51696758 3.04147804 1.76555449
 4.12972276 1.61000271 3.15516739 2.37546336 3.29625809 1.39899678
 3.12153512 1.55254285 3.07507524 1.48729627 3.03215643 1.60261742
 3.12261467 1.6899937 ]",0.01
noisy_sampling,vanilla,gaussian,10,True,9,>>graph6<<HkPsgZ@,1232.5943365097046,289,0.26666666666666666,"[1, 0, 1, 1, 1, 1, 1, 1, 1]",2.0,"[1.0, 1.0, 0, 0, 0, 0, 1.0, 1.0, 0]",7.5,"[3.95167538 1.63210298 2.83812883 2.69558865 3.64828124 1.4060301
 2.97852146 1.69287553 3.16754974 1.70293434 3.07024892 1.82835266
 2.7518348  1.48436924 2.99158995 1.58645243 2.99291146 1.59031902
 3.37139598 1.56068877]",0.0054
noisy_sampling,vanilla,static,10,False,5,>>graph6<<DkO,1152.8241064548492,331,1.0,"[1, 0, 0, 1, 0]",2.5,"[1.0, 0, 0, 1.0, 0]",2.5,"[ 0.20429554  0.81916245 -0.06904012  0.75070567  0.16012199  0.4690474
  0.43430101  0.81398241  0.82346087  0.46534638  0.54873075  0.39890383
  0.32898435  1.32652574  0.61878632  0.01230426  0.72813396  0.12091902
  0.89061771 -0.0358855 ]",0.3624
noisy_sampling,vanilla,static,10,False,5,>>graph6<<DkO,1072.651277065277,344,1.0,"[1, 0, 0, 1, 0]",2.5,"[1.0, 0, 0, 1.0, 0]",2.5,"[ 0.2954817   0.98716457 -0.50289131  0.60243609  0.42089456  0.40919678
  0.42879796  0.63038934  0.76134324  0.57622848  0.54455371  0.29209468
  0.60010574  1.30835655  0.82108977  0.35408581  1.38652495  0.07572197
  1.14740018 -0.03591704]",0.3876
noisy_sampling,vanilla,static,10,False,5,>>graph6<<Dm{,935.2200145721436,282,0.7333333333333333,"[1, 1, 0, 0, 1]",2.75,"[1.0, 0, 0, 0, 1.0]",3.75,"[1.06762346 1.93098007 0.18605123 0.80570654 0.2854697  0.70053579
 0.3683609  0.66264994 0.69297172 0.51490898 0.53966647 0.44407426
 0.62002621 0.35032426 0.71637954 0.2720548  0.8729856  0.17138743
 0.79070337 0.0734854 ]",0.0746
noisy_sampling,vanilla,static,10,False,7,>>graph6<<Fm~]w,1334.7233967781067,268,0.8214285714285714,"[1, 0, 0, 0, 1, 0, 1]",5.75,"[1.0, 0, 1.0, 1.0, 0, 0, 1.0]",7.0,"[1.10501317 0.89479441 0.18563792 0.80224945 0.26775144 0.70623072
 0.43623843 0.63308014 0.69744885 0.51179301 0.52979991 0.35126424
 0.62142325 0.35841266 0.61566247 0.25835301 0.80111516 0.2568456
 0.89169536 0.06816891]",0.0212
noisy_sampling,vanilla,static,10,False,7,>>graph6<<Fm~]w,1400.6277191638947,284,0.39285714285714285,"[1, 1, 1, 1, 0, 1, 1]",2.75,"[1.0, 0, 1.0, 1.0, 0, 0, 1.0]",7.0,"[1.08938474 0.98596635 1.17126633 0.82415    0.36054677 0.73442299
 0.38198196 1.61680533 0.46534038 0.65869088 0.55038641 0.4536541
 0.65676997 0.35660424 0.72022508 0.27033206 0.80338067 0.16614199
 0.89918639 0.0632353 ]",0.016
noisy_sampling,vanilla,static,10,False,5,>>graph6<<Dm{,1117.893942117691,336,1.0,"[1, 0, 0, 0, 1]",3.75,"[1.0, 0, 0, 0, 1.0]",3.75,"[1.11926764 0.93876014 0.28952796 0.85602211 0.03332203 0.83654519
 0.41482137 1.59354746 0.71274085 0.41812693 0.63363499 1.37322641
 0.7305585  0.37080963 0.68309953 0.30182526 0.72287463 0.23031655
 0.82720219 0.07464329]",0.1032
