,param_initialization,optimizer,qaoa_variant,warm_start,errors,depth,lagrangian_multiplier,amount_shots,max_tol,error_mitigation,vertexcover,graph_size,graph_name,time_elapsed,quantum_func_evals,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal
228,gaussian,COBYLA,vanilla,False,True,4,2,5000,1e-08,True,True,5,>>graph6<<DxK,405.05301427841187,140,"[0, 0, 1, 1, 1]",3,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[4.21367061 1.55081669 3.18644463 2.14760561 3.5506809  1.42970364
 3.34309764 1.23408323]",0.461
229,gaussian,COBYLA,vanilla,False,True,2,2,5000,1e-08,True,True,5,>>graph6<<DbS,214.5852017402649,75,"[0, 0, 1, 1, 1]",3,"[0, 0, 0, 1.0, 1.0]",2.0,[3.15673539 2.00176881 3.11314617 1.50525272],0.0046
230,gaussian,COBYLA,vanilla,False,True,6,2,5000,1e-08,True,True,5,>>graph6<<Dv[,588.6669442653656,204,"[1, 1, 0, 0, 1]",3,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[4.11081694 1.38405416 2.81908439 1.39842233 3.1258565  1.26535852
 2.78077578 1.318159   4.30754264 1.27348197 3.09882796 1.65481192]",0.4851
231,gaussian,COBYLA,vanilla,False,True,4,2,5000,1e-08,True,True,5,>>graph6<<Dv[,427.36801862716675,147,"[1, 1, 1, 1, 1]",5,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[2.47597015 1.5286334  3.19911237 1.34220136 2.79323638 0.95861126
 2.89859803 2.60247449]",0.1724
232,gaussian,COBYLA,vanilla,False,True,6,2,5000,1e-08,True,True,5,>>graph6<<DbS,579.461373090744,200,"[0, 0, 0, 1, 1]",2,"[0, 0, 0, 1.0, 1.0]",2.0,"[3.69501869 1.51998561 3.16030974 1.67621924 2.640295   1.31887272
 2.96464457 1.25276786 3.44760631 1.65556534 3.10518121 1.58844207]",0.38
233,gaussian,COBYLA,vanilla,False,True,6,2,5000,1e-08,True,True,5,>>graph6<<DxK,667.6380405426025,231,"[0, 1, 0, 1, 1]",3,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[3.6734153  1.8012995  3.48079234 2.67884655 3.05362225 1.26511193
 3.22614673 1.91085315 3.1554525  1.39538299 3.89801562 2.89215855]",0.3754
234,gaussian,COBYLA,vanilla,False,True,6,2,5000,1e-08,True,True,5,>>graph6<<Dv[,572.347971200943,200,"[0, 0, 1, 1, 1]",3,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[3.22131403 2.69963524 3.80336759 1.54147346 2.83750324 1.75909212
 3.40039975 1.49504581 2.71748261 2.72546158 3.01969409 1.61215043]",0.3415
235,gaussian,COBYLA,vanilla,False,True,2,2,5000,1e-08,True,True,5,>>graph6<<DxK,255.0639967918396,87,"[0, 0, 1, 1, 1]",3,"[0, 0, 1.0, 1.0, 1.0]",3.0,[2.00825933 1.37184158 3.55772511 1.64482848],0.5824
236,gaussian,COBYLA,vanilla,False,True,2,2,5000,1e-08,True,True,5,>>graph6<<Dv[,283.2165586948395,96,"[1, 1, 1, 1, 0]",4,"[0, 0, 1.0, 1.0, 1.0]",3.0,[4.22953282 1.3128806  2.89800339 2.24312991],0.2902
237,gaussian,COBYLA,vanilla,False,True,4,2,5000,1e-08,True,True,5,>>graph6<<DbS,381.32704186439514,132,"[1, 0, 0, 1, 1]",3,"[0, 0, 0, 1.0, 1.0]",2.0,"[3.28927162 1.52342866 3.09156676 0.78102635 2.91796653 1.44030404
 3.47340006 1.57606966]",0.1717
238,gaussian,COBYLA,vanilla,False,True,4,2,5000,1e-08,True,True,5,>>graph6<<DxK,420.6163740158081,146,"[0, 1, 0, 1, 1]",3,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[2.92458658 1.46148124 2.91751823 2.64395098 3.08788352 1.53130081
 2.59734003 2.63586187]",0.37160000000000004
239,gaussian,COBYLA,vanilla,False,True,4,2,5000,1e-08,True,True,5,>>graph6<<Dv[,415.40841031074524,145,"[1, 0, 1, 1, 1]",4,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[3.03179979 2.5650646  2.97453179 1.94757175 4.18934105 1.71067378
 3.20618268 1.64289573]",0.1373
