,param_initialization,optimizer,qaoa_variant,warm_start,errors,depth,lagrangian_multiplier,amount_shots,max_tol,error_mitigation,vertexcover,graph_size,graph_name,time_elapsed,quantum_func_evals,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal
561,gaussian,COBYLA,vanilla,False,False,6,2,5000,1e-08,True,True,5,>>graph6<<DbS,59.810235261917114,5000,"[0, 0, 0, 1, 1]",2,"[0, 0, 0, 1.0, 1.0]",2.0,"[3.78255785 1.1830497  3.70726468 1.38305758 2.65072473 1.32784193
 3.49951229 1.0058299  3.0208245  2.68165169 3.80187464 1.95410176]",0.6896
562,gaussian,COBYLA,vanilla,False,False,6,2,5000,1e-08,True,True,5,>>graph6<<DxK,64.83171606063843,5000,"[0, 1, 0, 1, 1]",3,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[3.09082768 2.68548126 4.16518379 2.39057707 2.72350956 1.36680365
 4.57310281 0.78142908 3.17949549 1.34045036 2.90172631 1.96249283]",0.8763
563,gaussian,COBYLA,vanilla,False,False,6,2,5000,1e-08,True,True,5,>>graph6<<Dv[,68.04020977020264,5000,"[1, 1, 0, 0, 1]",3,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[4.250366   1.86525358 3.05645688 2.00577644 3.43190801 1.49607871
 2.8221211  1.43007739 4.15069781 1.37317235 2.91428467 1.71857568]",0.6869000000000001
564,gaussian,COBYLA,vanilla,False,False,8,2,5000,1e-08,True,True,5,>>graph6<<DbS,61.96333146095276,5000,"[0, 0, 0, 1, 1]",2,"[0, 0, 0, 1.0, 1.0]",2.0,"[4.61400896 1.65075509 2.47845357 2.31003007 3.38733271 1.50661469
 2.5274674  1.81654701 3.45177313 2.82539221 3.26175586 2.14749539
 3.26073619 2.06869952 3.8753123  0.7759684 ]",0.9285
565,gaussian,COBYLA,vanilla,False,False,8,2,5000,1e-08,True,True,5,>>graph6<<Dv[,83.65177083015442,5000,"[1, 1, 0, 0, 1]",3,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[3.68943223 2.63894481 3.19933147 1.43629189 2.94053923 1.02486346
 4.70657283 2.24955501 3.30401135 1.66511572 4.06189579 1.35971008
 3.52226442 2.79042696 2.64557335 2.86831323]",0.8336
566,gaussian,COBYLA,vanilla,False,False,2,2,5000,1e-08,True,True,5,>>graph6<<DbS,4.111820459365845,876,"[0, 0, 0, 1, 1]",2,"[0, 0, 0, 1.0, 1.0]",2.0,[4.33482562 1.66940399 2.65854482 2.73414433],0.1349
567,gaussian,COBYLA,vanilla,False,False,2,2,5000,1e-08,True,True,5,>>graph6<<DxK,2.311154365539551,389,"[1, 1, 0, 0, 1]",3,"[0, 0, 1.0, 1.0, 1.0]",3.0,[3.63553092 2.09832762 3.81485887 2.30734049],0.268
568,gaussian,COBYLA,vanilla,False,False,2,2,5000,1e-08,True,True,5,>>graph6<<Dv[,1.2263309955596924,186,"[1, 1, 1, 1, 0]",4,"[0, 0, 1.0, 1.0, 1.0]",3.0,[4.28470739 1.77273174 2.80319916 1.48340457],0.3133
569,gaussian,COBYLA,vanilla,False,False,4,2,5000,1e-08,True,True,5,>>graph6<<DbS,17.994211196899414,2179,"[0, 0, 0, 1, 1]",2,"[0, 0, 0, 1.0, 1.0]",2.0,"[4.28163618 2.38766484 3.52769938 1.75641027 3.63317201 2.74845746
 3.57053191 1.87130599]",0.3655
570,gaussian,COBYLA,vanilla,False,False,8,2,5000,1e-08,True,True,5,>>graph6<<DxK,110.77239751815796,5000,"[1, 0, 1, 0, 1]",3,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[3.04670884 3.12419393 3.17400889 2.76262877 3.32834419 1.68568698
 3.45041782 1.54931149 3.06759045 1.56933827 2.91764868 1.57155676
 2.64735214 1.85482797 3.0277828  1.30607156]",0.7613000000000001
571,gaussian,COBYLA,vanilla,False,False,10,2,5000,1e-08,True,True,5,>>graph6<<DbS,108.85125541687012,5000,"[0, 0, 0, 1, 1]",2,"[0, 0, 0, 1.0, 1.0]",2.0,"[4.00762237 2.57806647 2.38095922 1.23105219 3.71098474 1.49206619
 2.96563909 1.93967261 4.38241954 1.98137503 3.70076869 1.61122308
 3.37278465 1.76645826 3.25996504 1.38203648 2.87114012 1.9019796
 2.95970906 1.57364976]",0.8064
572,gaussian,COBYLA,vanilla,False,False,10,2,5000,1e-08,True,True,5,>>graph6<<DxK,98.10578274726868,5000,"[0, 0, 1, 1, 1]",3,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[2.46534268 1.71592644 2.94087269 1.59065315 2.96559936 1.03168327
 3.10409193 1.57568897 2.69783757 1.44773441 3.4941813  1.50556105
 3.57094987 1.6821168  3.21440325 1.59415994 2.77867686 1.33932187
 2.9267066  2.71433686]",0.9778
573,gaussian,COBYLA,vanilla,False,False,4,2,5000,1e-08,True,True,5,>>graph6<<DxK,41.172104597091675,5000,"[1, 0, 1, 0, 1]",3,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[3.57305886 2.97358434 3.00909115 2.366485   2.29550114 1.57816596
 3.55843706 1.49373462]",0.6166999999999999
574,gaussian,COBYLA,vanilla,False,False,4,2,5000,1e-08,True,True,5,>>graph6<<Dv[,29.90332818031311,2618,"[1, 1, 0, 0, 1]",3,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[3.59091062 1.60509113 3.27856069 1.36884534 3.43083598 1.58420025
 3.97139694 1.71235538]",0.4747
575,gaussian,COBYLA,vanilla,False,False,6,2,5000,1e-08,True,True,5,>>graph6<<DbS,52.49452877044678,5000,"[0, 0, 0, 1, 1]",2,"[0, 0, 0, 1.0, 1.0]",2.0,"[3.83403618 1.92222382 4.37530839 1.67570025 3.7633375  1.85733496
 3.50763562 0.61575108 3.97250768 0.983728   2.23215686 2.56242973]",0.8083
576,gaussian,COBYLA,vanilla,False,False,6,2,5000,1e-08,True,True,5,>>graph6<<DxK,57.87416863441467,5000,"[0, 0, 1, 1, 1]",3,"[0, 0, 1.0, 1.0, 1.0]",3.0,"[3.50566345 1.06612632 4.05449287 1.74389121 4.78941517 2.99561734
 3.44188414 2.28504511 3.30626475 1.90454683 2.73586098 1.06992406]",0.8409
577,gaussian,COBYLA,vanilla,False,False,2,2,5000,1e-08,True,True,5,>>graph6<<DbS,0.8170156478881836,202,"[0, 0, 1, 1, 1]",3,"[0, 0, 0, 1.0, 1.0]",2.0,[2.47833224 2.16423229 3.71900861 1.29822118],0.1621
