param_initialization,optimizer,qaoa_variant,warm_start,errors,depth,lagrangian_multiplier,amount_shots,max_tol,error_mitigation,vertexcover,graph_size,graph_name,time_elapsed,quantum_func_evals,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal
gaussian,COBYLA,vanilla,False,False,10,2,5000,1e-08,True,True,7,>>graph6<<FkPsg,193.1153583526612,5000,"[1, 1, 0, 1, 1, 1, 0]",5,"[1.0, 0, 0, 1.0, 0, 1.0, 1.0]",4.0,"[4.53592652 1.53610025 3.23545574 1.72028574 3.26011449 1.92964297
 3.1021359  1.74430542 3.34702711 1.94070518 2.8335304  1.871558
 4.48234528 1.24829193 3.40505971 1.87429097 3.29028538 1.66931885
 3.06934875 1.5085701 ]",0.3617
gaussian,COBYLA,vanilla,False,False,4,2,5000,1e-08,True,True,5,>>graph6<<DkO,28.84012651443481,4855,"[1, 1, 0, 0, 0]",2,"[1.0, 1.0, 0, 0, 0]",2.0,"[3.51260508 1.11821825 2.80573197 2.08344616 3.61229918 2.2292407
 3.60585728 2.59080672]",0.5332
gaussian,COBYLA,vanilla,False,False,4,2,5000,1e-08,True,True,5,>>graph6<<Dm{,46.5628879070282,5000,"[1, 1, 1, 0, 1]",4,"[1.0, 0, 0, 1.0, 1.0]",3.0,"[3.17907579 2.53179141 3.64157731 1.03597552 3.88005273 2.02949021
 2.77936373 2.70915049]",0.0496
gaussian,COBYLA,vanilla,False,False,4,2,5000,1e-08,True,True,7,>>graph6<<FkPsg,84.20460987091064,5000,"[1, 0, 1, 1, 0, 0, 1]",4,"[1.0, 0, 0, 1.0, 0, 1.0, 1.0]",4.0,"[2.79422813 2.82791323 2.58367019 2.98000187 2.82241687 1.0690337
 3.06152494 0.7781783 ]",0.4794
gaussian,COBYLA,vanilla,False,False,4,2,5000,1e-08,True,True,7,>>graph6<<Fm~]w,104.30112385749815,4596,"[1, 1, 0, 1, 1, 1, 1]",6,"[1.0, 0, 0, 1.0, 1.0, 1.0, 1.0]",5.0,"[4.08426445 1.63048463 2.90797837 1.2645569  3.49685408 1.35382161
 3.39824629 1.65916454]",0.1906
gaussian,COBYLA,vanilla,False,False,4,2,5000,1e-08,True,True,9,>>graph6<<HkPsgZ@,76.1708312034607,3060,"[1, 1, 0, 1, 0, 1, 0, 1, 0]",5,"[1.0, 1.0, 0, 1.0, 0, 1.0, 0, 1.0, 0]",5.0,"[2.62644407 1.64009653 2.97233117 1.60617853 2.89650001 2.46601565
 2.96178522 1.66143197]",0.0864
gaussian,COBYLA,vanilla,False,False,6,2,5000,1e-08,True,True,5,>>graph6<<DkO,41.94913983345032,5000,"[1, 1, 0, 0, 0]",2,"[1.0, 1.0, 0, 0, 0]",2.0,"[3.35848712 1.14015921 2.91668237 2.19476864 2.66069115 1.23049358
 3.98928565 1.47989223 2.86191735 0.87748812 3.59939837 2.03248754]",0.6953
gaussian,COBYLA,vanilla,False,False,6,2,5000,1e-08,True,True,5,>>graph6<<Dm{,71.12877488136292,5000,"[0, 1, 1, 1, 1]",4,"[1.0, 0, 0, 1.0, 1.0]",3.0,"[2.9664765  2.53361291 2.9159298  1.39255008 4.02986647 1.4230484
 3.70859385 1.51803523 2.56129405 2.09374397 3.0540748  2.28521865]",0.1889
gaussian,COBYLA,vanilla,False,False,10,2,5000,1e-08,True,True,7,>>graph6<<Fm~]w,259.1004319190979,5000,"[0, 1, 1, 1, 1, 1, 1]",6,"[1.0, 0, 0, 1.0, 1.0, 1.0, 1.0]",5.0,"[2.81767777 2.35539656 3.12893446 1.60825085 4.09973547 1.72496993
 3.3620418  1.38779138 3.27272866 1.32672563 3.13502446 1.57475315
 3.32421495 1.65977386 2.90270111 1.31015408 3.23420954 1.25240018
 3.13603171 1.65140202]",0.149
gaussian,COBYLA,vanilla,False,False,10,2,5000,1e-08,True,True,9,>>graph6<<HkPsgZ@,289.6343171596527,5000,"[1, 0, 0, 1, 0, 1, 1, 1, 1]",6,"[1.0, 1.0, 0, 1.0, 0, 1.0, 0, 1.0, 0]",5.0,"[3.13395134 1.50061084 3.08249039 1.69141764 3.8710116  1.62281208
 2.96200446 1.75804254 3.14176834 1.64599775 4.87643334 2.55393851
 3.19450201 1.81018997 3.32867312 1.83873998 3.8911441  1.11124602
 2.52495765 2.49972736]",0.006
