,backend_mode,qaoa_variant,param_initialization,depth,warm_start,graph_size,graph_name,time_elapsed,quantum_func_evals,ratio,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal
900,noisy_sampling,vanilla,static,10,False,9,>>graph6<<Hm~]x^^,1920.0072011947632,285,0.7551020408163265,"[1, 1, 1, 0, 0, 0, 1, 0, 0]",9.25,"[1.0, 1.0, 0, 1.0, 0, 0, 0, 1.0, 0]",12.25,"[1.06725492 0.87154311 0.24689885 1.30279464 0.27036892 1.7271762
 0.36264335 0.62420139 0.4278283  0.53414671 0.53105627 0.4459376
 0.61829319 0.3583583  1.72257652 0.28323995 0.80073887 0.19269
 0.89179049 0.09133444]",0.004
901,noisy_sampling,vanilla,static,10,True,5,>>graph6<<DkO,1072.1711254119873,292,1.0,"[0, 1, 1, 0, 1]",2.5,"[1.0, 0, 0, 1.0, 0]",2.5,"[1.6524286  1.85421984 0.83644841 0.56842895 0.40180525 0.60722986
 0.47918486 0.39409874 0.33823576 0.40224633 0.45476327 0.75520973
 0.72923587 0.11522162 0.79130025 0.68825562 0.2970127  1.32318554
 0.8733937  1.13639292]",0.41759999999999997
902,noisy_sampling,vanilla,static,10,True,5,>>graph6<<Dm{,1121.1107339859009,303,1.0,"[0, 1, 1, 1, 0]",3.75,"[1.0, 0, 0, 0, 1.0]",3.75,"[0.99729806 0.81330594 1.60871878 0.44235562 0.15986935 0.85019598
 0.3651474  0.6155     0.44772567 0.37198736 0.09889834 0.3178255
 0.08330354 0.09263885 0.3750916  0.08099976 1.13417098 0.12373936
 1.13973154 1.47522449]",0.1658
903,noisy_sampling,vanilla,static,10,True,7,>>graph6<<FkPsg,1552.9666681289673,302,1.0,"[1, 0, 0, 0, 0, 1, 1]",5.25,"[0, 1.0, 1.0, 1.0, 1.0, 0, 0]",5.25,"[ 1.28909909  0.90084683  0.47140548  0.73976962  0.38304613  0.52503928
  0.31739378  0.62086721  0.69713858  0.56516672  0.16494091  0.49087347
  0.33907723 -0.05077503  0.631549    0.12151538  0.911297    0.01013525
  0.90536607  1.07659822]",0.04
904,noisy_sampling,vanilla,static,10,True,7,>>graph6<<Fm~]w,1889.1103703975677,317,0.7857142857142857,"[1, 1, 1, 0, 0, 0, 1]",5.5,"[1.0, 0, 1.0, 1.0, 0, 0, 1.0]",7.0,"[ 0.28894046  1.03174999  1.08157986  1.72558822  0.38302281  0.82110307
  1.15933965  0.54829198  0.63567234  0.45425271  0.55149701  0.27883812
  0.79677001  0.44218297  0.62041179 -0.19128435  0.84221449  0.40837511
  0.97423766  1.2883454 ]",0.0232
905,noisy_sampling,vanilla,static,10,True,9,>>graph6<<HkPsgZ@,1610.669261932373,311,0.9333333333333333,"[1, 1, 0, 0, 0, 1, 0, 0, 0]",7.0,"[1.0, 1.0, 0, 0, 0, 0, 1.0, 1.0, 0]",7.5,"[1.28179509 1.29706174 1.26439821 0.26689104 0.21591928 0.7249209
 0.28793683 0.69563491 0.63257734 0.28404809 0.34967596 0.19456707
 0.35482292 0.31909623 0.38399604 0.11729247 0.55151537 0.08697736
 0.81051248 1.14153364]",0.0176
906,noisy_sampling,vanilla,static,10,True,9,>>graph6<<Hm~]x^^,2043.8537962436676,300,0.46938775510204084,"[1, 0, 0, 1, 1, 1, 1, 1, 1]",5.75,"[1.0, 1.0, 0, 1.0, 0, 0, 0, 1.0, 0]",12.25,"[1.10813536 0.83203918 0.18412931 0.68655723 1.3253344  0.58331941
 0.22240923 0.53166326 0.29456597 0.33336594 0.42167331 0.44034828
 0.58552107 0.24732834 0.64686566 0.10496632 0.7042539  0.07230287
 0.67113004 0.03612228]",0.0037999999999999996
907,noisy_sampling,vanilla,gaussian,10,False,5,>>graph6<<DkO,1047.2698721885681,295,1.0,"[0, 1, 1, 0, 1]",2.5,"[1.0, 0, 0, 1.0, 0]",2.5,"[2.92905249 1.53890104 4.36220068 1.5658038  3.28492428 1.65641596
 3.02504118 1.41918542 3.06399903 1.64344471 3.20140439 2.6243544
 2.96834299 1.8622629  3.59432983 1.41012088 3.45445207 1.392785
 3.23377275 1.30363349]",0.3198
908,noisy_sampling,vanilla,gaussian,10,False,5,>>graph6<<Dm{,1011.735922574997,263,0.6,"[0, 1, 1, 1, 1]",2.25,"[1.0, 0, 0, 0, 1.0]",3.75,"[3.9618119  1.59453325 2.92983059 1.48391297 2.90671917 1.65602929
 4.35139487 1.60165182 2.93972008 1.50285322 3.05851994 1.57244003
 3.14318753 1.70834538 3.42455237 1.30193095 2.87383096 1.63026917
 2.73599355 1.59023104]",0.0696
909,noisy_sampling,vanilla,gaussian,10,False,7,>>graph6<<FkPsg,1422.7020659446716,283,0.9523809523809523,"[0, 1, 0, 0, 1, 1, 0]",5.0,"[0, 1.0, 1.0, 1.0, 1.0, 0, 0]",5.25,"[3.50802613 2.96215873 3.24268336 1.55079451 3.33555292 1.63144935
 3.04182476 1.93217998 3.49174379 1.55213116 3.59853512 2.0281141
 3.24200727 1.40157951 3.10538501 1.62261894 4.07762808 1.62495775
 3.09093135 1.54602801]",0.024
910,noisy_sampling,vanilla,gaussian,10,False,7,>>graph6<<Fm~]w,1664.2762854099274,282,0.4642857142857143,"[1, 0, 0, 0, 0, 0, 0]",3.25,"[1.0, 0, 1.0, 1.0, 0, 0, 1.0]",7.0,"[3.17622284 1.47242103 3.21885861 2.3190331  3.75397833 2.41866645
 3.096324   1.55663073 3.07774622 1.5372851  3.92204384 1.63649694
 4.01532578 2.66404593 3.24013387 1.53389685 3.08380767 1.48443261
 4.03755458 1.47742692]",0.016
911,noisy_sampling,vanilla,gaussian,10,False,9,>>graph6<<HkPsgZ@,1428.4252135753632,287,0.9,"[0, 1, 1, 0, 0, 0, 1, 1, 0]",6.75,"[1.0, 1.0, 0, 0, 0, 0, 1.0, 1.0, 0]",7.5,"[3.14354385 2.75077052 3.76233933 2.48067044 3.17588696 1.64981347
 3.78076981 1.3619337  3.99119378 1.46152174 3.31675995 1.61831622
 2.72435599 1.38937625 2.95970798 1.55185915 3.33633634 1.61336078
 3.43590633 1.59074108]",0.0072
912,noisy_sampling,vanilla,gaussian,10,False,9,>>graph6<<Hm~]x^^,1979.871378660202,285,0.7755102040816326,"[0, 1, 0, 0, 1, 0, 0, 0, 1]",9.5,"[1.0, 1.0, 0, 1.0, 0, 0, 0, 1.0, 0]",12.25,"[4.47098259 1.63240926 3.21428195 1.48363563 3.22951869 1.80244287
 3.20682381 1.48625893 3.07492606 1.60543074 3.13249007 1.61371395
 3.11698443 1.47650224 3.26143896 1.44873058 3.06691838 1.52066444
 3.21390078 1.63698034]",0.0034000000000000002
913,noisy_sampling,vanilla,gaussian,10,True,5,>>graph6<<DkO,1062.830117225647,295,1.0,"[1, 0, 0, 1, 0]",2.5,"[1.0, 0, 0, 1.0, 0]",2.5,"[4.20856036 1.47052092 3.34985105 1.54231268 3.76274561 1.52235284
 3.4251059  1.31990241 3.04311251 1.58391316 3.05586877 1.54491569
 2.74692939 1.40776405 3.86738044 1.2307044  2.94454194 1.78732526
 3.16161053 1.37536565]",0.1582
914,noisy_sampling,vanilla,gaussian,10,True,5,>>graph6<<Dm{,1024.383109331131,268,0.6666666666666666,"[1, 0, 1, 0, 1]",2.5,"[1.0, 0, 0, 0, 1.0]",3.75,"[4.08433065 2.51685109 3.23030038 2.76206591 3.26491911 1.69198518
 4.27647859 1.56253222 3.12373605 1.54618519 3.01011741 1.25881986
 4.09010205 1.60050192 2.80873507 1.39674793 3.37973601 1.67220134
 2.96070193 1.7294619 ]",0.07139999999999999
915,noisy_sampling,vanilla,gaussian,10,True,7,>>graph6<<FkPsg,1330.9498512744904,269,0.5714285714285714,"[0, 0, 0, 1, 1, 1, 1]",3.0,"[0, 1.0, 1.0, 1.0, 1.0, 0, 0]",5.25,"[4.05873112 2.61481111 3.01579797 1.52804457 3.28432433 1.71987246
 3.12632938 1.65873937 3.067152   1.57906675 3.2627926  1.64067184
 3.26801912 1.82287384 4.23059095 1.51027302 3.75172621 1.62651693
 3.29571322 1.62778507]",0.0154
916,noisy_sampling,vanilla,gaussian,10,True,7,>>graph6<<Fm~]w,1759.406400680542,299,0.5,"[0, 0, 1, 1, 0, 0, 0]",3.5,"[1.0, 0, 1.0, 1.0, 0, 0, 1.0]",7.0,"[3.16241168 2.64066243 4.45927747 1.41833336 2.86736289 0.97515854
 3.05102006 1.5181582  3.03181126 1.30090832 2.87218166 1.40336522
 3.30188651 1.18170389 2.85024186 1.34981012 2.91451456 1.50865124
 3.00765624 1.69505814]",0.0142
917,noisy_sampling,vanilla,gaussian,10,True,9,>>graph6<<HkPsgZ@,1400.2625284194946,280,0.7333333333333333,"[0, 0, 1, 1, 1, 1, 0, 0, 0]",5.5,"[1.0, 1.0, 0, 0, 0, 0, 1.0, 1.0, 0]",7.5,"[3.42782084 1.49138163 3.2670999  2.43618516 4.13044579 1.48126218
 3.28586195 2.54635968 2.90133579 1.7632504  3.13260274 1.53158149
 3.17877706 1.54600549 3.05524469 1.61367546 3.29538991 1.50955543
 2.99348388 1.51802723]",0.0074
918,noisy_sampling,vanilla,static,10,False,5,>>graph6<<DkO,1042.6095716953278,283,1.0,"[1, 0, 0, 1, 0]",2.5,"[1.0, 0, 0, 1.0, 0]",2.5,"[ 0.24568062  0.84284553 -0.01608712  0.73746095  0.29383465  0.69232404
  0.35572804  0.67433018  0.55286926  0.5339435   0.54515935  0.4556526
  0.62586695  1.35563063  0.71810648  0.30928607  0.79641099  0.20303421
  1.89590272  0.0785715 ]",0.16920000000000002
919,noisy_sampling,vanilla,static,10,False,5,>>graph6<<Dm{,1215.6070041656494,338,1.0,"[0, 1, 1, 1, 0]",3.75,"[1.0, 0, 0, 0, 1.0]",3.75,"[ 1.21505542  0.97209691 -0.23813153  0.67709525  0.36030057  0.82845081
  0.59043539  0.67514174  0.47185377  0.8932738   0.18379883  0.44116264
  0.23814624  0.43315148  0.48287619  0.140438    0.78520983  0.08327632
  2.03786757 -0.30022177]",0.148
920,noisy_sampling,vanilla,gaussian,10,True,9,>>graph6<<Hm~]x^^,2066.391275167465,302,0.673469387755102,"[1, 1, 0, 1, 0, 1, 1, 1, 0]",8.25,"[1.0, 1.0, 0, 1.0, 0, 0, 0, 1.0, 0]",12.25,"[2.600928   1.51743022 4.02143438 1.68301609 3.39000395 1.49256446
 3.00666391 1.53182822 3.31572518 1.67521988 2.98788688 1.47567076
 3.12943966 1.52834648 3.42666849 1.35553986 2.91570816 1.55303766
 3.3420032  1.46735956]",0.0037999999999999996
921,noisy_sampling,vanilla,static,10,False,7,>>graph6<<FkPsg,1525.1842257976532,314,0.9523809523809523,"[1, 0, 1, 1, 0, 0, 1]",5.0,"[0, 1.0, 1.0, 1.0, 1.0, 0, 0]",5.25,"[0.10311118 0.89907512 0.19048294 1.2678313  0.48351424 0.72197855
 1.36681769 0.6325902  0.45216699 0.53745857 0.5424048  0.45336209
 0.63086793 0.53869781 0.72131054 0.27572085 0.80731056 0.18576641
 0.71894644 0.09215602]",0.0238
922,noisy_sampling,vanilla,static,10,False,7,>>graph6<<Fm~]w,1927.56991481781,329,0.9285714285714286,"[0, 0, 1, 1, 0, 1, 1]",6.5,"[1.0, 0, 1.0, 1.0, 0, 0, 1.0]",7.0,"[ 0.0204922   0.87915318 -0.09348977  1.01572008  0.31662463  0.66564796
  0.4179063   0.62399127  0.59702344  0.54132133  0.57537888  0.06933535
  0.49672599  0.32580992  0.79551092  0.29260445  0.79812608  0.2136506
  1.01252352 -0.12329765]",0.0202
923,noisy_sampling,vanilla,static,10,False,9,>>graph6<<HkPsgZ@,1609.156381368637,308,0.7666666666666667,"[1, 0, 0, 1, 0, 1, 0, 1, 1]",5.75,"[1.0, 1.0, 0, 0, 0, 0, 1.0, 1.0, 0]",7.5,"[1.09617846 0.87962767 0.45110922 0.6810606  0.53038155 0.70523786
 1.36372603 0.6505906  0.46319903 0.5692352  0.50529693 0.48456865
 0.60918615 0.34013097 0.71798864 0.27877825 0.77352472 0.14912821
 0.86661407 0.03570587]",0.0114
924,noisy_sampling,vanilla,static,10,False,9,>>graph6<<Hm~]x^^,1836.6913232803345,277,0.6938775510204082,"[1, 1, 1, 0, 1, 0, 0, 0, 0]",8.5,"[1.0, 1.0, 0, 1.0, 0, 0, 0, 1.0, 0]",12.25,"[0.10000906 0.89998998 0.18890137 0.81112367 0.27777049 0.72222456
 0.36666892 1.63334599 0.45557786 0.58767137 0.54445013 0.33825618
 0.63333604 0.36668721 0.722235   0.2777665  0.81110656 0.18886124
 0.89999009 0.09997861]",0.003
