,graph_size,backend_mode,param_initialization,qaoa_variant,optimizer,warm_start,depth,vertexcover,amount_shots,max_tol,lagrangian_multiplier,time_elapsed,quantum_func_evals,ratio,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal,hamming_dist,graph_name
178,12,statevector,gaussian,vanilla,COBYLA,True,2,False,5000,1e-08,2,5.8136069774627686,197,0.9102564102564102,"[0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1]",17.75,"[0, 1.0, 1.0, 1.0, 0, 1.0, 0, 0, 1.0, 0, 0, 1.0]",19.5,[4.07737385 1.41892787 3.78361342 0.54829913],0.0023944919890423405,4,>>graph6<<KmzffJznl{hU
179,9,statevector,gaussian,vanilla,COBYLA,True,2,False,5000,1e-08,2,2.597491979598999,238,0.875,"[0, 1, 1, 0, 1, 0, 0, 0, 1]",7.0,"[1.0, 1.0, 0, 1.0, 0, 1.0, 1.0, 0, 0]",8.0,[4.04720084 1.38968682 3.46609419 0.89367305],0.015551265807579808,4,>>graph6<<Hh_iS_u
180,12,statevector,gaussian,vanilla,COBYLA,True,8,False,5000,1e-08,2,503.95891785621643,5000,0.9102564102564102,"[1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0]",17.75,"[0, 1.0, 1.0, 1.0, 0, 1.0, 0, 0, 1.0, 0, 0, 1.0]",19.5,"[4.09161041 1.5671332  3.12145237 1.63647905 3.27583395 2.4979494
 2.81464701 1.75098842 3.53291692 2.4138812  2.95410091 1.53939589
 3.29097375 1.80479965 3.37134441 1.29818308]",0.000538549623907165,6,>>graph6<<KmzffJznl{hU
181,9,statevector,gaussian,vanilla,COBYLA,True,10,False,5000,1e-08,2,304.9853529930115,5000,0.9318181818181818,"[1, 1, 1, 0, 1, 0, 0, 0, 0]",10.25,"[1.0, 1.0, 1.0, 0, 0, 0, 0, 0, 0]",11.0,"[5.13141849 1.71307668 2.53123228 0.93777588 2.54340055 1.02312447
 2.93041661 2.48875223 2.49686054 1.88181216 3.53357603 1.32255558
 3.36866597 1.66724617 3.37140604 1.45920176 2.639609   1.97264248
 3.30600712 1.10115686]",0.003877498195809386,4,>>graph6<<HmzffJz
182,6,statevector,gaussian,vanilla,COBYLA,True,2,False,5000,1e-08,2,12.931006908416748,1789,0.7368421052631579,"[0, 1, 1, 1, 1, 0]",3.5,"[0, 1.0, 1.0, 0, 0, 0]",4.75,[4.41786711 2.83291377 3.81031107 1.61044842],0.016937983914918575,6,>>graph6<<Emz_
183,9,statevector,gaussian,vanilla,COBYLA,True,2,False,5000,1e-08,2,5.683067083358765,403,0.8409090909090909,"[0, 0, 1, 1, 0, 1, 0, 1, 1]",9.25,"[1.0, 1.0, 1.0, 0, 0, 0, 0, 0, 0]",11.0,[3.87055226 1.45976514 2.82235699 0.64467072],0.0064308888728791215,6,>>graph6<<HmzffJz
184,12,statevector,gaussian,vanilla,COBYLA,True,2,False,5000,1e-08,2,19.26991295814514,656,0.9358974358974359,"[0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1]",18.25,"[0, 1.0, 1.0, 1.0, 0, 1.0, 0, 0, 1.0, 0, 0, 1.0]",19.5,[3.98648787 1.43999285 3.0426114  0.5508221 ],0.0013345909581959842,6,>>graph6<<KmzffJznl{hU
185,9,statevector,gaussian,vanilla,COBYLA,True,2,False,5000,1e-08,2,46.67836308479309,4231,0.625,"[0, 0, 0, 0, 0, 1, 0, 1, 1]",5.0,"[1.0, 1.0, 0, 1.0, 0, 1.0, 1.0, 0, 0]",8.0,[3.08218693 2.78210104 3.93979955 1.4017995 ],0.0051525376461490505,6,>>graph6<<Hh_iS_u
186,6,statevector,gaussian,vanilla,COBYLA,True,4,False,5000,1e-08,2,33.41675329208374,2649,1.0,"[1, 0, 0, 1, 1, 1]",4.75,"[0, 1.0, 1.0, 0, 0, 0]",4.75,"[3.4922073  1.18517816 1.98377003 1.61631134 5.23878501 0.78851858
 3.02373761 0.92336023]",0.2006952990687798,2,>>graph6<<Emz_
187,9,statevector,gaussian,vanilla,COBYLA,True,4,False,5000,1e-08,2,18.177265405654907,706,0.8409090909090909,"[0, 0, 0, 0, 1, 1, 1, 1, 0]",9.25,"[1.0, 1.0, 1.0, 0, 0, 0, 0, 0, 0]",11.0,"[3.56966351 2.78996543 3.49213343 1.56559047 3.10873702 2.6324219
 2.08859468 2.91787298]",0.009724849707599865,2,>>graph6<<HmzffJz
