,graph_size,backend_mode,param_initialization,qaoa_variant,optimizer,warm_start,depth,vertexcover,amount_shots,max_tol,lagrangian_multiplier,time_elapsed,quantum_func_evals,ratio,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal,hamming_dist,graph_name
326,6,statevector,gaussian,vanilla,COBYLA,False,8,False,5000,1e-08,2,73.82785058021545,5000,1.0,"[0, 1, 1, 0, 0, 0]",4.75,"[0, 1.0, 1.0, 0, 0, 0]",4.75,"[3.21005357 3.14816347 4.13312105 2.80345884 3.63201456 1.59023387
 3.78374685 1.56242759 2.38691278 1.76993783 4.82360843 1.93339255
 4.53195173 0.96889551 2.77319446 1.77733177]",0.27285404587347495,0,>>graph6<<Emz_
327,9,statevector,gaussian,vanilla,COBYLA,False,8,False,5000,1e-08,2,167.9832158088684,5000,0.8181818181818182,"[1, 0, 0, 0, 1, 1, 1, 0, 0]",9.0,"[1.0, 1.0, 1.0, 0, 0, 0, 0, 0, 0]",11.0,"[4.54624414 1.65146893 3.10744515 1.7042291  4.5212985  1.76122252
 3.03856953 1.64240135 3.3829698  1.64189637 2.40288577 1.33248343
 3.13900241 1.41050006 2.61482032 2.18228453]",0.009146710651865871,0,>>graph6<<HmzffJz
328,9,statevector,gaussian,vanilla,COBYLA,False,8,False,5000,1e-08,2,123.53518557548523,5000,0.71875,"[1, 0, 0, 0, 0, 1, 1, 1, 0]",5.75,"[1.0, 1.0, 0, 1.0, 0, 1.0, 1.0, 0, 0]",8.0,"[3.99637343 1.5147592  3.37459036 1.4630328  3.05265471 3.33666633
 3.13465394 1.04690895 2.96911192 1.09255712 3.2832302  1.56574778
 3.13013508 1.63268606 4.94118342 1.30519227]",0.05589776166268551,0,>>graph6<<Hh_iS_u
329,6,statevector,gaussian,vanilla,COBYLA,False,10,False,5000,1e-08,2,90.85920763015747,5000,1.0,"[0, 1, 1, 0, 0, 0]",4.75,"[0, 1.0, 1.0, 0, 0, 0]",4.75,"[3.7247152  1.50945625 4.48305947 2.11237824 2.53195616 2.91413136
 2.9271238  1.89575802 2.95543614 1.85229689 3.64562638 1.92679957
 3.5378011  2.2896677  4.50607574 1.19832903 2.27895573 0.95241581
 4.35590965 1.34373719]",0.42772446636209294,0,>>graph6<<Emz_
330,12,statevector,gaussian,multiangle,COBYLA,False,6,False,5000,1e-08,2,936.6639678478241,5000,0.9230769230769231,"[1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0]",18.0,"[0, 1.0, 1.0, 1.0, 0, 1.0, 0, 0, 1.0, 0, 0, 1.0]",19.5,"[4.4856799  4.24633068 4.11157857 4.63905944 3.92324969 4.2748788
 3.72293656 3.56251448 3.13686844 4.71315594 3.18339277 3.85692209
 3.7973949  3.24574354 2.9227012  3.18602413 3.77977986 3.09426429
 3.20223831 3.08530642 3.16559225 4.58454435 3.12135953 3.1746796
 3.42593921 3.50732156 3.019278   3.11771757 2.91306059 3.46138709
 3.25363175 3.18411536 3.1864172  4.54300453 3.18362668 2.93382585
 3.58958904 3.26641627 3.2587729  3.14445308 4.80914763 3.35326477
 4.36546497 3.2104041  2.37406353 1.85894426 1.54685004 2.53999611
 1.66554413 1.48985127 1.55219236 1.69521389 1.48889161 1.55063444
 1.98561886 1.7279603  3.9189558  3.37689137 2.88962472 2.84056806
 2.9176983  3.03103832 2.37211461 3.06245872 3.18467347 3.31156561
 2.94898758 3.44352594 3.06959535 3.30816866 2.91356806 3.22400022
 3.32388791 3.52547948 3.66450976 3.18864062 3.0794919  3.10582101
 3.89225309 1.95916477 2.95905445 1.48024947 3.4097389  2.77939327
 2.37881161 3.80270007 3.46387351 2.54530718 2.8322363  4.21444717
 3.82560776 4.41116245 2.69011848 2.45289744 3.03220695 3.08473811
 3.94803604 2.6895445  2.63008341 3.04947511 2.17511328 1.79043081
 1.07362818 2.27688899 2.6144366  1.91149148 1.57575407 1.88726179
 1.45324729 1.35851644 0.5420225  1.87240445 3.84798634 3.71399631
 3.2485334  3.61676152 4.19210703 3.0506583  3.30389338 3.29033484
 3.51896124 2.87281366 3.0252905  4.66438246 2.99561867 2.95439663
 2.90988597 3.33263243 3.27168399 4.11495931 3.19614851 3.1232932
 3.03218673 3.11574041 3.07348538 4.43069497 3.17560022 3.22282515
 4.24406752 3.26798421 2.99586976 3.30680209 3.04717975 3.11423318
 3.19902696 2.94649295 3.21118164 2.97911125 2.86746108 2.97403861
 3.3011618  3.16353855 3.14684962 3.15395382 3.27470419 3.13571977
 1.64480106 1.73047689 1.49182136 1.82032844 1.8566773  1.78254479
 1.51095892 1.89677084 1.90078993 1.48258135 1.70075829 1.74424097
 3.38474449 3.37884995 3.18385011 2.96372746 3.28515809 2.55855371
 3.06042697 3.05113372 3.25705057 3.50925229 3.16549297 3.06531405
 3.15739825 3.38413442 3.2894393  3.63359104 3.16022216 3.07465904
 3.37249365 3.00089175 2.95776184 3.32129617 2.82558834 3.26624739
 3.25953198 3.32920287 3.18174249 3.07718568 3.14966787 3.06841466
 3.0030573  3.02230076 3.41593853 3.03818406 3.36654661 3.18646864
 4.18402738 3.00500125 4.2834899  2.76650482 3.24937992 3.49382094
 3.0867089  3.00059159 1.56253298 1.56411227 1.88491646 1.64825961
 1.5385753  1.1829841  1.81608011 1.31612764 1.59626885 1.62710366
 1.53213095 1.63850491 3.73612302 3.5470038  3.1052239  2.78432373
 3.19926337 3.0819505  3.12537838 3.49439178 4.23464989 3.1256562
 3.04690947 3.34238549 3.1654262  3.13613174 2.73930515 3.18794013
 3.13763214 3.38641391 3.25544633 3.21765471 3.00094771 2.88295595
 2.82401923 3.51782894 2.72459271 3.16173133 2.98096801 3.13690958
 3.38627599 3.1887035  2.97405704 3.76537314 5.21341023 3.11266835
 3.10968201 2.86214561 4.0147239  3.16594201 3.27229936 2.75827392
 3.33780828 2.64375583 4.44859071 4.63755532 3.19187481 1.63493399
 2.13209557 1.53881628 1.47665993 2.56414542 1.56719492 1.53617442
 1.56865777 1.53503201 1.55335371 1.65029094 2.91200944 3.1338214
 3.07416316 2.87023832 3.39414393 2.86412834 3.08419716 3.16395238
 3.2215058  3.437718   3.49330559 2.60010943 3.07370089 2.48813245
 2.81661938 4.53678668 3.68096082 4.69441376 3.25337043 4.08659758
 3.94050986 4.62503321 4.66776976 3.33198451 3.22231619 3.16028387
 3.72951498 2.99842426 2.99839516 3.02524611 3.15202414 3.09664573
 3.15134872 3.4549438  3.136414   3.2398148  3.11331172 2.79391316
 3.76798458 3.39203079 2.94305779 3.29723459 3.2059961  2.94324807
 1.63239097 1.67866216 1.68328319 1.57525216 1.42703852 1.95789545
 1.62871338 1.6274501  1.65392916 1.58241356 2.30435457 1.61388442]",3.1850474805785364e-07,0,>>graph6<<KmzffJznl{hU
331,9,statevector,gaussian,multiangle,COBYLA,False,10,False,5000,1e-08,2,772.5182845592499,5000,0.9772727272727273,"[0, 0, 0, 1, 1, 1, 1, 1, 0]",10.75,"[1.0, 1.0, 1.0, 0, 0, 0, 0, 0, 0]",11.0,"[4.47764216 4.04515843 4.19443907 4.18345979 4.28517679 3.94314998
 3.1333747  3.17396463 3.18758263 2.93066631 3.92232911 3.22789456
 3.8732447  4.23044742 3.94897239 3.28994365 3.16342957 3.29082727
 3.18695922 3.00251474 3.57458729 3.0559681  3.94941366 3.98051944
 4.40123129 1.50715026 1.58001968 1.62659534 2.46213912 1.39377468
 1.71139456 1.45634722 1.63447909 1.52662771 3.05177905 3.27471574
 3.37549359 4.63811404 3.19003671 3.07313749 3.12500754 4.30247253
 3.36057441 3.15052221 3.11730631 3.45628188 3.01076438 2.83800777
 2.92753183 3.59825837 1.9811303  3.46237762 3.23458358 3.17009825
 3.59553189 2.50612683 2.78451294 3.06585498 3.80295352 1.72909016
 1.75931428 3.05660951 1.41778229 1.53814737 1.83171223 1.50304615
 1.65588877 1.74792132 2.27908699 3.16836874 3.07942195 2.66029026
 3.1208256  2.76563435 3.14799386 3.06878961 2.99998656 3.55885699
 3.51894625 3.21194394 3.05040968 3.83840939 3.11618888 3.14433701
 3.57225847 3.03759059 3.26714612 3.39396729 3.24085093 3.40190072
 1.33736483 2.91822105 3.49362889 2.05310128 2.18904736 0.36562545
 1.50135947 1.59969773 2.59395592 1.62285945 2.0402774  1.44807642
 4.18008286 4.31594751 3.40104843 2.64172816 1.55865867 3.80297697
 1.93946868 4.43035877 4.54877802 3.36566741 3.69967197 2.89282255
 2.9338279  4.25908789 3.18779665 3.06132257 2.81762096 2.96314072
 4.19569266 2.99132839 2.8011303  2.71046965 2.83962621 3.38314085
 3.13570275 1.69665571 1.64364275 1.55355368 1.4731243  1.55563122
 1.47225678 1.65262857 1.58734535 1.47415217 3.34286102 3.31338331
 3.53236746 3.15955853 3.371858   3.38164413 2.86351253 3.31417811
 4.00348374 3.22484675 3.13146418 3.32578612 2.69988094 3.42709178
 4.0722906  3.20525292 3.15622566 3.88485574 2.74543085 2.80056105
 3.15503311 3.08719083 2.87592952 3.09160037 3.08765985 1.46227167
 1.60833602 1.65647342 1.30085685 1.60997979 1.88427171 1.90235577
 1.46153061 2.65223527 3.21299413 3.21462553 3.20162378 3.00021063
 2.32084056 3.26185825 2.90562782 3.17838133 2.84830784 3.47845957
 3.22231294 3.35543785 3.19656127 3.64818453 3.36895006 3.15135347
 3.29237531 3.06273786 3.32906926 4.09879749 3.63978513 2.88549266
 3.47033774 3.24533552 3.39366198 1.41236934 1.51306776 1.51914
 1.63189079 1.72930409 1.43328061 1.74086109 1.18101392 1.89173648
 3.60951514 3.09027371 3.61023603 2.89897496 3.41049347 3.42601297
 3.25891449 3.21083169 3.30886046 3.47103849 3.20206432 3.17935843
 3.34472724 2.974545   3.26552083 3.2219716  3.07307696 3.20171582
 3.11515993 3.04853692 3.11797879 3.20617952 3.11887683 3.33098819
 3.12100566 1.57069107 1.47337641 1.45049096 1.61664163 1.45404251
 1.88215795 1.6627576  1.21898119 1.63329403 2.5616407  2.8263742
 3.17160645 3.13553412 3.33171984 2.74142981 3.38083509 3.36016402
 3.07150182 2.96838678 3.23984478 3.0326748  2.85152852 3.21908784
 3.59757748 3.09494874 3.2115428  3.12549132 3.29615554 3.38026714
 3.25858914 2.7597185  3.11858326 3.49597053 2.84444406 1.01952456
 1.65901543 1.67729102 2.5934565  1.67816111 2.93402605 1.80987507
 2.74468353 1.82404774 2.69080981 3.22159627 3.2414796  3.13114106
 2.89874497 3.39518943 3.15005772 3.11298543 3.09073359 3.04829814
 3.66854363 2.91034063 3.12989966 3.27298369 3.10387665 3.53696281
 3.08979179 2.98023641 3.01170449 3.10336181 2.90656967 3.62391511
 3.19523497 3.20250722 3.32894041 1.20000431 2.507135   1.49369841
 1.63800618 1.55360083 1.62168989 1.54040591 1.51877811 1.6363609
 3.23720939 3.55597297 3.11707274 3.09885194 2.90925528 3.0481216
 2.98659682 3.31841922 4.66298982 3.90964731 2.88695272 3.2287196
 4.40360628 3.07558302 3.08892555 3.19015444 3.36013833 2.93789167
 3.01951565 3.33906966 3.14928157 2.98993184 3.2716236  3.35708779
 3.09179208 1.87003029 1.5689694  1.61701459 1.8797755  1.07457377
 1.53123341 1.61690715 2.79355166 0.76541599]",0.25438565708496885,0,>>graph6<<HmzffJz
332,12,statevector,gaussian,vanilla,COBYLA,False,6,False,5000,1e-08,2,291.1932988166809,5000,0.7692307692307693,"[0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0]",15.0,"[0, 1.0, 1.0, 1.0, 0, 1.0, 0, 0, 1.0, 0, 0, 1.0]",19.5,"[3.14277947 1.57266217 4.72477601 1.20220127 3.13656414 1.5025457
 3.57388985 2.63923273 3.09857263 2.71050511 2.80951861 1.40137161]",3.715725222814078e-05,0,>>graph6<<KmzffJznl{hU
333,12,statevector,gaussian,vanilla,COBYLA,False,8,False,5000,1e-08,2,401.1770830154419,5000,0.8461538461538461,"[1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0]",16.5,"[0, 1.0, 1.0, 1.0, 0, 1.0, 0, 0, 1.0, 0, 0, 1.0]",19.5,"[3.15443967 1.53661502 3.12874031 1.55790593 3.51603332 1.56741958
 3.13815135 1.63246516 3.5966615  1.87781579 2.85359161 1.65903218
 3.12906125 2.86405307 2.69994457 0.96176441]",0.00012246382215887,0,>>graph6<<KmzffJznl{hU
334,9,statevector,gaussian,vanilla,COBYLA,False,10,False,5000,1e-08,2,220.17964935302734,5000,0.7272727272727273,"[0, 1, 1, 0, 1, 0, 0, 0, 0]",8.0,"[1.0, 1.0, 1.0, 0, 0, 0, 0, 0, 0]",11.0,"[4.03789954 2.37037822 4.18879519 1.53833537 2.86794715 1.92444097
 2.86285929 1.73652608 3.17097495 1.29912679 2.0769917  2.77900205
 3.28524927 2.90920006 3.20223345 1.41222503 3.68429738 1.53615705
 3.26917221 1.26430992]",0.030396849235397056,0,>>graph6<<HmzffJz
335,9,statevector,gaussian,vanilla,COBYLA,False,10,False,5000,1e-08,2,141.3244194984436,5000,1.0,"[1, 1, 0, 1, 0, 1, 1, 0, 0]",8.0,"[1.0, 1.0, 0, 1.0, 0, 1.0, 1.0, 0, 0]",8.0,"[4.74749293 1.52965276 3.0491853  1.50517159 3.22663595 1.56902679
 3.22937037 1.53111865 3.36863721 1.32723008 3.26172417 1.58501455
 2.47462587 2.08872279 4.25594705 1.61525289 3.38282395 2.02705399
 3.58991554 1.82143266]",0.17521697315501894,0,>>graph6<<Hh_iS_u
