,backend_mode,qaoa_variant,param_initialization,depth,warm_start,vertexcover,graph_size,graph_name,time_elapsed,quantum_func_evals,ratio,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal
19,statevector,vanilla,gaussian,2,True,True,7,>>graph6<<Fm~]w,8.858072996139526,165,1.4,"[1, 1, 1, 1, 1, 1, 1]",7,"[1.0, 0, 0, 1.0, 1.0, 1.0, 1.0]",5.0,[4.29288866 1.59023525 3.52789816 2.52214936],0.1654215731208577
20,statevector,vanilla,gaussian,1,False,True,9,>>graph6<<Hm~]x^^,61.871116638183594,1695,1.2857142857142858,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",9,"[0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0, 1.0]",7.0,[3.15207263 1.26826139],0.01450862069132066
21,statevector,vanilla,gaussian,2,True,True,7,>>graph6<<FkPsg,132.11002111434937,2790,1.0,"[1, 0, 0, 1, 0, 1, 1]",4,"[1.0, 0, 0, 1.0, 0, 1.0, 1.0]",4.0,[3.19224542 2.7374893  4.13880633 1.7814598 ],0.25854400224954005
22,statevector,vanilla,gaussian,2,True,True,9,>>graph6<<HkPsgZ@,195.4076600074768,5000,1.0,"[1, 1, 0, 1, 0, 1, 0, 1, 0]",5,"[1.0, 1.0, 0, 1.0, 0, 1.0, 0, 1.0, 0]",5.0,[3.18048214 2.72275755 4.08746877 1.87489923],0.08769504704486872
23,statevector,vanilla,gaussian,2,True,True,9,>>graph6<<Hm~]x^^,31.18949580192566,463,1.0,"[1, 1, 1, 0, 1, 1, 1, 0, 1]",7,"[0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0, 1.0]",7.0,[4.15143107 1.67565539 3.4322887  2.76265556],0.1593915672149014
24,statevector,vanilla,gaussian,4,False,True,5,>>graph6<<DkO,93.13754034042358,5000,1.0,"[1, 1, 0, 0, 0]",2,"[1.0, 1.0, 0, 0, 0]",2.0,"[3.54900514 1.16714901 2.45891835 1.71318842 3.58361121 2.13906975
 3.23125473 1.25789929]",0.47734528157963063
25,statevector,vanilla,gaussian,4,False,True,5,>>graph6<<Dm{,58.22424936294556,2376,1.3333333333333333,"[1, 1, 1, 0, 1]",4,"[1.0, 0, 0, 1.0, 1.0]",3.0,"[4.16530068 2.01050211 2.9059544  1.92047311 3.6325997  1.59166388
 2.73401241 2.23225508]",0.25596777980047203
26,statevector,vanilla,gaussian,4,False,True,7,>>graph6<<FkPsg,177.3011598587036,5000,1.0,"[1, 1, 0, 1, 0, 1, 0]",4,"[1.0, 0, 0, 1.0, 0, 1.0, 1.0]",4.0,"[3.43878578 1.10829258 2.87249132 2.12871201 3.47552246 2.21835333
 3.44022627 2.89669131]",0.40406220860689096
27,statevector,vanilla,gaussian,4,True,True,5,>>graph6<<DkO,12.164633989334106,1032,1.0,"[1, 1, 0, 0, 0]",2,"[1.0, 1.0, 0, 0, 0]",2.0,"[3.14159265 2.19245776 3.14159262 1.96081677 4.25923428 2.02395085
 2.30029924 0.84129326]",0.9999999999999024
28,statevector,vanilla,gaussian,4,True,True,7,>>graph6<<FkPsg,54.61327409744263,1611,1.0,"[1, 0, 0, 1, 0, 1, 1]",4,"[1.0, 0, 0, 1.0, 0, 1.0, 1.0]",4.0,"[3.8792251  1.45700117 3.96874991 2.18706817 3.0107764  3.00721808
 2.33142568 3.10682951]",0.8390098722296666
29,statevector,vanilla,gaussian,4,True,True,7,>>graph6<<Fm~]w,52.04942464828491,1287,1.0,"[1, 0, 0, 1, 1, 1, 1]",5,"[1.0, 0, 0, 1.0, 1.0, 1.0, 1.0]",5.0,"[3.83492336 1.57443915 3.56345272 1.85324851 2.85166853 1.39237423
 4.34900493 3.02050194]",0.3753449810617222
30,statevector,vanilla,gaussian,4,False,True,7,>>graph6<<Fm~]w,151.90137720108032,5000,1.0,"[1, 1, 0, 1, 1, 1, 0]",5,"[1.0, 0, 0, 1.0, 1.0, 1.0, 1.0]",5.0,"[3.69780205 2.06221922 3.51968258 1.66710168 3.38912533 1.43446941
 3.08706014 1.12566478]",0.45482372359689505
31,statevector,vanilla,gaussian,4,False,True,9,>>graph6<<HkPsgZ@,183.80034637451172,5000,1.0,"[1, 1, 0, 1, 0, 1, 0, 1, 0]",5,"[1.0, 1.0, 0, 1.0, 0, 1.0, 0, 1.0, 0]",5.0,"[3.56096538 1.45656226 3.28074074 1.88819856 3.40286359 2.38792417
 3.85473256 2.46494898]",0.13240500388262552
32,statevector,vanilla,gaussian,4,False,True,9,>>graph6<<Hm~]x^^,237.11847829818726,5000,1.8571428571428572,"[1, 0, 0, 0, 0, 1, 1, 1, 1]",13,"[0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0, 1.0]",7.0,"[3.11748026 1.57100029 3.14200303 2.35566334 2.55704956 1.72851847
 3.43351464 1.679181  ]",0.024717946714547877
33,statevector,vanilla,gaussian,4,True,True,5,>>graph6<<Dm{,134.37558317184448,5000,1.0,"[1, 0, 0, 1, 1]",3,"[1.0, 0, 0, 1.0, 1.0]",3.0,"[3.97010886 1.72964483 2.13309238 0.50419119 3.14153579 3.14153438
 3.14152686 3.14158089]",0.9999999982334045
34,statevector,vanilla,gaussian,4,True,True,9,>>graph6<<HkPsgZ@,246.24646091461182,5000,1.0,"[1, 1, 0, 1, 0, 1, 0, 1, 0]",5,"[1.0, 1.0, 0, 1.0, 0, 1.0, 0, 1.0, 0]",5.0,"[3.63902711 1.47506243 3.15636072 1.38890128 2.85609144 1.96447371
 4.38963278 1.70713778]",0.5330783564639372
