param_initialization,optimizer,qaoa_variant,warm_start,errors,depth,graph_size,graph_name,time_elapsed,quantum_func_evals,obj_func_evolution,quantum_solution,quantum_obj_value,classic_solution,classic_value
uniform,COBYLA,vanilla,False,True,1,9,HCrM\^~,104.4510908126831,17,"[array(0.30822964), array(0.04820139), array(0.0052398), array(0.05518539), array(0.04974008), array(0.01790935), array(-0.12382286), array(-0.21605564), array(-0.25173778), array(-0.0131574), array(-0.1117258), array(-0.08298719), array(-0.20657195), array(-0.1978894), array(-0.08959638), array(-0.17877987), array(-0.07796817)]","[1, 1, 1, 0, 0, 0, 1, 0, 1]",8.108051462970264,"[0, 0, 1.0, 1.0, 1.0, 1.0, 1.0, 0, 0]",9.397804657366132
uniform,COBYLA,vanilla,False,True,1,9,H?`fNrt,117.9635636806488,19,"[array(-0.80780651), array(1.57570438), array(-0.33041407), array(0.4670769), array(1.48803997), array(-0.96306232), array(-0.82857658), array(-0.35599094), array(-0.74096618), array(-0.90119476), array(-1.10148506), array(-1.05520091), array(-1.07753169), array(-1.03570207), array(-1.06960808), array(-1.07331597), array(-1.01990034), array(-1.12424254), array(-1.06009253)]","[0, 0, 0, 1, 0, 1, 1, 1, 0]",6.460838055341055,"[0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0]",6.784150497834054
uniform,COBYLA,vanilla,False,True,1,9,H?o~FB~,127.57255983352661,21,"[array(-0.22701279), array(0.33316252), array(-0.47728147), array(0.2989053), array(-0.24391461), array(-0.53598849), array(0.5561262), array(-1.01219491), array(-0.21080292), array(-0.76159351), array(-1.03836198), array(-0.96624629), array(-0.96362369), array(-1.06433637), array(-1.02864215), array(-1.00871346), array(-1.04088512), array(-1.03335609), array(-1.07262659), array(-1.13037361), array(-1.06268331)]","[1, 1, 1, 0, 0, 0, 0, 0, 1]",8.466571687859473,"[1.0, 1.0, 1.0, 0, 0, 0, 0, 0, 1.0]",8.466571687859474
uniform,COBYLA,vanilla,False,True,1,8,GCZMY{,107.37982225418091,18,"[array(-0.10015657), array(0.07670835), array(0.08815071), array(-0.04922389), array(0.0097613), array(-0.19851648), array(-0.21121193), array(-0.1689523), array(-0.14666317), array(-0.19400753), array(-0.22061346), array(-0.14224056), array(-0.21645101), array(-0.15174421), array(-0.15560197), array(-0.17303652), array(-0.17602271), array(-0.22192492)]","[0, 1, 0, 1, 1, 0, 1, 0]",4.479633372129631,"[1.0, 0, 0, 0, 1.0, 0, 0, 1.0]",6.1656518279704855
uniform,COBYLA,vanilla,False,True,1,8,GCqnfc,96.05384922027588,16,"[array(0.14789125), array(-0.00044077), array(0.12691389), array(0.18571116), array(0.21398323), array(0.04600258), array(-0.00178957), array(0.11745354), array(-0.00298563), array(-0.04534195), array(-0.01102131), array(0.00679032), array(0.06799563), array(-0.01250377), array(0.035411), array(0.00405019)]","[1, 0, 0, 1, 1, 1, 0, 0]",2.910799229255083,"[0, 1.0, 1.0, 1.0, 0, 1.0, 0, 0]",5.497646681997324
uniform,COBYLA,vanilla,False,True,1,8,GCrb`o,107.70494198799133,18,"[array(-0.03482833), array(0.12166557), array(0.27570277), array(-0.03421371), array(0.02209518), array(-0.16801774), array(0.01756683), array(-0.01270145), array(-0.20027718), array(-0.17614117), array(-0.15076479), array(-0.13262058), array(-0.22043535), array(-0.26564247), array(-0.20677934), array(-0.16267342), array(-0.14445924), array(-0.1910134)]","[1, 0, 0, 1, 0, 0, 0, 1]",3.688876050507003,"[1.0, 1.0, 1.0, 0, 0, 0, 0, 1.0]",5.746790969279266
uniform,COBYLA,vanilla,False,True,1,8,G?`c^c,108.08347582817078,18,"[array(0.12528977), array(-0.79676006), array(-0.36407626), array(1.09678237), array(-0.26914463), array(0.0073648), array(-0.74029095), array(-0.86970696), array(-0.84090221), array(-0.86028231), array(-0.80804885), array(-0.85973982), array(-0.87411782), array(-0.84821673), array(-0.88555721), array(-0.88319747), array(-0.84970501), array(-0.85301359)]","[1, 1, 1, 1, 0, 0, 1, 0]",5.456219255426035,"[0, 0, 0, 0, 1.0, 1.0, 0, 1.0]",5.456219255426036
uniform,COBYLA,vanilla,False,True,1,8,GCY^fo,158.63612461090088,25,"[array(-0.20764813), array(0.33434549), array(-0.05304326), array(1.50496793), array(0.01937772), array(0.35185173), array(-0.11875446), array(-0.39277625), array(-0.40051099), array(-0.51594668), array(-0.67012554), array(-0.78034956), array(-0.60978108), array(-0.81205775), array(-0.99665546), array(-1.01711233), array(-0.9789677), array(-0.71073408), array(-0.96427808), array(-1.03454974), array(-1.07359258), array(-0.98715511), array(-0.99480575), array(-1.06451901), array(-1.0540399)]","[0, 0, 0, 0, 1, 1, 1, 1]",6.479057280322159,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0, 0]",6.479057280322161
uniform,COBYLA,vanilla,False,True,1,8,G?BDvw,89.85919976234436,15,"[array(-0.93786769), array(1.17682268), array(-0.34527707), array(0.51488094), array(0.8453325), array(-0.86571808), array(-0.90256047), array(-0.63246991), array(-1.04823326), array(-1.01396506), array(-1.02290652), array(-0.97523626), array(-1.04309497), array(-1.02128291), array(-0.99598326)]","[0, 0, 0, 0, 0, 1, 1, 1]",6.131206333504157,"[1.0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.1312063335041564
uniform,COBYLA,vanilla,False,True,1,8,GCrrt[,96.6285388469696,16,"[array(0.15727941), array(0.08729036), array(0.01331514), array(0.0283469), array(0.0381915), array(0.02125956), array(-0.07746362), array(-0.04217365), array(0.08262304), array(-0.05429792), array(-0.0190248), array(-0.02620296), array(-0.03015274), array(0.02832602), array(-0.02207583), array(0.04892065)]","[0, 0, 0, 1, 1, 1, 1, 1]",5.000125421838442,"[0, 1.0, 1.0, 1.0, 1.0, 0, 0, 1.0]",6.832223019458334
