param_initialization,qaoa_variant,optimizer,depth,graph_size,graph_name,time_elapsed,quantum_func_evals,quantum_solution,quantum_obj_value,classic_solution,classic_value,obj_func_evolution,
64,uniform,vanilla,COBYLA,3,9,GCY^fo,470.90393686294556,44,"[array(0.11751418), array(-0.08084932), array(0.06514685), array(0.03500506), array(-0.30079135), array(-0.07756002), array(-0.31939159), array(-0.14038), array(-0.28393887), array(-0.13561006), array(-0.18380322), array(-0.32423349), array(-0.10187547), array(-0.35406561), array(-0.33579063), array(-0.23829891), array(-0.18707333), array(-0.30856576), array(-0.26959878), array(-0.34725098), array(-0.35199658), array(-0.34390237), array(-0.36321262), array(-0.30146574), array(-0.28305483), array(-0.31066294), array(-0.35120152), array(-0.29093966), array(-0.38694031), array(-0.30486711), array(-0.26827579), array(-0.36030745), array(-0.34758259), array(-0.34494562), array(-0.37507571), array(-0.30474543), array(-0.3245143), array(-0.32484769), array(-0.36404478), array(-0.30144251), array(-0.34265018), array(-0.28664489), array(-0.32482424), array(-0.35519918)]","[0, 0, 0, 1, 1, 1, 0, 1]",4.99094205571703,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0, 0]",6.479057280322161
65,uniform,vanilla,COBYLA,3,9,G?BDvw,375.6366980075836,35,"[array(-0.38954304), array(0.5128113), array(-0.15508903), array(-0.376955), array(-0.18216693), array(-0.47774406), array(-0.4461146), array(0.07482427), array(0.00993965), array(-0.44316779), array(-0.25583858), array(-0.37283908), array(-0.49010405), array(-0.46805852), array(-0.28203334), array(-0.43881296), array(-0.42105918), array(-0.40537538), array(-0.57692248), array(-0.48414428), array(-0.49629535), array(-0.54093362), array(-0.47371031), array(-0.47663643), array(-0.51719233), array(-0.51778526), array(-0.51646209), array(-0.46693342), array(-0.55630829), array(-0.55319877), array(-0.52474693), array(-0.50970123), array(-0.53444903), array(-0.51159757), array(-0.50412609)]","[1, 1, 1, 1, 1, 0, 0, 0]",6.131206333504157,"[1.0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.1312063335041564
66,uniform,vanilla,COBYLA,3,9,GCrrt[,372.0914511680603,35,"[array(-0.07274682), array(-0.03401058), array(0.03763068), array(0.09043283), array(0.05211426), array(0.06122648), array(-0.03144589), array(-0.00992987), array(0.03984121), array(-0.05420866), array(0.00062962), array(0.02247629), array(0.01232335), array(0.0076931), array(-0.0261144), array(-0.02031016), array(-0.00226296), array(0.01362308), array(0.02024062), array(-0.01142344), array(0.00452789), array(-0.01151414), array(-0.03434052), array(0.01406036), array(-0.07341443), array(0.00361249), array(-0.0993116), array(-0.00974097), array(0.03543359), array(-0.0718904), array(-0.01811559), array(0.02992649), array(0.03682587), array(-0.01382743), array(-0.03202436)]","[1, 0, 1, 1, 0, 0, 1, 0]",4.268896945394384,"[0, 1.0, 1.0, 1.0, 1.0, 0, 0, 1.0]",6.832223019458334
67,uniform,vanilla,COBYLA,3,9,G?`cno,488.25739336013794,46,"[array(0.03856716), array(0.06312446), array(-0.31313248), array(-0.21223699), array(-0.4669807), array(-0.47464263), array(-0.51240655), array(-0.11586843), array(0.47625915), array(0.56752613), array(0.35660646), array(-0.33585716), array(-0.36267219), array(-0.51972787), array(-0.07371251), array(-0.00404372), array(-0.51326205), array(-0.55698837), array(-0.3570586), array(-0.44640292), array(-0.55488314), array(-0.57193617), array(-0.51427944), array(-0.50371768), array(-0.53479028), array(-0.46101778), array(-0.55769164), array(-0.5223371), array(-0.58409815), array(-0.51818123), array(-0.5570412), array(-0.58044191), array(-0.56812985), array(-0.54965999), array(-0.55250343), array(-0.56096649), array(-0.54976302), array(-0.59708781), array(-0.56007445), array(-0.48550849), array(-0.57687041), array(-0.5653538), array(-0.50689552), array(-0.54221798), array(-0.47093677), array(-0.55101742)]","[1, 0, 1, 1, 1, 1, 0, 0]",4.570191673079683,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0, 0]",5.211623763820935
68,uniform,vanilla,COBYLA,3,9,G?BDn[,414.22871589660645,39,"[array(0.0848336), array(-0.03254961), array(-0.33443035), array(-0.09130383), array(-0.19173866), array(-0.12988315), array(-0.00178397), array(-0.34876905), array(-0.28419775), array(-0.2067466), array(0.15661423), array(-0.3257771), array(0.01152313), array(-0.24675697), array(-0.12709463), array(-0.2062201), array(-0.30946813), array(-0.19051979), array(-0.3680896), array(-0.22013909), array(-0.21189224), array(-0.41015272), array(-0.28328644), array(-0.29033554), array(-0.34072462), array(-0.28455931), array(-0.39304054), array(-0.35739555), array(-0.27539991), array(-0.27445166), array(-0.26726314), array(-0.36382691), array(-0.28370168), array(-0.30730974), array(-0.34713547), array(-0.37514454), array(-0.32067342), array(-0.28827787), array(-0.33427355)]","[1, 1, 1, 1, 1, 0, 1, 0]",5.144379198373807,"[0, 0, 0, 1.0, 0, 1.0, 0, 1.0]",5.636585732809579
69,uniform,vanilla,COBYLA,3,9,GCRVF[,373.55426144599915,35,"[array(0.09681225), array(-0.00817124), array(-0.00806493), array(-0.15767535), array(-0.01967654), array(-0.09768691), array(-0.10576814), array(0.02438482), array(-0.02230763), array(0.02655411), array(-0.23207891), array(-0.01732698), array(-0.19629809), array(-0.23717547), array(-0.16617524), array(0.02501495), array(-0.01843352), array(-0.09891657), array(-0.15795167), array(-0.07210993), array(-0.07387102), array(-0.12041883), array(-0.15917555), array(-0.13566164), array(-0.13975944), array(-0.1151831), array(-0.09294942), array(-0.13528743), array(-0.17466615), array(-0.11883974), array(-0.05998959), array(-0.14589656), array(-0.13220055), array(-0.12525508), array(-0.13369772)]","[0, 0, 0, 1, 1, 0, 1, 1]",5.885592946586987,"[1.0, 1.0, 1.0, 0, 0, 0, 0, 0]",6.49004782359108
70,uniform,vanilla,COBYLA,3,9,GCXmf{,576.7220849990845,53,"[array(0.1757059), array(0.04829931), array(-0.10953267), array(-0.10814823), array(-0.09678554), array(-0.12483334), array(0.03645381), array(0.11538128), array(-0.01973246), array(0.00563208), array(-0.04003562), array(-0.131111), array(0.16838453), array(-0.1244867), array(-0.12982308), array(-0.11844787), array(-0.01631281), array(-0.17499965), array(-0.19827543), array(-0.12223164), array(-0.19528481), array(-0.1920001), array(-0.1616797), array(-0.19327945), array(-0.17659401), array(-0.19970708), array(-0.20601583), array(-0.14282461), array(-0.20896729), array(-0.16595167), array(-0.21266656), array(-0.1981129), array(-0.11201967), array(-0.18261891), array(-0.1523699), array(-0.17290455), array(-0.1725171), array(-0.18675933), array(-0.14688371), array(-0.1595666), array(-0.22485858), array(-0.20002698), array(-0.14097306), array(-0.18916287), array(-0.22365643), array(-0.17138313), array(-0.22516616), array(-0.20369788), array(-0.21085336), array(-0.19168328), array(-0.23931456), array(-0.18261471), array(-0.21713796)]","[0, 0, 0, 1, 1, 1, 1, 1]",5.927082273737094,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0, 0]",6.856126558148148
71,uniform,vanilla,COBYLA,3,9,G?qm]s,415.8547601699829,39,"[array(0.1079924), array(0.01848567), array(0.08324103), array(-0.00877352), array(-0.16323858), array(0.22272292), array(0.06823959), array(-0.05702468), array(-0.10186157), array(-0.1727731), array(0.031068), array(-0.06260003), array(-0.03121859), array(-0.19024857), array(-0.16149293), array(-0.15339525), array(-0.08523983), array(-0.19223604), array(-0.29040802), array(-0.27931186), array(-0.20942336), array(-0.14288616), array(-0.23469334), array(-0.26567811), array(-0.27028705), array(-0.18287384), array(-0.27426846), array(-0.26964913), array(-0.28838533), array(-0.22577624), array(-0.24535874), array(-0.31354495), array(-0.21893085), array(-0.2615754), array(-0.196551), array(-0.28032897), array(-0.269485), array(-0.28332545), array(-0.24432987)]","[1, 1, 0, 0, 1, 0, 0, 1]",4.568592082990811,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0]",6.047342113736631
72,uniform,vanilla,COBYLA,3,9,GEit^[,490.22080755233765,45,"[array(-0.03479084), array(-0.49510921), array(0.16179287), array(0.19715673), array(-0.03700909), array(-0.04843357), array(-0.27407419), array(0.51848042), array(0.01552751), array(-0.15464241), array(-0.35360078), array(-0.59394148), array(-0.48537786), array(-0.55940713), array(-0.46143978), array(-0.61678423), array(-0.18228792), array(-0.59065923), array(-0.63761736), array(-0.56218979), array(-0.59281583), array(-0.64156835), array(-0.57877491), array(-0.72258605), array(-0.72881151), array(-0.72278162), array(-0.68074479), array(-0.73869047), array(-0.70428948), array(-0.76623082), array(-0.65838466), array(-0.73503485), array(-0.74301468), array(-0.79221423), array(-0.66502191), array(-0.69866165), array(-0.71359124), array(-0.79413017), array(-0.72943388), array(-0.75214244), array(-0.71552913), array(-0.72856134), array(-0.74261883), array(-0.76753632), array(-0.73294422)]","[1, 1, 0, 0, 1, 1, 0, 0]",7.82556732702197,"[1.0, 1.0, 0, 0, 1.0, 1.0, 0, 0]",7.82556732702197
73,uniform,vanilla,COBYLA,3,9,GCXk~{,584.7007613182068,54,"[array(0.05355883), array(0.02698103), array(0.01544045), array(0.04713253), array(0.03749071), array(-0.01488594), array(-0.05710517), array(-0.10441635), array(0.32535542), array(-0.04749151), array(0.05847566), array(-0.05892888), array(0.02010043), array(-0.04563639), array(0.03171511), array(-0.00671574), array(-0.0570939), array(0.01923103), array(0.06615616), array(-0.11559134), array(-0.13815061), array(-0.13170493), array(-0.07563878), array(-0.14502958), array(-0.17951633), array(-0.19833962), array(-0.20324617), array(-0.15903381), array(-0.25554678), array(-0.16546807), array(-0.1617869), array(-0.26005245), array(-0.24897883), array(-0.1394183), array(-0.27522874), array(-0.28817306), array(-0.25129106), array(-0.28085116), array(-0.32779669), array(-0.33706774), array(-0.26650684), array(-0.27115201), array(-0.27467929), array(-0.31078395), array(-0.28842052), array(-0.25776075), array(-0.3078593), array(-0.27801846), array(-0.28312682), array(-0.35479285), array(-0.34486721), array(-0.30769882), array(-0.30935605), array(-0.30706427)]","[1, 0, 0, 0, 0, 1, 0, 1]",6.510915383817327,"[1.0, 0, 0, 0, 0, 1.0, 0, 1.0]",6.510915383817328
74,uniform,vanilla,COBYLA,3,9,G?B@~w,363.4189565181732,34,"[array(0.12663329), array(-0.22458966), array(-0.25344223), array(0.07087025), array(-0.18140565), array(-0.21672896), array(-0.17075658), array(0.1822337), array(-0.08613124), array(-0.22547665), array(-0.2442836), array(-0.20365325), array(-0.24927565), array(-0.22633522), array(-0.10557426), array(-0.23593312), array(-0.22471573), array(-0.20457929), array(-0.26454459), array(-0.19819618), array(-0.24905344), array(-0.23471024), array(-0.22741501), array(-0.23827293), array(-0.18625523), array(-0.18663591), array(-0.28143593), array(-0.27508681), array(-0.24659663), array(-0.22604041), array(-0.26391204), array(-0.2061111), array(-0.23603427), array(-0.2227966)]","[0, 1, 0, 0, 1, 0, 0, 1]",3.142597696248598,"[1.0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0]",3.93487022973433
75,uniform,vanilla,COBYLA,3,9,GCznZ{,381.41237807273865,35,"[array(0.18574111), array(-0.09627249), array(-0.24685647), array(0.01889056), array(-0.21558791), array(-0.08952557), array(-0.21590187), array(-0.00844649), array(0.05137983), array(-0.06239897), array(-0.24571073), array(-0.21057233), array(-0.25195813), array(-0.15899685), array(-0.28534665), array(-0.17886252), array(-0.19756132), array(-0.20057802), array(-0.16993502), array(-0.25382792), array(-0.22573936), array(-0.21563469), array(-0.17111108), array(-0.25851624), array(-0.17302682), array(-0.21257016), array(-0.19203209), array(-0.28553865), array(-0.22999891), array(-0.23780345), array(-0.2199065), array(-0.19425838), array(-0.23811274), array(-0.23031273), array(-0.22211116)]","[0, 1, 0, 1, 0, 1, 1, 0]",7.456502049762939,"[0, 1.0, 0, 1.0, 0, 1.0, 1.0, 0]",7.456502049762939
76,uniform,vanilla,COBYLA,3,9,G?BfN{,399.5734724998474,37,"[array(-0.07456851), array(0.03525853), array(0.0068652), array(0.03406411), array(-0.06599737), array(-0.02201941), array(-0.00328126), array(0.27897949), array(0.103819), array(0.01591035), array(-0.0290571), array(-0.12316973), array(-0.0927731), array(-0.14344476), array(-0.12604171), array(-0.13762271), array(-0.09257887), array(-0.093924), array(-0.10917512), array(-0.1148865), array(-0.07253987), array(-0.0919113), array(-0.11027861), array(-0.13039884), array(-0.08458385), array(-0.11267776), array(-0.10198802), array(-0.07135067), array(-0.11695034), array(-0.102376), array(-0.06922889), array(-0.10809267), array(-0.07460177), array(-0.11667047), array(-0.1099543), array(-0.08992215), array(-0.10458947)]","[1, 0, 1, 0, 1, 0, 1, 1]",2.396996588949012,"[1.0, 0, 1.0, 1.0, 1.0, 0, 1.0, 0]",3.234348122092194
77,uniform,vanilla,COBYLA,3,9,G?ovf{,484.78647923469543,45,"[array(0.10241192), array(0.06199084), array(0.08784648), array(0.04187252), array(-0.20365532), array(0.019519), array(-0.0807362), array(-0.09353614), array(-0.12955587), array(-0.17711229), array(0.19949784), array(-0.06473797), array(-0.28091836), array(-0.03089172), array(-0.21272461), array(0.06587602), array(-0.18887565), array(-0.23757636), array(-0.22038697), array(-0.3038337), array(-0.29060742), array(-0.30363677), array(-0.3290888), array(-0.19566468), array(-0.24969795), array(-0.33868699), array(-0.26308964), array(-0.19983515), array(-0.10978086), array(-0.1585607), array(-0.24064236), array(-0.28100549), array(-0.2733235), array(-0.23518454), array(-0.25332994), array(-0.22549148), array(-0.25528385), array(-0.32477193), array(-0.25325485), array(-0.20026802), array(-0.25523292), array(-0.27217027), array(-0.29720459), array(-0.2307671), array(-0.32253936)]","[1, 1, 1, 1, 1, 1, 0, 0]",5.170404415963802,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0, 1.0]",6.242557566308028
78,uniform,vanilla,COBYLA,3,9,GCRVfw,531.5024464130402,49,"[array(0.18928015), array(0.11071551), array(0.20462809), array(0.06031315), array(0.10270776), array(0.18554794), array(0.05714046), array(0.0449133), array(0.08151217), array(0.05232257), array(0.43810008), array(0.03641927), array(0.0028616), array(0.11399279), array(0.13459185), array(-0.18063665), array(-0.23020509), array(-0.08196216), array(-0.20460137), array(-0.36604086), array(-0.3316231), array(-0.42262943), array(-0.13536924), array(-0.31574604), array(-0.39201049), array(-0.36834422), array(-0.37461592), array(-0.38238248), array(-0.39212395), array(-0.39288938), array(-0.34287925), array(-0.4341969), array(-0.45952052), array(-0.38280458), array(-0.45286286), array(-0.50213334), array(-0.46899996), array(-0.47593963), array(-0.48901883), array(-0.49745916), array(-0.49439894), array(-0.45792368), array(-0.47622153), array(-0.44938867), array(-0.46399584), array(-0.41172981), array(-0.46792237), array(-0.41920964), array(-0.47555436)]","[0, 0, 0, 0, 0, 0, 1, 1]",6.287828714595099,"[1.0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.838899355681476
79,uniform,vanilla,COBYLA,3,9,GCZvnk,346.44664788246155,32,"[array(0.00521715), array(-0.10717494), array(-0.02251661), array(-0.11320736), array(-0.02197686), array(-0.03898752), array(-0.16178192), array(0.01623225), array(-0.07994428), array(-0.08652985), array(0.09471595), array(-0.12290054), array(-0.1067567), array(-0.12692691), array(-0.12518928), array(-0.13219592), array(-0.09239355), array(-0.10629474), array(-0.04164251), array(-0.13921068), array(-0.12291158), array(-0.14634115), array(-0.15803877), array(-0.10346573), array(-0.1172035), array(-0.15332848), array(-0.16744747), array(-0.13177875), array(-0.08990332), array(-0.16143), array(-0.09386605), array(-0.09993951)]","[0, 1, 1, 0, 0, 0, 1, 1]",4.89103342403822,"[0, 0, 0, 0, 1.0, 0, 1.0, 1.0]",6.559321587398342
80,uniform,vanilla,COBYLA,3,9,H?r@fR],602.8342719078064,54,"[array(-0.14729885), array(-0.13847183), array(-0.03152292), array(0.24615538), array(0.223442), array(0.18763494), array(-0.06656337), array(-0.03238606), array(-0.22048822), array(0.09343472), array(-0.1851267), array(0.13915228), array(-0.10470892), array(0.02098851), array(-0.29249782), array(0.12295177), array(-0.28262195), array(-0.48117285), array(-0.09373282), array(-0.46366408), array(-0.48033447), array(-0.4717642), array(-0.29154643), array(-0.47458002), array(-0.53756063), array(-0.50032507), array(-0.45419577), array(-0.48764454), array(-0.45478169), array(-0.39300722), array(-0.52471617), array(-0.55585791), array(-0.49683702), array(-0.58958874), array(-0.54339911), array(-0.55933416), array(-0.51543496), array(-0.59729518), array(-0.63615737), array(-0.57446988), array(-0.62747142), array(-0.57394688), array(-0.59820963), array(-0.61243239), array(-0.62024433), array(-0.61456468), array(-0.59971304), array(-0.56790619), array(-0.55157431), array(-0.52506559), array(-0.53028364), array(-0.53697838), array(-0.52433794), array(-0.60415084)]","[0, 0, 0, 0, 0, 1, 1, 1, 1]",7.253331946798217,"[0, 0, 1.0, 1.0, 0, 1.0, 0, 1.0, 1.0]",7.291572586098401
81,uniform,vanilla,COBYLA,3,9,HCQeLr~,373.08730936050415,33,"[array(0.0243869), array(0.04547526), array(-0.05278118), array(0.03832107), array(-0.08361465), array(-0.12517808), array(-0.07555091), array(-0.04261572), array(0.06900501), array(-0.19095026), array(0.18647493), array(-0.14683576), array(0.12757325), array(-0.3095884), array(-0.22056615), array(-0.2573134), array(-0.20951871), array(-0.16201579), array(-0.0992917), array(-0.1384433), array(-0.25455731), array(-0.22232548), array(-0.21671359), array(-0.20339099), array(-0.24017143), array(-0.21793619), array(-0.20401204), array(-0.23732588), array(-0.29370229), array(-0.20489142), array(-0.17245819), array(-0.22529349), array(-0.24984611)]","[1, 1, 1, 1, 1, 1, 0, 0, 0]",7.805090322058456,"[1.0, 0, 1.0, 1.0, 1.0, 0, 1.0, 0, 0]",7.98230402820067
82,uniform,vanilla,COBYLA,3,9,H?qlvNx,420.4842367172241,37,"[array(0.02097613), array(-0.0327122), array(-0.00327691), array(-0.00659395), array(0.01649683), array(-0.02478677), array(0.06260309), array(0.01319558), array(0.05779706), array(-0.03904957), array(2.85077391e-06), array(-0.06054224), array(-0.07402612), array(-0.07824025), array(-0.07417274), array(-0.09705087), array(-0.12788), array(0.05449759), array(-0.0007554), array(-0.01104039), array(0.00928022), array(0.00408844), array(-0.07913104), array(0.01988618), array(-0.06163065), array(0.02394374), array(-0.0130156), array(0.05486577), array(0.00438358), array(-0.05833713), array(-0.03694044), array(-0.01126497), array(-0.06291132), array(0.02424011), array(-0.02237373), array(0.00856484), array(-0.04471017)]","[0, 0, 1, 1, 0, 1, 0, 1, 0]",7.558592669613153,"[0, 0, 1.0, 1.0, 1.0, 0, 0, 1.0, 0]",10.185457194060405
83,uniform,vanilla,COBYLA,3,9,HCQbQuv,395.9525697231293,35,"[array(-0.02023634), array(0.00668181), array(-0.00808749), array(0.0163722), array(0.00660118), array(0.10468936), array(-0.1531426), array(-0.25136652), array(-0.06114078), array(-0.00412014), array(0.17963448), array(-0.04324608), array(-0.0232208), array(0.10812326), array(-0.1005172), array(-0.14769872), array(-0.19397731), array(-0.12567578), array(-0.21474671), array(-0.20235232), array(-0.21468257), array(-0.16361168), array(-0.15968574), array(-0.08389651), array(-0.12439586), array(-0.16265269), array(-0.18478786), array(-0.19743251), array(-0.149611), array(-0.12190097), array(-0.2485835), array(-0.19003819), array(-0.19011798), array(-0.19601109), array(-0.12987194)]","[1, 0, 1, 1, 1, 1, 1, 0, 1]",4.397133721865348,"[1.0, 1.0, 1.0, 0, 0, 1.0, 0, 1.0, 0]",7.5035177858151965
84,uniform,vanilla,COBYLA,3,9,HCrfZzf,434.6659924983978,38,"[array(0.01138157), array(0.07126575), array(-0.01256411), array(-0.01060645), array(0.07094195), array(-0.09272157), array(-0.05274121), array(0.41816112), array(-0.1383691), array(-0.08992757), array(-0.04833178), array(-0.06753292), array(-0.03639133), array(-0.06272034), array(-0.03257455), array(-0.21705415), array(-0.0173226), array(-0.03439769), array(-0.09399258), array(-0.12494609), array(-0.08390434), array(-0.18555064), array(-0.1228162), array(-0.25866317), array(-0.09928462), array(-0.15565935), array(-0.10543347), array(-0.18964146), array(-0.09601317), array(-0.21315853), array(-0.13901392), array(-0.16251881), array(-0.14533332), array(-0.12397959), array(-0.14725854), array(-0.11787591), array(-0.15982839), array(-0.16092077)]","[1, 1, 1, 0, 1, 1, 0, 0, 0]",7.776929729244643,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
85,uniform,vanilla,COBYLA,3,9,H?qbDo~,362.42976355552673,32,"[array(-0.02033127), array(0.03582572), array(0.11761374), array(-0.05545038), array(-0.08424273), array(-0.05446824), array(0.07342302), array(0.00543867), array(0.06061043), array(-0.0028048), array(0.01582047), array(-0.0970532), array(0.00206757), array(-0.00303016), array(-0.02996995), array(-0.05137293), array(-0.06031305), array(-0.01171099), array(0.02255673), array(0.03625243), array(-0.02750801), array(-0.00125911), array(0.01439213), array(-0.0580596), array(-0.06391161), array(-0.01258918), array(-0.0714088), array(-0.07898927), array(0.0022493), array(0.00064424), array(0.04807307), array(-0.01995958)]","[1, 0, 0, 1, 1, 1, 0, 1, 1]",3.5238742417590623,"[0, 0, 0, 0, 1.0, 1.0, 1.0, 1.0, 0]",7.74764404835377
86,uniform,vanilla,COBYLA,3,9,H?`cnd},352.558313369751,31,"[array(-0.08621082), array(-0.06624445), array(0.13348568), array(0.21107166), array(0.0745028), array(0.12985037), array(0.04627799), array(0.00936427), array(0.03590337), array(0.00059471), array(0.01199323), array(0.07704453), array(-0.0398452), array(0.00527834), array(-0.01069212), array(-0.03778517), array(-0.04128694), array(0.01933108), array(-0.05251446), array(0.01877134), array(0.04963061), array(0.02248251), array(-0.02505609), array(-0.02136903), array(0.02284681), array(0.07814678), array(-0.0072053), array(0.02850655), array(0.0010052), array(-0.05734178), array(0.02014104)]","[0, 0, 1, 0, 0, 1, 0, 1, 0]",4.723084775610991,"[1.0, 0, 0, 0, 0, 1.0, 0, 1.0, 1.0]",8.347116070076549
87,uniform,vanilla,COBYLA,3,9,H?`cv`z,411.3872058391571,38,"[array(-0.09342956), array(0.05193144), array(0.00370878), array(-0.05376663), array(0.11172923), array(-0.07473599), array(0.03100611), array(-0.13833728), array(0.02712214), array(0.024435), array(-0.01321728), array(-0.09636719), array(-0.1695825), array(-0.21040125), array(-0.02621167), array(-0.19570976), array(0.05996628), array(-0.2336878), array(-0.2455576), array(-0.19388358), array(-0.26147355), array(-0.08779023), array(-0.19156778), array(-0.19968413), array(-0.17933562), array(-0.1341505), array(-0.2190788), array(-0.21290298), array(-0.2051554), array(-0.22219826), array(-0.17009866), array(-0.14738334), array(-0.17778723), array(-0.21454727), array(-0.12699577), array(-0.24785623), array(-0.15090653), array(-0.16863197)]","[1, 0, 0, 1, 0, 1, 0, 1, 1]",6.488913622106008,"[1.0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0, 0]",7.4253265294692685
88,uniform,vanilla,COBYLA,3,9,H?bFUi~,359.6800928115845,32,"[array(0.05483401), array(0.09658439), array(-0.10014545), array(0.0321922), array(-0.08915076), array(0.01908541), array(-0.0108878), array(0.01060311), array(0.05149066), array(-0.03714426), array(0.09035401), array(0.04245606), array(-0.09531647), array(0.00135389), array(0.00958269), array(-0.04342362), array(-0.08243519), array(-0.0352388), array(-0.03166019), array(-0.02767394), array(-0.06630317), array(-0.03473143), array(-0.0444594), array(-0.12317349), array(0.0092843), array(-0.06575647), array(-0.00590719), array(-0.0953969), array(-0.08120015), array(-0.10371977), array(-0.06935974), array(-0.09041859)]","[0, 0, 0, 1, 0, 0, 1, 1, 1]",5.391248812703355,"[1.0, 0, 0, 0, 0, 0, 1.0, 1.0, 1.0]",7.764171831922256
89,uniform,vanilla,COBYLA,3,9,HCQTefs,354.9572241306305,33,"[array(0.05682429), array(-0.08880926), array(-0.14754303), array(-0.04400541), array(0.02172827), array(-0.13226502), array(-0.06249417), array(0.30361943), array(-0.09917068), array(-0.15418874), array(-0.08552492), array(-0.04417574), array(-0.1990801), array(-0.05699514), array(-0.12983935), array(-0.13135173), array(-0.18553393), array(-0.12652791), array(-0.14498124), array(-0.19098664), array(-0.08936265), array(-0.12585004), array(-0.16351008), array(-0.09163958), array(-0.08804427), array(-0.1769215), array(-0.11214555), array(-0.10638139), array(-0.18315571), array(-0.08241061), array(-0.04895846), array(-0.09582285), array(-0.0560776)]","[1, 1, 0, 0, 0, 1, 0, 0, 0]",5.2397041109487485,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0, 0, 0]",7.2189069773577765
90,uniform,vanilla,COBYLA,3,9,H?`vFVt,399.3790109157562,39,"[array(0.13591317), array(-0.13975632), array(0.05203868), array(-0.30494639), array(-0.11485148), array(-0.47086191), array(-0.13302885), array(0.00871792), array(0.49992479), array(-0.40474586), array(0.03611267), array(-0.62864886), array(-0.65011551), array(-0.63196403), array(-0.53833928), array(-0.52085308), array(-0.20943229), array(-0.50433802), array(-0.44200036), array(-0.60560864), array(-0.6475204), array(-0.60890951), array(-0.56672649), array(-0.63163319), array(-0.63736632), array(-0.53819394), array(-0.58222056), array(-0.65264095), array(-0.68145531), array(-0.66990572), array(-0.61366526), array(-0.5737242), array(-0.66848742), array(-0.61664858), array(-0.62608073), array(-0.69800752), array(-0.65708677), array(-0.6278179), array(-0.71328335)]","[0, 0, 0, 0, 1, 1, 1, 0, 1]",8.044071421187637,"[0, 0, 0, 0, 1.0, 1.0, 1.0, 0, 1.0]",8.044071421187637
91,uniform,vanilla,COBYLA,3,9,HCXmfqv,400.5341396331787,40,"[array(-0.00861783), array(0.08878203), array(0.03818545), array(0.01027639), array(0.00270119), array(0.02531024), array(-0.02332328), array(0.00390659), array(-0.04466784), array(-4.912246e-05), array(0.01530525), array(0.01499778), array(-0.00609455), array(0.00855465), array(-0.04132321), array(-0.07041172), array(-0.04109503), array(-0.08887777), array(-0.00504208), array(-0.04699169), array(-0.03491704), array(-0.05330458), array(-0.03268397), array(-0.07204025), array(-0.01978056), array(-0.07866009), array(-0.03886918), array(-0.03619992), array(-0.03612677), array(-0.03063432), array(0.03007645), array(-0.06389081), array(-0.03054579), array(-0.01730859), array(-0.06132367), array(0.02209074), array(0.01141833), array(0.01517528), array(-0.03650806), array(-0.04091372)]","[1, 1, 1, 0, 0, 1, 1, 0, 1]",3.359225929654504,"[1.0, 1.0, 1.0, 0, 1.0, 0, 0, 0, 1.0]",6.533122484141586
92,uniform,vanilla,COBYLA,3,9,HCQebj],398.8808147907257,42,"[array(0.06015843), array(0.18972717), array(-0.11464824), array(-0.13233615), array(-0.00705811), array(-0.16792505), array(-0.09682297), array(0.0345315), array(0.0945967), array(-0.21467346), array(-0.18752258), array(-0.16621574), array(-0.22434339), array(-0.21575233), array(-0.228327), array(-0.2529843), array(-0.22338506), array(-0.22836806), array(-0.15339713), array(-0.15527777), array(-0.2554222), array(-0.24443855), array(-0.1510877), array(-0.19414139), array(-0.17751253), array(-0.26331107), array(-0.20386649), array(-0.18453486), array(-0.13730618), array(-0.1739393), array(-0.20091509), array(-0.20881576), array(-0.14776201), array(-0.22584033), array(-0.26968975), array(-0.15415616), array(-0.13241379), array(-0.28699118), array(-0.2334368), array(-0.21902358), array(-0.21549294), array(-0.28286842)]","[1, 1, 0, 1, 1, 1, 1, 1, 0]",3.8102585495912917,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0, 0, 0]",6.125951699247246
