param_initialization,qaoa_variant,optimizer,depth,graph_size,graph_name,time_elapsed,quantum_func_evals,quantum_solution,quantum_obj_value,classic_solution,classic_value,obj_func_evolution,
10,uniform,vanilla,COBYLA,3,9,D]{,442.33461833000183,42,"[array(-0.00768965), array(-0.01947887), array(0.14812592), array(0.09405327), array(0.18081079), array(-0.02985315), array(-0.03969394), array(0.1308669), array(0.01549704), array(-0.18068512), array(-0.05806767), array(-0.11284538), array(-0.2954843), array(0.02417459), array(-0.23804666), array(0.02152466), array(-0.23831733), array(-0.16555465), array(-0.29373084), array(-0.30610558), array(-0.25705107), array(-0.3095973), array(-0.26770082), array(-0.24345861), array(-0.27633977), array(-0.25596865), array(-0.27571854), array(-0.23046548), array(-0.24443329), array(-0.2606623), array(-0.26274605), array(-0.3101194), array(-0.28855806), array(-0.26244406), array(-0.29776852), array(-0.28078062), array(-0.19864845), array(-0.27396581), array(-0.23889072), array(-0.27592208), array(-0.30821171), array(-0.28980217)]","[1, 1, 0, 0, 0]",3.876496582736822,"[1.0, 1.0, 0, 0, 0]",3.876496582736822
11,uniform,vanilla,COBYLA,3,9,DEk,421.5596055984497,40,"[array(0.13975445), array(0.04565354), array(-0.23362178), array(-0.28142269), array(-0.32752485), array(-0.42559144), array(-0.04135721), array(-0.12306798), array(-0.43702476), array(-0.14894657), array(0.04974939), array(-0.54409907), array(-0.28845415), array(-0.06740719), array(-0.32957567), array(-0.4519208), array(-0.10032123), array(-0.47292124), array(-0.46263235), array(-0.47336739), array(-0.5756919), array(-0.60782902), array(-0.6218005), array(-0.61941969), array(-0.63713994), array(-0.53735066), array(-0.60924855), array(-0.53155206), array(-0.61899663), array(-0.60055812), array(-0.61341659), array(-0.60747717), array(-0.57374634), array(-0.62690457), array(-0.59856828), array(-0.59250447), array(-0.60918014), array(-0.5668748), array(-0.56053758), array(-0.57960312)]","[0, 1, 0, 0, 1]",2.408056899817945,"[0, 1.0, 0, 0, 1.0]",2.408056899817945
12,uniform,vanilla,COBYLA,3,9,D~{,353.52958822250366,33,"[array(0.30397651), array(-0.08888541), array(0.02256101), array(0.09200971), array(-0.06757994), array(-0.18988437), array(-0.15295551), array(0.2222536), array(-0.01548105), array(-0.18028576), array(-0.07295426), array(-0.12391798), array(-0.12399574), array(-0.13232263), array(-0.06878832), array(-0.12667551), array(-0.22992476), array(-0.21974336), array(-0.21598452), array(-0.21279556), array(-0.19653865), array(-0.20501428), array(-0.18296067), array(-0.22485256), array(-0.19424719), array(-0.18024489), array(-0.20656583), array(-0.1983884), array(-0.15481282), array(-0.22339332), array(-0.20514795), array(-0.17888934), array(-0.21320196)]","[1, 0, 1, 0, 1]",2.8067984579116185,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
13,uniform,vanilla,COBYLA,3,9,DQ{,467.57803106307983,44,"[array(0.01864523), array(0.10052049), array(0.28077817), array(0.27052118), array(-0.05492435), array(-0.1580186), array(-0.17140927), array(-0.06206464), array(0.17201523), array(-0.06514789), array(0.18797164), array(-0.16282357), array(-0.11399816), array(-0.23626685), array(-0.20458039), array(-0.0502306), array(-0.23423308), array(-0.1952923), array(-0.24199268), array(-0.25124992), array(-0.20529033), array(-0.2339406), array(-0.22445434), array(-0.28523061), array(-0.29997231), array(-0.27632257), array(-0.29782623), array(-0.25447436), array(-0.28070297), array(-0.28734529), array(-0.283132), array(-0.28649303), array(-0.31736547), array(-0.33381502), array(-0.26181558), array(-0.27671655), array(-0.28757765), array(-0.26191225), array(-0.27435537), array(-0.31639458), array(-0.29025455), array(-0.25920029), array(-0.29324283), array(-0.27133407)]","[0, 1, 1, 0, 1]",2.254352391481021,"[1.0, 1.0, 0, 1.0, 0]",2.5641630700197084
14,uniform,vanilla,COBYLA,3,9,DQw,386.46278977394104,37,"[array(-0.17567217), array(0.15461601), array(-0.30587882), array(-0.1076906), array(0.03960227), array(-0.33691193), array(-0.30360452), array(0.08147926), array(0.0308393), array(-0.30614046), array(-0.15965414), array(-0.06418611), array(-0.26459033), array(-0.36071847), array(-0.21098949), array(-0.33404452), array(-0.28396615), array(-0.3566585), array(-0.29538854), array(-0.36806419), array(-0.36188319), array(-0.35041769), array(-0.36735768), array(-0.36064044), array(-0.40468386), array(-0.33498359), array(-0.36150005), array(-0.35381467), array(-0.37349913), array(-0.36449526), array(-0.37292142), array(-0.35874665), array(-0.35482765), array(-0.37942085), array(-0.37922293), array(-0.37155709), array(-0.40963702)]","[1, 1, 1, 0, 0]",2.1626043644336566,"[1.0, 1.0, 1.0, 0, 0]",2.1626043644336566
15,uniform,vanilla,COBYLA,3,9,DE{,355.6813464164734,34,"[array(-0.13708726), array(0.00337802), array(-0.04079461), array(0.28573585), array(-0.35717249), array(-0.32854411), array(-0.40260355), array(-0.0298136), array(0.03538634), array(-0.15143628), array(-0.11642612), array(-0.37963565), array(-0.32560257), array(-0.2770115), array(-0.05752873), array(-0.2327368), array(-0.33640317), array(-0.32885262), array(-0.28619206), array(-0.33952151), array(-0.36261979), array(-0.32117135), array(-0.33825051), array(-0.29309624), array(-0.30826432), array(-0.33945652), array(-0.31774808), array(-0.33477419), array(-0.3228024), array(-0.3496612), array(-0.31287223), array(-0.29210783), array(-0.34826008), array(-0.31132268)]","[1, 1, 1, 0, 0]",2.986385792249842,"[1.0, 1.0, 1.0, 0, 0]",2.986385792249842
16,uniform,vanilla,COBYLA,3,9,DQo,354.96465516090393,34,"[array(0.16065428), array(-0.21053773), array(-0.48739568), array(-0.24557677), array(-0.75882379), array(-0.64978408), array(-0.63094116), array(0.22602626), array(0.15777188), array(-0.65159394), array(-0.51325522), array(-0.59365514), array(-0.76333231), array(-0.72325148), array(-0.70102432), array(-0.72534166), array(-0.70214656), array(-0.72442743), array(-0.68419766), array(-0.76171438), array(-0.75678028), array(-0.76234648), array(-0.74604526), array(-0.7606347), array(-0.75800944), array(-0.75517267), array(-0.75254419), array(-0.74863746), array(-0.73408445), array(-0.76430298), array(-0.70960146), array(-0.7523236), array(-0.73864735), array(-0.74542648)]","[0, 0, 1, 1, 1]",2.2638996581241804,"[1.0, 1.0, 0, 0, 0]",2.2638996581241804
17,uniform,vanilla,COBYLA,3,9,D^{,371.3722062110901,35,"[array(0.09070378), array(0.02552942), array(-0.09579978), array(0.09367362), array(-0.12883683), array(-0.0793544), array(0.16400128), array(-0.09235602), array(0.05966157), array(-0.02523062), array(0.05975989), array(-0.01537155), array(-0.11941801), array(-0.10016486), array(-0.1782414), array(-0.12287037), array(-0.10419938), array(-0.07781789), array(-0.13285029), array(-0.1648178), array(-0.12846515), array(-0.13224859), array(-0.11399194), array(-0.10856443), array(-0.12762936), array(-0.17923145), array(-0.14125547), array(-0.16968849), array(-0.14544098), array(-0.18067843), array(-0.12638441), array(-0.16312215), array(-0.11710301), array(-0.14682757), array(-0.10464472)]","[0, 1, 0, 1, 1]",3.227030315594529,"[0, 0, 1.0, 0, 1.0]",3.7724088139805696
18,uniform,vanilla,COBYLA,3,9,DT{,405.28390622138977,38,"[array(-0.05558158), array(-0.03543896), array(-0.05108555), array(-0.04503962), array(-0.08138099), array(0.01085366), array(-0.06034902), array(-0.07074693), array(-0.14476754), array(-0.09971694), array(-0.21443517), array(-0.16254141), array(-0.3373996), array(-0.20384969), array(-0.30758352), array(-0.25626723), array(-0.28605786), array(0.00603326), array(-0.28877973), array(-0.32126378), array(-0.34585778), array(-0.25693437), array(-0.31022108), array(-0.33635273), array(-0.30016107), array(-0.31391077), array(-0.29948568), array(-0.31506701), array(-0.33357177), array(-0.27107113), array(-0.33129824), array(-0.33452904), array(-0.30808812), array(-0.31776992), array(-0.31191944), array(-0.34826316), array(-0.33825576), array(-0.3257604)]","[1, 1, 0, 1, 0]",2.7112687609116657,"[0, 1.0, 1.0, 1.0, 0]",3.1326316820831845
19,uniform,vanilla,COBYLA,3,9,D]w,463.98734402656555,44,"[array(0.11228173), array(-0.04900572), array(0.23006781), array(0.1331131), array(-0.25972053), array(-0.12673394), array(-0.15392506), array(-0.00914313), array(-0.05495554), array(-0.17491184), array(-0.33074817), array(-0.19615785), array(-0.33812947), array(-0.28422621), array(-0.33288541), array(-0.1722625), array(-0.32947161), array(-0.35219375), array(-0.34698266), array(-0.30554762), array(-0.32827979), array(-0.34294255), array(-0.29766304), array(-0.34591387), array(-0.40513171), array(-0.36739843), array(-0.38602371), array(-0.40645004), array(-0.40023433), array(-0.43376993), array(-0.38242083), array(-0.39118868), array(-0.36929389), array(-0.40470292), array(-0.38603306), array(-0.39292218), array(-0.37140397), array(-0.36527018), array(-0.39158731), array(-0.41288146), array(-0.44225069), array(-0.38908854), array(-0.39525505), array(-0.36733935)]","[0, 0, 1, 1, 0]",2.801762972373149,"[0, 0, 1.0, 1.0, 1.0]",3.5207415415368595
