,param_initialization,optimizer,qaoa_variant,warm_start,errors,depth,recursiv_vars,graph_size,graph_name,time_elapsed,quantum_func_evals,obj_func_evolution,quantum_solution,quantum_obj_value,classic_solution,classic_value
0,gaussian,COBYLA,recursive,False,True,1,5,5,D~{,0.049219369888305664,0,[],[1. 1. 1. 1. 0.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
1,gaussian,COBYLA,recursive,False,True,1,5,5,HCrfZzf,0.07748699188232422,0,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
2,gaussian,COBYLA,recursive,False,True,1,6,5,D~{,0.040110111236572266,0,[],[1. 1. 1. 1. 0.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
3,gaussian,COBYLA,recursive,False,True,1,6,5,HCrfZzf,0.11357927322387695,0,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
4,gaussian,COBYLA,recursive,False,True,1,7,5,D~{,0.04415297508239746,0,[],[1. 1. 1. 1. 0.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
5,gaussian,COBYLA,recursive,False,True,1,7,5,HCrfZzf,0.15818214416503906,0,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
6,gaussian,COBYLA,recursive,False,True,1,5,5,D~{,0.07620596885681152,0,[],[1. 1. 1. 1. 0.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
7,gaussian,COBYLA,recursive,False,True,1,5,5,HCrfZzf,0.10940170288085938,0,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
8,gaussian,COBYLA,recursive,False,True,1,6,5,D~{,0.1628730297088623,0,[],[1. 1. 1. 1. 0.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
9,gaussian,COBYLA,recursive,False,True,1,6,5,HCrfZzf,0.1693861484527588,0,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
10,gaussian,COBYLA,recursive,False,True,1,7,5,D~{,0.045076847076416016,0,[],[1. 1. 1. 1. 0.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
11,gaussian,COBYLA,recursive,False,True,1,7,5,HCrfZzf,0.029689550399780273,0,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
12,gaussian,COBYLA,recursive,False,True,1,5,5,D~{,0.03130817413330078,0,[],[1. 1. 1. 1. 0.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
13,gaussian,COBYLA,recursive,False,True,1,5,5,HCrfZzf,0.04888105392456055,0,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
14,gaussian,COBYLA,recursive,False,True,1,6,5,D~{,0.045851945877075195,0,[],[1. 1. 1. 1. 0.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
15,gaussian,COBYLA,recursive,False,True,1,6,5,HCrfZzf,0.03181576728820801,0,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
16,gaussian,COBYLA,recursive,False,True,1,7,5,D~{,0.026750802993774414,0,[],[1. 1. 1. 1. 0.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
17,gaussian,COBYLA,recursive,False,True,1,7,5,HCrfZzf,0.02863931655883789,0,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
18,gaussian,COBYLA,recursive,False,True,1,5,5,D~{,0.030337810516357422,0,[],[1. 1. 1. 1. 0.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
19,gaussian,COBYLA,recursive,False,True,1,5,5,HCrfZzf,0.05111384391784668,0,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
20,gaussian,COBYLA,recursive,False,True,1,6,5,D~{,0.10349726676940918,0,[],[1. 1. 1. 1. 0.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
21,gaussian,COBYLA,recursive,False,True,1,6,5,HCrfZzf,0.047618865966796875,0,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
22,gaussian,COBYLA,recursive,False,True,1,7,5,D~{,0.0909276008605957,0,[],[1. 1. 1. 1. 0.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
23,gaussian,COBYLA,recursive,False,True,1,7,5,HCrfZzf,0.04679298400878906,0,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
24,gaussian,COBYLA,recursive,False,True,1,5,5,D~{,0.043895721435546875,0,[],[1. 1. 1. 1. 0.],3.3768990694203076,"[1.0, 1.0, 1.0, 1.0, 0]",3.376899069420308
25,gaussian,COBYLA,recursive,False,True,1,5,5,HCrfZzf,0.029331207275390625,0,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
