param_initialization,optimizer,qaoa_variant,warm_start,errors,depth,lagrangian_multiplier,amount_shots,max_tol,error_mitigation,vertexcover,graph_size,graph_name,time_elapsed,quantum_func_evals,obj_func_evolution,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal
gaussian,COBYLA,vanilla,False,True,2,2,5000,1e-08,True,True,5,>>graph6<<DkO,257.6486904621124,91,"[0.2108, 0.8348, 0.3874, 0.3434, 0.1644, 0.2402, 0.33020000000000005, -0.10700000000000001, -0.3236, -0.6406000000000001, -0.302, -0.2876, -0.5906, -0.5434, -0.030000000000000013, -0.21100000000000002, -0.7098, -0.707, -0.601, -0.7162000000000001, -0.6642, -0.7278, -0.6519999999999999, -0.6799999999999999, -0.6908000000000001, -0.7178, -0.6958, -0.6858, -0.6602, -0.6846, -0.7292, -0.688, -0.7328000000000001, -0.6754, -0.7144, -0.7103999999999999, -0.69, -0.688, -0.7002, -0.7012, -0.7034, -0.7106, -0.6934, -0.7132000000000001, -0.7214, -0.7342, -0.706, -0.6802, -0.6804, -0.7142, -0.673, -0.7, -0.6968, -0.6714, -0.6804, -0.7323999999999999, -0.686, -0.7061999999999999, -0.7130000000000001, -0.7236, -0.6910000000000001, -0.6989999999999998, -0.6876, -0.6841999999999999, -0.73, -0.6896, -0.7138, -0.7026000000000001, -0.6674, -0.73, -0.6908, -0.6801999999999999, -0.7388, -0.7098, -0.7470000000000001, -0.723, -0.7452, -0.7068000000000001, -0.6778000000000001, -0.7108000000000001, -0.7154, -0.7285999999999999, -0.7186, -0.7123999999999999, -0.7072, -0.7164, -0.7063999999999999, -0.697, -0.6768, -0.6812, -0.6910000000000001]","[0, 1, 1, 0, 1]",3,"[1.0, 1.0, 0, 0, 0]",2.0,[3.04541783 1.9564981  2.38261224 2.28109065],0.1741
gaussian,COBYLA,vanilla,False,True,2,2,5000,1e-08,True,True,5,>>graph6<<Dm{,261.367723941803,89,"[0.016000000000000007, -0.15959999999999996, 0.107, 1.2628000000000001, 0.16640000000000002, -0.06440000000000003, -1.3305999999999998, 0.19539999999999996, -1.3322000000000005, -1.155, -1.4679999999999997, -0.46940000000000015, -0.8787999999999999, -1.1834000000000002, -1.8176, -1.1442, -0.7048, -1.8729999999999998, -1.7787999999999997, -1.4189999999999998, -1.8798000000000001, -2.0994, -1.9506000000000001, -2.1036, -2.0708, -1.9902000000000002, -2.1037999999999997, -2.0778, -2.1224000000000007, -2.0982000000000003, -2.1239999999999997, -2.0649999999999995, -2.0822, -2.1245999999999996, -2.1153999999999997, -2.0918, -2.1353999999999997, -2.0984, -2.1253999999999995, -2.0766, -2.1044, -2.1321999999999997, -2.1101999999999994, -2.0994, -2.1214000000000004, -2.1078, -2.0904000000000007, -2.1294000000000004, -2.1646, -2.131399999999999, -2.1164, -2.1127999999999996, -2.1555999999999997, -2.125, -2.0995999999999997, -2.1435999999999997, -2.0705999999999998, -2.0766, -2.1058, -2.1416, -2.1085999999999996, -2.1043999999999996, -2.1158, -2.0632000000000006, -2.1061999999999994, -2.0972000000000004, -2.1068, -2.105400000000001, -2.0725999999999996, -2.1313999999999993, -2.0868, -2.0702000000000007, -2.1208000000000005, -2.1224, -2.1088, -2.1148000000000002, -2.0898000000000003, -2.1032000000000006, -2.0865999999999993, -2.1029999999999998, -2.104600000000001, -2.106, -2.085, -2.1127999999999996, -2.134000000000001, -2.0986000000000007, -2.1029999999999993, -2.1088, -2.1464000000000003]","[1, 1, 1, 1, 0]",4,"[1.0, 0, 0, 1.0, 1.0]",3.0,[4.25246161 1.63210002 2.80337597 1.04558609],0.16
gaussian,COBYLA,vanilla,False,True,2,2,5000,1e-08,True,True,7,>>graph6<<FkPsg,246.4650862216949,80,"[0.13820000000000002, 1.6228000000000002, 0.10660000000000001, 5.0422, 5.4350000000000005, 3.1677999999999997, 0.7463999999999997, 0.2614, 0.4622, 0.3786, 0.13979999999999998, 0.24719999999999998, 0.16719999999999993, 0.08779999999999999, 0.187, 0.18179999999999996, 0.11740000000000003, 0.10439999999999999, 0.13579999999999998, 0.21919999999999998, 0.09439999999999997, 0.13279999999999997, 0.129, 0.15500000000000003, 0.19099999999999998, 0.07940000000000001, 0.18420000000000003, 0.13580000000000003, 0.047, 0.22460000000000002, 0.0848, 0.164, 0.16620000000000001, 0.12259999999999997, 0.22240000000000001, 0.111, 0.1816, 0.15420000000000003, 0.17740000000000003, 0.1428, 0.1352, 0.097, 0.1884, 0.0808, 0.2004, 0.1064, 0.1346, 0.10040000000000002, 0.07179999999999999, 0.143, 0.23239999999999997, 0.1306, 0.13779999999999998, 0.17179999999999998, 0.14679999999999999, 0.2572, 0.1238, 0.2082, 0.201, 0.17239999999999997, 0.16340000000000002, 0.20840000000000003, 0.06119999999999999, 0.0726, 0.2148, 0.08120000000000001, 0.13040000000000002, 0.10080000000000001, 0.108, 0.1408, 0.10400000000000001, 0.19659999999999997, 0.07440000000000001, 0.2032, 0.1252, 0.15139999999999998, 0.08600000000000001, 0.10740000000000001, 0.11719999999999997, 0.16199999999999998]","[0, 1, 0, 0, 0, 1, 0]",8,"[1.0, 0, 0, 1.0, 0, 1.0, 1.0]",4.0,[3.17251136 2.46447445 3.24284552 1.60848909],0.0095
gaussian,COBYLA,vanilla,False,True,2,2,5000,1e-08,True,True,7,>>graph6<<Fm~]w,248.63696336746216,81,"[5.712400000000001, -4.1388, 4.385599999999999, 4.5443999999999996, -4.1292, -0.9405999999999997, 0.6483999999999998, -3.5168000000000004, -2.9199999999999973, -3.7400000000000007, -4.054800000000001, -4.324400000000002, -3.7857999999999996, -4.857600000000004, -4.624, -4.773400000000003, -4.774000000000001, -4.148, -4.709599999999999, -4.9062, -4.907599999999998, -4.8934000000000015, -4.8964, -4.852600000000001, -4.973399999999999, -4.972000000000001, -4.967, -4.9398, -4.961199999999998, -4.948599999999999, -4.9685999999999995, -4.991599999999999, -4.969799999999998, -4.9572, -5.013399999999999, -4.9872000000000005, -4.922999999999998, -4.914999999999999, -4.9882000000000035, -4.937, -4.973200000000001, -4.943199999999998, -4.982599999999998, -4.969799999999999, -5.046400000000001, -5.0402000000000005, -5.055599999999999, -4.9574, -4.924199999999998, -4.8965999999999985, -4.938000000000001, -4.957000000000001, -4.958199999999999, -4.933599999999998, -4.922399999999998, -4.960399999999998, -4.9792, -4.886799999999999, -4.928800000000001, -5.0076, -4.952799999999999, -4.996600000000001, -4.9556000000000004, -4.912000000000002, -5.0132, -4.987399999999997, -4.936000000000003, -4.989999999999998, -4.989000000000001, -4.957200000000002, -4.9075999999999995, -4.948199999999999, -5.011599999999998, -4.934599999999998, -4.9891999999999985, -5.021199999999998, -4.979400000000001, -4.9612000000000025, -4.941200000000001, -4.9538, -4.9688]","[1, 1, 0, 1, 1, 1, 1]",6,"[1.0, 0, 0, 1.0, 1.0, 1.0, 1.0]",5.0,[3.98362516 1.30511352 2.84816495 1.61830239],0.1159
gaussian,COBYLA,vanilla,False,True,2,2,5000,1e-08,True,True,9,>>graph6<<HkPsgZ@,286.12750482559204,91,"[-0.11800000000000006, 1.0786000000000002, 0.148, 0.1328, 0.2365999999999999, 5.4647999999999985, 1.5461999999999996, 0.051999999999999984, 0.29260000000000014, -0.5802, -0.3317999999999999, -0.9510000000000003, -1.1246000000000003, 0.1722, -1.3155999999999997, -2.1686, -2.351599999999999, -3.243200000000001, -4.1358, -3.907600000000001, -3.7643999999999975, -2.5429999999999993, -4.0114, -3.9331999999999985, -3.2558, -3.838799999999999, -4.2566, -4.265199999999999, -4.2738000000000005, -4.2288, -4.232600000000002, -4.233799999999999, -4.3180000000000005, -4.2540000000000004, -4.2572, -4.273399999999999, -4.264399999999999, -4.325, -4.263000000000001, -4.248400000000001, -4.2362, -4.2631999999999985, -4.28, -4.3012, -4.2951999999999995, -4.2532000000000005, -4.271399999999998, -4.292399999999999, -4.2424, -4.300799999999999, -4.285399999999999, -4.256399999999999, -4.2756, -4.276400000000001, -4.291000000000002, -4.2666, -4.310600000000001, -4.281799999999999, -4.244799999999998, -4.271799999999999, -4.277000000000001, -4.2544, -4.2799999999999985, -4.275399999999999, -4.2706, -4.2822000000000005, -4.265600000000002, -4.227, -4.2538, -4.236, -4.284600000000001, -4.303, -4.316999999999999, -4.226800000000001, -4.2658000000000005, -4.292800000000001, -4.292000000000002, -4.305599999999999, -4.242000000000002, -4.272, -4.2504000000000035, -4.325200000000001, -4.2416, -4.247000000000001, -4.298999999999999, -4.275, -4.278800000000001, -4.279000000000001, -4.278399999999998, -4.2534, -4.3334]","[1, 1, 1, 0, 0, 1, 1, 1, 0]",6,"[1.0, 1.0, 0, 1.0, 0, 1.0, 0, 1.0, 0]",5.0,[2.04482854 1.52615539 3.41662768 1.1040826 ],0.026
gaussian,COBYLA,vanilla,False,True,2,2,5000,1e-08,True,True,9,>>graph6<<Hm~]x^^,304.29223012924194,94,"[0.43400000000000005, 6.585400000000001, -0.4454000000000001, 1.0403999999999995, 1.6216000000000002, -7.6342, 4.461400000000001, -3.421999999999996, -6.1739999999999995, 21.21000000000001, -0.17139999999999983, -7.186800000000003, -7.330000000000001, -6.715, -8.2986, -7.7594, -8.0832, -7.311199999999995, -7.9232, -8.0328, -8.439600000000004, -8.4788, -8.4322, -8.46, -8.0166, -8.5112, -8.387200000000005, -8.451999999999996, -8.504999999999999, -8.493999999999998, -8.5432, -8.393599999999994, -8.521200000000006, -8.5112, -8.483600000000001, -8.389400000000002, -8.5428, -8.4532, -8.540000000000004, -8.543399999999997, -8.425399999999991, -8.423200000000001, -8.521000000000003, -8.4784, -8.455799999999996, -8.569400000000005, -8.459400000000004, -8.516399999999996, -8.477600000000004, -8.520599999999996, -8.446599999999998, -8.596399999999996, -8.438999999999995, -8.412799999999999, -8.534799999999999, -8.595799999999997, -8.567999999999998, -8.4644, -8.491800000000001, -8.554800000000004, -8.466399999999997, -8.542399999999999, -8.479399999999998, -8.453200000000002, -8.605599999999999, -8.574399999999995, -8.565799999999998, -8.514400000000002, -8.377599999999997, -8.520799999999998, -8.407799999999998, -8.53, -8.415000000000001, -8.465600000000002, -8.499999999999996, -8.530599999999998, -8.526400000000006, -8.537000000000004, -8.418800000000001, -8.482200000000004, -8.3762, -8.427600000000002, -8.439400000000001, -8.451200000000002, -8.500000000000004, -8.488800000000005, -8.4692, -8.444200000000002, -8.602599999999994, -8.4914, -8.5168, -8.5906, -8.522400000000001, -8.455599999999997]","[1, 1, 1, 1, 1, 1, 1, 1, 1]",9,"[0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0, 1.0]",7.0,[2.39032207 2.88393102 2.94190881 1.15607988],0.022
gaussian,COBYLA,vanilla,False,True,4,2,5000,1e-08,True,True,5,>>graph6<<DkO,497.8922989368439,163,"[-0.09619999999999998, -0.09899999999999998, 0.37560000000000004, -0.3964, 0.1516, 0.08000000000000002, 0.8555999999999999, -0.11360000000000006, -0.6142, -0.44720000000000004, 0.273, -0.6198, 0.26539999999999997, -0.4468, -0.33499999999999996, -0.6162000000000001, 0.48100000000000004, -0.3114, -0.611, -0.2704, -0.4094, -0.4958, -0.5591999999999999, -0.5850000000000001, -0.5458000000000001, -0.6426, -0.64, -0.6842, -0.6884000000000001, -0.678, -0.6594, -0.722, -0.7315999999999999, -0.7692, -0.7334, -0.7673999999999999, -0.6487999999999999, -0.7678, -0.8140000000000001, -0.8460000000000001, -0.8538, -0.8752, -0.9049999999999999, -0.8698, -0.9272, -0.9713999999999999, -0.9284, -0.913, -0.9878, -0.9595999999999999, -0.9628, -0.9877999999999999, -1.0239999999999998, -1.0298, -1.0015999999999998, -0.9994, -0.9373999999999999, -1.0570000000000002, -1.0586, -1.0435999999999999, -1.0482, -0.9910000000000001, -1.0432000000000001, -1.0306, -1.052, -1.0204, -1.0338, -1.062, -1.043, -1.0317999999999998, -1.0252, -1.0314, -1.0436, -1.0228000000000002, -1.036, -1.0144, -1.104, -1.0462, -1.0384, -1.0456, -1.0324, -1.0056, -1.0372, -1.0048, -1.0579999999999998, -1.0444, -1.0150000000000001, -1.0104, -1.0164, -1.0219999999999998, -1.0624, -1.0246, -1.0568, -1.0138, -1.062, -1.0310000000000001, -1.0266, -1.0508, -1.0097999999999998, -1.0584, -1.037, -1.0266, -1.0176, -1.0253999999999999, -1.0142, -1.011, -1.0246000000000002, -1.0814, -1.054, -1.046, -1.0448, -1.0582, -1.0584, -1.0354, -1.05, -1.024, -1.0388000000000002, -1.0296, -1.028, -0.999, -1.038, -1.064, -1.0024, -1.0393999999999999, -1.0562, -1.0162, -1.0404, -1.0404, -1.0378, -1.038, -1.0102000000000002, -1.0270000000000001, -1.0292, -1.0322, -1.0114, -1.0176, -1.0594, -1.0768, -0.9947999999999999, -1.0364, -1.0288, -1.028, -1.0253999999999999, -1.034, -1.0215999999999998, -1.066, -1.0332, -1.0352000000000001, -1.0422, -1.016, -1.0474, -1.0028, -1.0310000000000001, -1.017, -1.0528000000000002, -1.0546, -1.028, -1.0204, -1.044, -1.0312000000000001, -1.0417999999999998, -1.0288000000000002, -1.0332]","[0, 1, 1, 0, 1]",3,"[1.0, 1.0, 0, 0, 0]",2.0,"[4.43457881 1.31504092 4.19883962 1.5755182  2.83539909 1.47327513
 3.20189302 2.43509707]",0.2213999999999999
gaussian,COBYLA,vanilla,False,True,4,2,5000,1e-08,True,True,5,>>graph6<<Dm{,427.7827544212341,149,"[-0.2604, -0.06699999999999999, -0.005200000000000006, 0.18180000000000002, -0.3748, 0.255, 0.5486, -0.11239999999999997, -0.5209999999999999, -0.9375999999999999, -0.8715999999999999, 1.0586000000000002, 0.025400000000000075, -0.34020000000000006, 1.2872, -0.9186, -0.8688000000000002, -0.7942000000000001, -0.2584000000000001, 0.01759999999999995, 1.4130000000000003, -1.255, -0.9881999999999997, -1.2257999999999998, -1.347, -1.3906000000000005, -0.5803999999999998, -0.43560000000000015, -1.4958, -1.4326000000000003, -1.2394, -1.4274000000000007, -1.3856000000000002, -1.5340000000000003, -1.2778, -1.5444000000000002, -1.4812, -1.3569999999999995, -1.5277999999999998, -1.6139999999999994, -1.5837999999999994, -1.6044, -1.5947999999999998, -1.6047999999999993, -1.6102, -1.6079999999999999, -1.5664, -1.6186000000000003, -1.6183999999999994, -1.5986, -1.6154, -1.6234000000000002, -1.5998, -1.6446, -1.6276000000000006, -1.6105999999999994, -1.6385999999999998, -1.5978, -1.6247999999999996, -1.6259999999999997, -1.6068000000000002, -1.601, -1.6039999999999996, -1.5999999999999996, -1.5696, -1.5828000000000002, -1.5836000000000001, -1.6164000000000003, -1.5906, -1.6295999999999997, -1.6090000000000002, -1.5888000000000004, -1.5940000000000003, -1.6158000000000001, -1.5838, -1.6175999999999997, -1.5564, -1.579, -1.568, -1.6343999999999999, -1.6299999999999994, -1.6284, -1.5673999999999997, -1.6346, -1.6522000000000001, -1.6212, -1.6523999999999996, -1.5741999999999994, -1.6011999999999995, -1.6127999999999991, -1.6030000000000002, -1.6079999999999997, -1.6147999999999991, -1.5658000000000005, -1.6102000000000005, -1.5822, -1.6048, -1.6214, -1.6141999999999994, -1.6350000000000007, -1.5650000000000002, -1.6354000000000004, -1.6228, -1.5648000000000002, -1.5988000000000004, -1.5623999999999996, -1.6208000000000002, -1.6071999999999997, -1.5663999999999993, -1.6054000000000004, -1.6002000000000003, -1.5737999999999999, -1.5780000000000003, -1.6266000000000005, -1.6016000000000001, -1.5758, -1.5718000000000005, -1.6487999999999998, -1.6038000000000001, -1.5994, -1.6032000000000004, -1.5851999999999997, -1.6284000000000003, -1.6061999999999994, -1.6191999999999995, -1.5871999999999997, -1.5952000000000002, -1.6061999999999999, -1.5951999999999997, -1.5941999999999992, -1.607, -1.6386000000000003, -1.6318000000000006, -1.6312000000000002, -1.6077999999999997, -1.5902, -1.6118, -1.6282000000000005, -1.5799999999999998, -1.5776, -1.6166000000000003, -1.5868000000000004, -1.6364, -1.5989999999999998, -1.6053999999999995, -1.6316000000000006, -1.5923999999999991, -1.6172000000000006, -1.6053999999999995]","[1, 1, 1, 1, 1]",5,"[1.0, 0, 0, 1.0, 1.0]",3.0,"[3.59389138 1.18652311 2.77136646 2.46149062 2.49824453 0.61978956
 2.5063507  2.60234627]",0.1009
gaussian,COBYLA,vanilla,False,True,4,2,5000,1e-08,True,True,7,>>graph6<<FkPsg,466.2111294269562,146,"[0.362, 1.85, 0.33720000000000006, 0.11320000000000002, -0.0586, 0.2092, 0.23940000000000003, 0.09499999999999997, 0.10440000000000002, 1.1504, -0.5812, -1.2946, 0.03980000000000011, -0.7399999999999999, -0.9174000000000001, -0.7175999999999998, -0.6491999999999999, -1.8033999999999994, -2.156800000000001, -2.2835999999999994, -1.4078000000000004, -1.778, -1.8266, -1.7730000000000001, -2.0866000000000002, -2.2461999999999995, -2.2248000000000006, -2.2612, -2.3262000000000005, -2.231600000000001, -2.2316, -2.4863999999999997, -2.5404, -2.6139999999999994, -2.7341999999999995, -2.78, -2.7394000000000007, -2.7629999999999995, -2.7679999999999993, -2.7624, -2.703600000000001, -2.7125999999999997, -2.7719999999999994, -2.757, -2.7476000000000007, -2.7756, -2.7347999999999995, -2.758600000000001, -2.7346000000000004, -2.724, -2.7724, -2.7919999999999994, -2.7722, -2.7238000000000007, -2.7510000000000003, -2.7466000000000004, -2.755199999999999, -2.7398000000000007, -2.750600000000001, -2.7476, -2.7576, -2.769199999999999, -2.7680000000000002, -2.7688000000000006, -2.7370000000000005, -2.7237999999999993, -2.7697999999999996, -2.7243999999999993, -2.7725999999999997, -2.7386000000000004, -2.7284, -2.7484, -2.7470000000000003, -2.7561999999999993, -2.7611999999999997, -2.738, -2.7575999999999996, -2.7604000000000006, -2.7610000000000006, -2.772, -2.740600000000001, -2.7122, -2.7809999999999997, -2.7466, -2.7563999999999993, -2.7596, -2.7600000000000002, -2.7474, -2.740999999999999, -2.7676000000000007, -2.693400000000001, -2.7624, -2.7175999999999996, -2.7157999999999998, -2.749199999999999, -2.7601999999999998, -2.7789999999999995, -2.7726, -2.7294000000000005, -2.784799999999999, -2.7389999999999994, -2.754200000000001, -2.7756, -2.7500000000000004, -2.7478, -2.7338000000000005, -2.775800000000001, -2.775, -2.7459999999999996, -2.7106, -2.7796000000000003, -2.7644, -2.7219999999999995, -2.7526, -2.737600000000001, -2.7452, -2.75, -2.7392, -2.7659999999999996, -2.7126, -2.7520000000000002, -2.7384000000000004, -2.7457999999999996, -2.7918000000000007, -2.7658000000000005, -2.7652, -2.7123999999999997, -2.7376000000000005, -2.7436, -2.7579999999999996, -2.7802, -2.7223999999999995, -2.736, -2.7148, -2.7999999999999994, -2.7658, -2.7552, -2.7806, -2.714399999999999, -2.7719999999999994, -2.7156000000000002, -2.7410000000000005, -2.7577999999999996, -2.7488000000000006, -2.7211999999999996, -2.7439999999999993]","[1, 0, 1, 1, 0, 1, 1]",5,"[1.0, 0, 0, 1.0, 0, 1.0, 1.0]",4.0,"[4.18803842 2.64879622 4.14023204 3.14285832 2.83272186 1.4149638
 3.1411804  1.37153732]",0.1387
gaussian,COBYLA,vanilla,False,True,4,2,5000,1e-08,True,True,7,>>graph6<<Fm~]w,462.2020814418793,143,"[0.8291999999999999, -1.9285999999999999, 1.6088, 1.8652, 1.7429999999999997, 2.3379999999999996, -1.6343999999999999, -1.8891999999999998, -2.1366000000000005, 4.748800000000001, 0.1802, -1.7000000000000002, 2.8962000000000003, 5.9651999999999985, -2.085, -1.8968, 7.745600000000001, -1.6739999999999997, -1.8124000000000002, -2.8547999999999996, -2.2256, -3.0133999999999994, -2.2957999999999994, 0.29779999999999984, -3.895199999999999, -3.101000000000001, -3.7878, -0.5238000000000005, -4.3232, -4.457999999999997, -3.7825999999999986, -4.6065999999999985, -4.842800000000002, -4.673199999999999, -4.6684, -4.795799999999999, -4.809000000000001, -4.8506, -4.8606, -4.937399999999999, -4.851599999999998, -4.8596, -4.746199999999999, -4.769999999999999, -4.800200000000001, -4.802399999999997, -4.751999999999999, -4.7734, -4.845999999999999, -4.7928, -4.8626000000000005, -4.860199999999997, -4.852000000000001, -4.8309999999999995, -4.839000000000003, -4.8608, -4.8687999999999985, -4.865399999999997, -4.817200000000001, -4.864000000000002, -4.867400000000003, -4.886000000000002, -4.861000000000002, -4.8713999999999995, -4.906199999999999, -4.8858, -4.760199999999999, -4.848399999999998, -4.804199999999998, -4.8226, -4.8740000000000006, -4.804199999999997, -4.8624, -4.865799999999999, -4.85, -4.8828, -4.8024000000000004, -4.856599999999998, -4.857599999999998, -4.813400000000001, -4.8683999999999985, -4.858400000000001, -4.862199999999998, -4.8154, -4.8754, -4.920800000000002, -4.855799999999999, -4.8538, -4.8776, -4.884199999999999, -4.851400000000001, -4.844799999999999, -4.896400000000001, -4.9286, -4.850200000000001, -4.793800000000002, -4.8202, -4.925400000000001, -4.935800000000002, -4.836799999999999, -4.8408000000000015, -4.818600000000004, -4.7896, -4.815999999999999, -4.864399999999999, -4.817799999999999, -4.8438000000000025, -4.837799999999998, -4.768799999999999, -4.8844, -4.7936000000000005, -4.8065999999999995, -4.818, -4.832800000000002, -4.833799999999998, -4.952400000000002, -4.817400000000001, -4.738600000000001, -4.867999999999998, -4.795999999999998, -4.834199999999998, -4.903399999999999, -4.8884000000000025, -4.8176000000000005, -4.8918, -4.846400000000001, -4.858599999999998, -4.794999999999999, -4.845399999999998, -4.912000000000003, -4.826000000000001, -4.9124, -4.869599999999999, -4.918600000000001, -4.823200000000001, -4.834200000000001, -4.865599999999997, -4.830600000000001, -4.819800000000001, -4.843999999999999, -4.864799999999998, -4.839999999999998, -4.851799999999999]","[1, 1, 0, 1, 1, 1, 1]",6,"[1.0, 0, 0, 1.0, 1.0, 1.0, 1.0]",5.0,"[3.82105513 1.40402766 2.98246193 1.7385686  3.43347386 1.75951679
 3.29820182 2.69203873]",0.059
