,param_initialization,optimizer,qaoa_variant,warm_start,errors,depth,graph_size,graph_name,time_elapsed,quantum_func_evals,obj_func_evolution,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal
10,gaussian,COBYLA,vanilla,False,True,8,5,B,592.2750463485718,96,"[array(0.33516484), array(0.25724276), array(0.22227772), array(0.66083916), array(0.28721279), array(0.11438561), array(-0.2042957), array(0.03746254), array(0.47302697), array(0.35614386), array(1.08341658), array(0.46803197), array(0.32817183), array(0.54695305), array(0.37612388), array(0.36913087), array(0.37012987), array(0.79470529), array(1.67882118), array(-0.12537463), array(0.44405594), array(-0.15934066), array(-0.22627373), array(-0.27222777), array(-0.74375624), array(0.25024975), array(-0.42207792), array(-0.03946054), array(-0.60889111), array(-0.34015984), array(-0.76473526), array(-0.66183816), array(-0.41708292), array(0.17332667), array(0.08141858), array(0.11738262), array(-0.16933067), array(-0.75774226), array(-0.75174825), array(-0.73576424), array(-0.67382617), array(-0.6028971), array(-0.81468531), array(-0.62787213), array(-0.54795205), array(-0.78471528), array(-0.71878122), array(-0.8966034), array(-0.34215784), array(-0.74675325), array(-0.73876124), array(-0.64385614), array(-0.37212787), array(-0.67782218), array(-0.83166833), array(-0.74975025), array(-0.92657343), array(-0.88761239), array(-0.71378621), array(-0.83566434), array(-0.78671329), array(-0.73776224), array(-0.76073926), array(-0.78971029), array(-0.72577423), array(-0.84765235), array(-0.75774226), array(-0.73876124), array(-0.71578422), array(-0.83466533), array(-0.81068931), array(-0.71178821), array(-0.75774226), array(-0.91858142), array(-0.83166833), array(-0.86663337), array(-0.81468531), array(-0.76573427), array(-0.81168831), array(-0.77572428), array(-0.7007992), array(-0.88861139), array(-0.79370629), array(-0.84465534), array(-0.88161838), array(-0.78971029), array(-0.85064935), array(-0.75474525), array(-0.92957043), array(-0.7037962), array(-0.74375624), array(-0.73576424), array(-0.76573427), array(-0.86463536), array(-0.82167832), array(-0.82567433)]","[1, 1, 1, 1, 1]",5,"[1.0, 1.0, 0, 0, 0]",4.0,"[4.09244548 2.97762801 3.47195634 1.42629469 4.22516085 2.57746127
 3.20979854 1.01100505 2.82579447 2.03651245 2.78381901 1.72670215
 3.20141606 1.11805582 3.22942266 1.28478554]",0.21789999999999998
11,gaussian,COBYLA,vanilla,False,True,8,5,k,546.9815764427185,88,"[array(0.74975025), array(0.02047952), array(1.22227772), array(0.26223776), array(1.52997003), array(-1.70779221), array(0.77172827), array(1.78771229), array(0.39410589), array(0.34215784), array(-0.80869131), array(0.40609391), array(0.32117882), array(-0.64085914), array(-1.84065934), array(-1.15534466), array(-1.83166833), array(-1.53096903), array(-1.05544456), array(-1.88161838), array(-0.39210789), array(-1.68381618), array(-1.02847153), array(-1.84865135), array(-0.87962038), array(-1.2962038), array(-0.53296703), array(-1.27422577), array(-0.80969031), array(-1.56493506), array(-0.84865135), array(-1.81868132), array(-1.86863137), array(-1.57092907), array(-1.91058941), array(-1.69480519), array(-1.86963037), array(-1.76473526), array(-1.80969031), array(-1.94255744), array(-1.71178821), array(-1.85964036), array(-1.73876124), array(-1.77972028), array(-1.83066933), array(-1.85864136), array(-1.63386613), array(-1.88661339), array(-1.82767233), array(-1.75474525), array(-1.81868132), array(-1.91358641), array(-1.88261738), array(-2.00649351), array(-1.96653347), array(-2.06043956), array(-1.96753247), array(-1.94755245), array(-1.96453546), array(-1.90859141), array(-1.98251748), array(-2.0034965), array(-1.93756244), array(-2.04645355), array(-1.98651349), array(-1.93456543), array(-1.97052947), array(-1.89160839), array(-1.99450549), array(-1.97552448), array(-1.99050949), array(-2.02547453), array(-1.95854146), array(-2.06243756), array(-1.95754246), array(-1.97452547), array(-1.94455544), array(-1.99050949), array(-1.97252747), array(-2.0044955), array(-1.95254745), array(-1.98551449), array(-1.91558442), array(-1.96853147), array(-2.01848152), array(-1.95954046), array(-1.98151848), array(-1.99450549)]","[1, 1, 1, 1, 0]",4,"[1.0, 1.0, 0, 0, 0]",6.0,"[3.81334806 1.50338757 3.08520553 1.64795149 3.98171462 1.50708571
 3.47669816 1.62443128 3.30681127 1.46291939 3.33602448 1.64488674
 3.08846978 2.42824117 3.52995551 1.35216993]",0.0106
12,gaussian,COBYLA,vanilla,False,True,2,5,D,218.26807713508606,36,"[array(-0.14985015), array(0.08891109), array(0.22477522), array(-0.05194805), array(0.12387612), array(-0.37162837), array(1.82817183), array(-0.62237762), array(0.48551449), array(-0.47052947), array(-0.44655345), array(-1.15584416), array(-1.3016983), array(-1.18181818), array(-1.11488511), array(-1.02397602), array(-1.32967033), array(-1.17682318), array(-1.37862138), array(-1.46953047), array(-1.66333666), array(-1.68231768), array(-1.70729271), array(-1.48751249), array(-1.63136863), array(-1.62637363), array(-1.7002997), array(-1.75324675), array(-1.70929071), array(-1.66233766), array(-1.63736264), array(-1.64135864), array(-1.74425574), array(-1.66433566), array(-1.68431568), array(-1.77622378)]","[0, 0, 0, 1, 1]",2,"[1.0, 1.0, 1.0, 0, 0]",4.0,[2.76020701 0.23790246 2.65018172 1.67731995],0.2157
13,gaussian,COBYLA,vanilla,False,True,2,5,B,190.80530738830566,32,"[array(0.02147852), array(-0.44505495), array(0.16333666), array(-0.28121878), array(-0.35314685), array(-0.54095904), array(2.24125874), array(0.29020979), array(-0.74075924), array(0.23226773), array(-0.91758242), array(-0.82367632), array(-0.97652348), array(-1.35514486), array(0.11638362), array(-0.98651349), array(-1.31218781), array(-1.48601399), array(-1.31018981), array(-1.2962038), array(-1.45004995), array(-1.56393606), array(-1.44805195), array(-1.46403596), array(-1.42807193), array(-1.55394605), array(-1.49300699), array(-1.53696304), array(-1.57592408), array(-1.55794206), array(-1.46903097), array(-1.48601399)]","[0, 0, 1, 1, 1]",3,"[1.0, 1.0, 0, 0, 0]",4.0,[5.54588574 0.23818776 2.89368929 0.42862036],0.4174
14,gaussian,COBYLA,vanilla,False,True,2,5,k,167.32098150253296,28,"[array(-0.45804196), array(1.15234765), array(0.5979021), array(2.60589411), array(2.26823177), array(1.03346653), array(1.25524476), array(0.51498501), array(-0.38811189), array(-0.69480519), array(-0.38311688), array(-1.1043956), array(-0.46203796), array(-1.36113886), array(-1.22227772), array(-1.22027972), array(-1.22427572), array(-1.31418581), array(-1.24925075), array(-1.23926074), array(-1.29420579), array(-1.13636364), array(-1.26323676), array(-1.18231768), array(-1.25024975), array(-1.28221778), array(-1.17932068), array(-1.22327672)]","[1, 1, 0, 1, 1]",4,"[1.0, 1.0, 0, 0, 0]",6.0,[2.67870602 2.01192884 3.61539087 1.25923865],0.1369
15,gaussian,COBYLA,vanilla,False,True,4,5,D,391.1728365421295,64,"[array(-0.17282717), array(0.45254745), array(0.23276723), array(-0.36663337), array(0.36263736), array(0.52447552), array(0.6953047), array(-0.76123876), array(-0.90909091), array(0.77122877), array(-0.80919081), array(-0.85614386), array(-1.04595405), array(-1.06693307), array(-0.998002), array(-0.88911089), array(-0.93706294), array(-0.98201798), array(-0.38361638), array(-0.83016983), array(-0.78921079), array(-1.14085914), array(-1.01198801), array(-1.13386613), array(-1.18381618), array(-1.05394605), array(-1.46853147), array(-1.5014985), array(-1.48051948), array(-1.61838162), array(-1.35464535), array(-1.67132867), array(-1.65934066), array(-1.53846154), array(-1.67232767), array(-1.62337662), array(-1.65734266), array(-1.69130869), array(-1.66133866), array(-1.69030969), array(-1.6973027), array(-1.64635365), array(-1.66933067), array(-1.73526474), array(-1.72427572), array(-1.73526474), array(-1.68131868), array(-1.75024975), array(-1.69430569), array(-1.61838162), array(-1.58941059), array(-1.69030969), array(-1.60839161), array(-1.71828172), array(-1.7002997), array(-1.64035964), array(-1.7012987), array(-1.65834166), array(-1.66533467), array(-1.63036963), array(-1.73126873), array(-1.67632368), array(-1.66233766), array(-1.75424575)]","[0, 0, 0, 1, 1]",2,"[1.0, 1.0, 1.0, 0, 0]",4.0,"[3.04482198 1.53978817 3.897029   1.80019598 2.95559423 2.27210473
 4.26643184 2.53093798]",0.2383
16,gaussian,COBYLA,vanilla,False,True,4,5,B,307.8469879627228,51,"[array(0.1953047), array(0.05944056), array(0.15034965), array(-0.46903097), array(1.9045954), array(1.71578422), array(-1.15834166), array(0.00849151), array(-1.36113886), array(-0.45204795), array(-0.25324675), array(-1.23426573), array(0.39410589), array(-1.36013986), array(-0.93256743), array(-0.72277722), array(-0.55894106), array(-1.24425574), array(-1.35614386), array(-1.18531469), array(-1.21828172), array(-1.37412587), array(-1.3031968), array(-1.46203796), array(-1.41908092), array(-1.43606394), array(-1.44605395), array(-1.46903097), array(-1.41808192), array(-1.36413586), array(-1.44705295), array(-1.501998), array(-1.31618382), array(-1.37112887), array(-1.46903097), array(-1.4020979), array(-1.33516484), array(-1.46403596), array(-1.42007992), array(-1.52697303), array(-1.51198801), array(-1.52597403), array(-1.47102897), array(-1.44405594), array(-1.41508492), array(-1.47402597), array(-1.47302697), array(-1.43906094), array(-1.47502498), array(-1.44805195), array(-1.46903097)]","[1, 1, 1, 1, 0]",4,"[1.0, 1.0, 0, 0, 0]",4.0,"[4.30183496 1.46762229 4.3777194  1.36418233 2.88629908 2.74935296
 2.93527502 2.62766784]",0.36219999999999997
17,gaussian,COBYLA,vanilla,False,True,4,5,k,314.10198998451233,53,"[array(-1.31818182), array(3.78371628), array(-0.47402597), array(2.82267732), array(1.13936064), array(0.84765235), array(-0.84665335), array(-1.34315684), array(-1.11138861), array(-0.2012987), array(-0.30719281), array(0.07742258), array(-1.76573427), array(-1.22627373), array(-0.01948052), array(-1.84265734), array(-0.8956044), array(-1.61688312), array(-0.63786214), array(-1.72577423), array(-0.49000999), array(-1.95254745), array(-1.9015984), array(-1.14335664), array(-1.6988012), array(-1.55494505), array(-1.91958042), array(-1.85564436), array(-1.74175824), array(-1.76573427), array(-1.74575425), array(-1.7997003), array(-1.82567433), array(-1.9985015), array(-1.96053946), array(-1.9025974), array(-2.02647353), array(-2.02947053), array(-1.94055944), array(-2.01948052), array(-2.09340659), array(-1.98351648), array(-1.9975025), array(-2.01548452), array(-1.99150849), array(-2.01148851), array(-2.02447552), array(-1.94555445), array(-2.00849151), array(-2.04545455), array(-2.04045954), array(-1.97252747), array(-2.0014985)]","[1, 1, 0, 0, 1]",3,"[1.0, 1.0, 0, 0, 0]",6.0,"[2.71968047 1.93086936 3.37753896 1.41667545 2.8533189  1.03985561
 3.81026495 1.86709767]",0.3507
18,gaussian,COBYLA,vanilla,False,True,6,5,D,411.2715814113617,67,"[array(-0.06993007), array(-0.06193806), array(-0.31568432), array(-0.07392607), array(0.34465534), array(-0.13586414), array(-0.70729271), array(-0.1018981), array(-0.22677323), array(0.44955045), array(0.12387612), array(-0.80619381), array(1.002997), array(-0.21878122), array(-0.54045954), array(-0.94405594), array(-0.27272727), array(-0.64235764), array(-0.05494505), array(-0.64035964), array(-0.75624376), array(-0.95204795), array(-0.04295704), array(-0.8031968), array(-0.74425574), array(-0.71928072), array(-0.37362637), array(-0.83116883), array(-0.53646354), array(-0.68131868), array(-0.92007992), array(-0.65434565), array(-0.83316683), array(-0.92907093), array(-0.84415584), array(-0.84415584), array(-0.84315684), array(-0.91808192), array(-0.93806194), array(-0.95204795), array(-0.93306693), array(-0.94305694), array(-0.85814186), array(-0.9020979), array(-0.91708292), array(-0.85614386), array(-0.83716284), array(-0.81418581), array(-0.93206793), array(-0.94705295), array(-0.83616384), array(-0.84215784), array(-0.86313686), array(-0.92807193), array(-0.93706294), array(-0.84515485), array(-0.82117882), array(-0.92607393), array(-0.88611389), array(-0.94405594), array(-0.88611389), array(-0.86513487), array(-0.7962038), array(-0.91508492), array(-0.77322677), array(-0.93606394), array(-0.8951049)]","[0, 0, 0, 1, 1]",2,"[1.0, 1.0, 1.0, 0, 0]",4.0,"[2.9267106  2.73164447 2.65785039 1.57130045 2.9395575  2.74888015
 3.21793187 1.96120179 3.15697055 1.47158473 4.42663056 1.21700453]",0.1125
19,gaussian,COBYLA,vanilla,False,True,6,5,B,414.38296484947205,69,"[array(-0.00949051), array(-0.41208791), array(1.45904096), array(0.22727273), array(0.42407592), array(0.95054945), array(0.71078921), array(0.71478521), array(0.15634366), array(0.09140859), array(-0.42507493), array(0.06243756), array(-0.28121878), array(-0.82667333), array(-0.47802198), array(0.64585415), array(-0.05244755), array(0.30519481), array(-0.55494505), array(-1.47302697), array(-0.21528472), array(-1.32117882), array(-0.7017982), array(-1.74975025), array(-0.77872128), array(-1.67382617), array(-0.6988012), array(-1.56893107), array(-0.42807193), array(-0.75074925), array(-1.14435564), array(-0.34615385), array(-1.496004), array(-1.54395604), array(-1.31918082), array(-1.09340659), array(-1.52497502), array(-1.59390609), array(-1.53896104), array(-1.60589411), array(-1.65784216), array(-1.72277722), array(-1.63786214), array(-1.76773227), array(-1.63486513), array(-1.81968032), array(-1.71678322), array(-1.75274725), array(-1.78671329), array(-1.67582418), array(-1.67982018), array(-1.76673327), array(-1.73276723), array(-1.74575425), array(-1.70979021), array(-1.68781219), array(-1.68281718), array(-1.68181818), array(-1.67982018), array(-1.7037962), array(-1.76173826), array(-1.7027972), array(-1.62987013), array(-1.68881119), array(-1.68681319), array(-1.78271728), array(-1.71078921), array(-1.74475524), array(-1.68781219)]","[0, 1, 0, 1, 1]",3,"[1.0, 1.0, 0, 0, 0]",4.0,"[4.43030294 0.9790498  2.61146959 0.88320943 2.74506676 1.50440399
 2.90214584 1.50390331 3.07765838 2.41012413 3.02938514 1.71543585]",0.5636000000000001
