id,params,state,node,started_at,finished_at,artefact_path,error_msg
21,"{""graph_label"": ""paper1_0"", ""graph_path"": ""graphs_paper1/paper1_0.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
22,"{""graph_label"": ""paper1_0"", ""graph_path"": ""graphs_paper1/paper1_0.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
23,"{""graph_label"": ""paper1_0"", ""graph_path"": ""graphs_paper1/paper1_0.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
24,"{""graph_label"": ""paper1_0"", ""graph_path"": ""graphs_paper1/paper1_0.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
25,"{""graph_label"": ""paper1_0"", ""graph_path"": ""graphs_paper1/paper1_0.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
26,"{""graph_label"": ""paper1_0"", ""graph_path"": ""graphs_paper1/paper1_0.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
27,"{""graph_label"": ""paper1_0"", ""graph_path"": ""graphs_paper1/paper1_0.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
28,"{""graph_label"": ""paper1_0"", ""graph_path"": ""graphs_paper1/paper1_0.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
29,"{""graph_label"": ""paper1_0"", ""graph_path"": ""graphs_paper1/paper1_0.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
30,"{""graph_label"": ""paper1_0"", ""graph_path"": ""graphs_paper1/paper1_0.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
31,"{""graph_label"": ""paper1_0"", ""graph_path"": ""graphs_paper1/paper1_0.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
32,"{""graph_label"": ""paper1_0"", ""graph_path"": ""graphs_paper1/paper1_0.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
33,"{""graph_label"": ""paper1_0"", ""graph_path"": ""graphs_paper1/paper1_0.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
34,"{""graph_label"": ""paper1_0"", ""graph_path"": ""graphs_paper1/paper1_0.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
35,"{""graph_label"": ""paper1_0"", ""graph_path"": ""graphs_paper1/paper1_0.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
36,"{""graph_label"": ""paper1_0"", ""graph_path"": ""graphs_paper1/paper1_0.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
37,"{""graph_label"": ""paper1_0"", ""graph_path"": ""graphs_paper1/paper1_0.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
38,"{""graph_label"": ""paper1_0"", ""graph_path"": ""graphs_paper1/paper1_0.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
39,"{""graph_label"": ""paper1_0"", ""graph_path"": ""graphs_paper1/paper1_0.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
40,"{""graph_label"": ""paper1_0"", ""graph_path"": ""graphs_paper1/paper1_0.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
41,"{""graph_label"": ""paper1_0"", ""graph_path"": ""graphs_paper1/paper1_0.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
42,"{""graph_label"": ""paper1_0"", ""graph_path"": ""graphs_paper1/paper1_0.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
43,"{""graph_label"": ""paper1_0"", ""graph_path"": ""graphs_paper1/paper1_0.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
44,"{""graph_label"": ""paper1_0"", ""graph_path"": ""graphs_paper1/paper1_0.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
45,"{""graph_label"": ""paper1_0"", ""graph_path"": ""graphs_paper1/paper1_0.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
46,"{""graph_label"": ""paper1_0"", ""graph_path"": ""graphs_paper1/paper1_0.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
47,"{""graph_label"": ""paper1_0"", ""graph_path"": ""graphs_paper1/paper1_0.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",pending,,,,,
