id,params,state,node,started_at,finished_at,artefact_path,error_msg
1,"{""graph_label"": ""paper1_1"", ""graph_path"": ""graphs_paper1/paper1_1.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",running,,2025-06-01 06:31:42,,,
2,"{""graph_label"": ""paper1_1"", ""graph_path"": ""graphs_paper1/paper1_1.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",running,,2025-06-01 06:59:44,,,
3,"{""graph_label"": ""paper1_1"", ""graph_path"": ""graphs_paper1/paper1_1.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",running,,2025-06-01 07:04:41,,,
4,"{""graph_label"": ""paper1_1"", ""graph_path"": ""graphs_paper1/paper1_1.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",done,compute-5-7.local,2025-06-01 07:09:45,2025-06-01 07:53:28,"{""graph_size"": 9, ""backend_mode"": ""noisy_sampling"", ""param_initialization"": ""gaussian"", ""qaoa_variant"": ""multiangle"", ""optimizer"": ""COBYLA"", ""warm_start"": false, ""depth"": 4, ""problem_type"": ""minvertexcover"", ""amount_shots"": 5000, ""max_tol"": 1e-08, ""lagrangian_multiplier"": 2, ""time_elapsed"": 2573.6196115016937, ""quantum_func_evals"": 173, ""ratio"": 1.3964045789744701, ""quantum_solution"": [1, 1, 1, 1, 1, 1, 1, 0, 1], ""quantum_obj_value"": 4.289337485713146, ""classic_solution"": [1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 1.0], ""classic_value"": 3.0717011031740293, ""final_params"": {""__ndarray__"": [3.0383073268562972, 4.478981068068287, 3.46722600455548, 3.1300312295962223, 3.6649000419633015, 4.17918001729019, 3.101292173214107, 3.395673022044781, 4.11475294319289, 4.252585935804786, 4.0660787173929505, 3.4043678283910896, 4.124191600872875, 4.6303415384538855, 2.8955832961201446, 4.009672270706458, 4.036551980925304, 2.9183220901857876, 3.1408892327711087, 3.1045609294295224, 3.1884085151067016, 3.22003418467469, 3.2438462247889723, 3.5226027530440427, 2.8450147515833737, 3.1153461952277732, 3.6460124003652568, 3.992446853328111, 2.77843686115358, 2.8909815764246125, 3.288953837994683, 3.069008772261205, 2.763126936469411, 2.9844280632447537, 2.5883001682076747, 1.4013041302624112, 1.7305804088505918, 1.6337263764507788, 1.4860629532251817, 1.6569843874505017, 1.7091151394250348, 1.42741991707649, 1.608232388564582, 3.172017849942947, 3.073347435830976, 3.064261241144047, 3.2801535308060874, 3.1115611869409925, 3.4827266255203817, 3.109924634649494, 3.0807241695881493, 2.41190626607406, 2.8331616006931952, 3.029864862240795, 3.2591180639998543, 2.9557665084961937, 3.323191567089699, 2.7716343676370827, 3.1258828092354958, 2.8985402667766893, 2.932542243932211, 2.983772146263765, 3.2450992816168203, 2.840631696460897, 2.8897571661704613, 3.17982078233075, 3.2070792346926797, 3.0694762189794056, 3.1951029505238355, 3.0046868036744123, 2.972464373557106, 2.7896454663890524, 3.3262419758909614, 3.228480091739983, 3.0838139320216564, 3.179213639993105, 3.252867220740174, 1.4988430346659194, 1.6624199596114975, 1.53297225201854, 1.4179041287680847, 1.5014971196338405, 1.5359735879443903, 1.5360906020295066, 1.5526968227357254, 1.53295535440461, 3.2641862928793324, 3.0567895920815222, 3.120978493472399, 3.3559980727123944, 3.1147290450913965, 3.0628643883467466, 2.9129890957377778, 3.142537284732561, 3.041468942304297, 3.110197469402495, 3.0847755865092124, 3.4274579468379995, 3.144319130312906, 2.975971732053092, 3.754902776840463, 2.896030370341602, 2.981139772433971, 3.1451808378670387, 3.0572607282699877, 2.921092504428312, 3.295077064865376, 2.9020973762151248, 3.2888631913939905, 3.156763212075323, 3.3914113461173088, 3.170136419600102, 3.0473414225927553, 2.9740298155378517, 3.1740705579182578, 3.364007642332177, 3.4545407339531264, 3.060006469527098, 3.2597014247416456, 3.2531136348221388, 1.7873404593444229, 1.504532478498155, 1.5633897434964052, 1.557173079520007, 1.6136846007657106, 1.6856894590176206, 1.7220847105700674, 1.588690825296326, 1.4976041583055797, 3.209061619788537, 3.5008540602684306, 3.1202492004571227, 3.2828872235335202, 3.5245397414964748, 3.3771181958488095, 3.0092074690682047, 3.4995504893338083, 3.1426986993801136, 3.2096842451841576, 3.163601054497575, 3.2081494775700183, 3.0548690377469523, 3.087418941040986, 3.342811873740861, 2.813745422966858, 3.1588386776476516, 2.6124732555169454, 2.966331969373898, 3.2734019877107485, 3.365455826151001, 3.197621394428467, 3.4761293132345616, 3.3600599028526097, 2.9880582811844, 3.0586871572594494, 3.202920610084284, 3.5787408147609145, 3.258527601824656, 3.0907879845594146, 3.04458484748201, 3.5167368077372956, 3.1356793206977795, 2.9813528181396816, 1.491738671620165, 1.531262663851997, 1.5977725966027214, 1.5286539590546213, 1.5130772304684095, 1.744873339916584, 1.8807634190980278, 1.662369633127609, 1.3137778355435032], ""dtype"": ""float64"", ""shape"": [172]}, ""percent_measure_optimal"": 0, ""hamming_dist"": 0, ""hamming_string"": null, ""hamming_obj_func"": null, ""graph_label"": ""paper1_1""}",
5,"{""graph_label"": ""paper1_1"", ""graph_path"": ""graphs_paper1/paper1_1.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",running,,2025-06-01 07:10:58,,,
6,"{""graph_label"": ""paper1_1"", ""graph_path"": ""graphs_paper1/paper1_1.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",running,,2025-06-01 07:40:12,,,
7,"{""graph_label"": ""paper1_1"", ""graph_path"": ""graphs_paper1/paper1_1.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",running,,2025-06-01 07:43:21,,,
8,"{""graph_label"": ""paper1_1"", ""graph_path"": ""graphs_paper1/paper1_1.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",running,,2025-06-01 07:53:28,,,
9,"{""graph_label"": ""paper1_1"", ""graph_path"": ""graphs_paper1/paper1_1.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",running,,2025-06-01 07:55:37,,,
10,"{""graph_label"": ""paper1_1"", ""graph_path"": ""graphs_paper1/paper1_1.pkl"", ""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""multiangle"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover""}",running,,2025-06-01 08:04:17,,,
