,param_initialization,optimizer,qaoa_variant,warm_start,errors,depth,rec_vars,graph_size,graph_name,time_elapsed,quantum_func_evals,obj_func_evolution,quantum_solution,quantum_obj_value,classic_solution,classic_value
82,gaussian,COBYLA,recursive,False,True,1,7,9,D~{,213.47586703300476,29,[],[1. 0. 1. 0. 0. 0. 1. 1. 0.],8.325796434273311,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
83,gaussian,COBYLA,recursive,False,True,1,7,5,HCrfZzf,0.043396949768066406,0,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
84,gaussian,COBYLA,recursive,False,True,1,1,9,D~{,786.9971721172333,32,[],[1. 0. 1. 0. 0. 0. 1. 1. 0.],8.325796434273311,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
85,gaussian,COBYLA,recursive,False,True,1,1,5,HCrfZzf,394.47076177597046,28,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
86,gaussian,COBYLA,recursive,False,True,1,2,9,D~{,707.3597435951233,27,[],[1. 0. 1. 0. 0. 0. 1. 1. 0.],8.325796434273311,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
87,gaussian,COBYLA,recursive,False,True,1,2,5,HCrfZzf,306.0931975841522,31,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
88,gaussian,COBYLA,recursive,False,True,1,3,9,D~{,622.7844321727753,31,[],[1. 0. 1. 0. 0. 0. 1. 1. 0.],8.325796434273311,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
89,gaussian,COBYLA,recursive,False,True,1,3,5,HCrfZzf,211.330575466156,31,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
90,gaussian,COBYLA,recursive,False,True,1,4,9,D~{,519.4842286109924,32,[],[1. 0. 1. 0. 0. 0. 1. 1. 0.],8.325796434273311,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
91,gaussian,COBYLA,recursive,False,True,1,4,5,HCrfZzf,96.75003790855408,29,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
92,gaussian,COBYLA,recursive,False,True,1,5,9,D~{,376.7191276550293,31,[],[1. 0. 1. 0. 0. 0. 1. 1. 0.],8.325796434273311,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
93,gaussian,COBYLA,recursive,False,True,1,5,5,HCrfZzf,0.07182431221008301,0,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
94,gaussian,COBYLA,recursive,False,True,1,6,9,D~{,337.58875584602356,32,[],[1. 0. 1. 0. 0. 0. 1. 1. 0.],8.325796434273311,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
95,gaussian,COBYLA,recursive,False,True,1,6,5,HCrfZzf,0.03989553451538086,0,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
96,gaussian,COBYLA,recursive,False,True,1,7,9,D~{,190.60523772239685,27,[],[1. 0. 1. 0. 0. 0. 1. 1. 0.],8.325796434273311,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
97,gaussian,COBYLA,recursive,False,True,1,7,5,HCrfZzf,0.03867077827453613,0,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
98,gaussian,COBYLA,recursive,False,True,1,1,9,D~{,823.4619085788727,28,[],[1. 0. 1. 0. 0. 0. 1. 1. 0.],8.325796434273311,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
99,gaussian,COBYLA,recursive,False,True,1,1,5,HCrfZzf,379.1992745399475,28,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
100,gaussian,COBYLA,recursive,False,True,1,2,9,D~{,691.3985805511475,27,[],[1. 0. 1. 0. 0. 0. 1. 1. 0.],8.325796434273311,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
101,gaussian,COBYLA,recursive,False,True,1,2,5,HCrfZzf,304.71636962890625,27,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
102,gaussian,COBYLA,recursive,False,True,1,3,9,D~{,603.5342514514923,29,[],[1. 0. 1. 0. 0. 0. 1. 1. 0.],8.325796434273311,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
103,gaussian,COBYLA,recursive,False,True,1,3,5,HCrfZzf,190.4250509738922,31,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
104,gaussian,COBYLA,recursive,False,True,1,4,9,D~{,494.29165267944336,26,[],[1. 0. 1. 0. 0. 0. 1. 1. 0.],8.325796434273311,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
105,gaussian,COBYLA,recursive,False,True,1,4,5,HCrfZzf,99.74567031860352,31,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
106,gaussian,COBYLA,recursive,False,True,1,5,9,D~{,382.10849499702454,30,[],[1. 0. 1. 0. 0. 0. 1. 1. 0.],8.325796434273311,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
107,gaussian,COBYLA,recursive,False,True,1,5,5,HCrfZzf,0.07144951820373535,0,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
108,gaussian,COBYLA,recursive,False,True,1,6,9,D~{,298.8674039840698,31,[],[1. 0. 1. 0. 0. 0. 1. 1. 0.],8.325796434273311,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
109,gaussian,COBYLA,recursive,False,True,1,6,5,HCrfZzf,0.04288625717163086,0,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
110,gaussian,COBYLA,recursive,False,True,1,7,9,D~{,181.87244129180908,27,[],[1. 0. 1. 0. 0. 0. 1. 1. 0.],8.325796434273311,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
111,gaussian,COBYLA,recursive,False,True,1,7,5,HCrfZzf,0.05063581466674805,0,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
112,gaussian,COBYLA,recursive,False,True,1,1,9,D~{,796.3492801189423,30,[],[1. 0. 1. 0. 0. 0. 1. 1. 0.],8.325796434273311,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
113,gaussian,COBYLA,recursive,False,True,1,1,5,HCrfZzf,338.8261535167694,27,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
114,gaussian,COBYLA,recursive,False,True,1,2,9,D~{,697.9406187534332,31,[],[0. 1. 0. 1. 1. 1. 0. 0. 1.],8.325796434273311,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
115,gaussian,COBYLA,recursive,False,True,1,2,5,HCrfZzf,259.9232213497162,28,[],[0. 0. 1. 1. 1.],3.2969242815046744,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
116,gaussian,COBYLA,recursive,False,True,1,3,9,D~{,565.7562940120697,28,[],[0. 1. 0. 1. 1. 1. 0. 0. 1.],8.325796434273311,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
117,gaussian,COBYLA,recursive,False,True,1,3,5,HCrfZzf,190.30735683441162,29,[],[0. 1. 0. 1. 0.],2.8067984579116185,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
118,gaussian,COBYLA,recursive,False,True,1,4,9,D~{,521.6223969459534,37,[],[1. 0. 1. 0. 0. 0. 1. 1. 0.],8.325796434273311,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
119,gaussian,COBYLA,recursive,False,True,1,4,5,HCrfZzf,96.1011381149292,31,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
120,gaussian,COBYLA,recursive,False,True,1,5,9,D~{,380.22516798973083,28,[],[1. 0. 1. 0. 0. 0. 1. 1. 0.],8.325796434273311,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
121,gaussian,COBYLA,recursive,False,True,1,5,5,HCrfZzf,0.04052853584289551,0,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
122,gaussian,COBYLA,recursive,False,True,1,6,9,D~{,296.6202971935272,34,[],[1. 0. 1. 0. 0. 0. 1. 1. 0.],8.325796434273311,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
123,gaussian,COBYLA,recursive,False,True,1,6,5,HCrfZzf,0.05109572410583496,0,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
124,gaussian,COBYLA,recursive,False,True,1,7,9,D~{,199.00602173805237,29,[],[1. 0. 1. 0. 0. 0. 1. 1. 0.],8.325796434273311,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
125,gaussian,COBYLA,recursive,False,True,1,7,5,HCrfZzf,0.03893685340881348,0,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
126,gaussian,COBYLA,recursive,False,True,1,1,9,D~{,773.9935081005096,29,[],[1. 0. 1. 0. 0. 0. 1. 1. 0.],8.325796434273311,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
127,gaussian,COBYLA,recursive,False,True,1,1,5,HCrfZzf,367.9677815437317,27,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
128,gaussian,COBYLA,recursive,False,True,1,2,9,D~{,820.7457203865051,31,[],[1. 0. 1. 0. 0. 0. 1. 1. 0.],8.325796434273311,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
129,gaussian,COBYLA,recursive,False,True,1,2,5,HCrfZzf,255.76468682289124,26,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
130,gaussian,COBYLA,recursive,False,True,1,3,9,D~{,571.140148639679,27,[],[1. 0. 1. 0. 0. 0. 1. 1. 0.],8.325796434273311,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
131,gaussian,COBYLA,recursive,False,True,1,3,5,HCrfZzf,191.04708552360535,30,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
132,gaussian,COBYLA,recursive,False,True,1,4,9,D~{,501.82952094078064,30,[],[1. 0. 1. 0. 0. 0. 1. 1. 0.],8.325796434273311,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
133,gaussian,COBYLA,recursive,False,True,1,4,5,HCrfZzf,100.00554466247559,32,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
134,gaussian,COBYLA,recursive,False,True,1,5,9,D~{,461.3142671585083,30,[],[1. 0. 1. 0. 0. 0. 1. 1. 0.],8.325796434273311,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
135,gaussian,COBYLA,recursive,False,True,1,5,5,HCrfZzf,0.0527801513671875,0,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
136,gaussian,COBYLA,recursive,False,True,1,6,9,D~{,285.9689383506775,29,[],[1. 0. 1. 0. 0. 0. 1. 1. 0.],8.325796434273311,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
137,gaussian,COBYLA,recursive,False,True,1,6,5,HCrfZzf,0.0514066219329834,0,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
138,gaussian,COBYLA,recursive,False,True,1,7,9,D~{,206.1656050682068,32,[],[1. 0. 1. 0. 0. 0. 1. 1. 0.],8.325796434273311,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
139,gaussian,COBYLA,recursive,False,True,1,7,5,HCrfZzf,0.052709102630615234,0,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
140,gaussian,COBYLA,recursive,False,True,1,1,9,D~{,837.0517489910126,31,[],[0. 1. 1. 1. 1. 1. 0. 0. 1.],8.21513211134599,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
141,gaussian,COBYLA,recursive,False,True,1,1,5,HCrfZzf,410.197927236557,31,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
142,gaussian,COBYLA,recursive,False,True,1,2,9,D~{,678.5953159332275,29,[],[1. 0. 1. 0. 0. 0. 1. 1. 0.],8.325796434273311,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
143,gaussian,COBYLA,recursive,False,True,1,2,5,HCrfZzf,329.40994119644165,37,[],[1. 0. 0. 0. 1.],3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
144,gaussian,COBYLA,recursive,False,True,1,3,9,D~{,574.1630284786224,28,[],[1. 0. 1. 0. 0. 0. 1. 1. 0.],8.325796434273311,"[1.0, 0, 1.0, 0, 0, 0, 1.0, 1.0, 0]",8.325796434273311
