id,params,state,node,started_at,finished_at,artefact_path,error_msg,results,backend_mode,qaoa_variant,param_initialization,depth,warm_start,problem_type,hamming_dist,graph_path
16,"{""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""vanilla"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover"", ""hamming_dist"": 0, ""graph_path"": ""graphs_paper1/paper1_1.pkl""}",pending,,,,,,,noisy_sampling,vanilla,gaussian,4,False,minvertexcover,0,graphs_paper1/paper1_1.pkl
17,"{""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""vanilla"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover"", ""hamming_dist"": 0, ""graph_path"": ""graphs_paper1/paper1_1.pkl""}",pending,,,,,,,noisy_sampling,vanilla,gaussian,4,False,minvertexcover,0,graphs_paper1/paper1_1.pkl
18,"{""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""vanilla"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover"", ""hamming_dist"": 0, ""graph_path"": ""graphs_paper1/paper1_1.pkl""}",pending,,,,,,,noisy_sampling,vanilla,gaussian,4,False,minvertexcover,0,graphs_paper1/paper1_1.pkl
19,"{""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""vanilla"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover"", ""hamming_dist"": 0, ""graph_path"": ""graphs_paper1/paper1_1.pkl""}",pending,,,,,,,noisy_sampling,vanilla,gaussian,4,False,minvertexcover,0,graphs_paper1/paper1_1.pkl
20,"{""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""vanilla"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover"", ""hamming_dist"": 0, ""graph_path"": ""graphs_paper1/paper1_1.pkl""}",pending,,,,,,,noisy_sampling,vanilla,gaussian,4,False,minvertexcover,0,graphs_paper1/paper1_1.pkl
21,"{""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""vanilla"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover"", ""hamming_dist"": 0, ""graph_path"": ""graphs_paper1/paper1_1.pkl""}",pending,,,,,,,noisy_sampling,vanilla,gaussian,4,False,minvertexcover,0,graphs_paper1/paper1_1.pkl
22,"{""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""vanilla"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover"", ""hamming_dist"": 0, ""graph_path"": ""graphs_paper1/paper1_1.pkl""}",pending,,,,,,,noisy_sampling,vanilla,gaussian,4,False,minvertexcover,0,graphs_paper1/paper1_1.pkl
23,"{""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""vanilla"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover"", ""hamming_dist"": 0, ""graph_path"": ""graphs_paper1/paper1_2.pkl""}",pending,,,,,,,noisy_sampling,vanilla,gaussian,4,False,minvertexcover,0,graphs_paper1/paper1_2.pkl
24,"{""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""vanilla"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover"", ""hamming_dist"": 0, ""graph_path"": ""graphs_paper1/paper1_2.pkl""}",pending,,,,,,,noisy_sampling,vanilla,gaussian,4,False,minvertexcover,0,graphs_paper1/paper1_2.pkl
25,"{""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""vanilla"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover"", ""hamming_dist"": 0, ""graph_path"": ""graphs_paper1/paper1_2.pkl""}",pending,,,,,,,noisy_sampling,vanilla,gaussian,4,False,minvertexcover,0,graphs_paper1/paper1_2.pkl
26,"{""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""vanilla"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover"", ""hamming_dist"": 0, ""graph_path"": ""graphs_paper1/paper1_2.pkl""}",pending,,,,,,,noisy_sampling,vanilla,gaussian,4,False,minvertexcover,0,graphs_paper1/paper1_2.pkl
27,"{""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""vanilla"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover"", ""hamming_dist"": 0, ""graph_path"": ""graphs_paper1/paper1_2.pkl""}",pending,,,,,,,noisy_sampling,vanilla,gaussian,4,False,minvertexcover,0,graphs_paper1/paper1_2.pkl
28,"{""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""vanilla"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover"", ""hamming_dist"": 0, ""graph_path"": ""graphs_paper1/paper1_2.pkl""}",pending,,,,,,,noisy_sampling,vanilla,gaussian,4,False,minvertexcover,0,graphs_paper1/paper1_2.pkl
29,"{""backend_mode"": ""noisy_sampling"", ""qaoa_variant"": ""vanilla"", ""param_initialization"": ""gaussian"", ""depth"": 4, ""warm_start"": false, ""problem_type"": ""minvertexcover"", ""hamming_dist"": 0, ""graph_path"": ""graphs_paper1/paper1_2.pkl""}",pending,,,,,,,noisy_sampling,vanilla,gaussian,4,False,minvertexcover,0,graphs_paper1/paper1_2.pkl
