param_str,final_params
"[2.27772773,1.60331802,3.15866152,1.62804827,3.20362154,1.82938288,2.97933347,1.53702223,3.23411248,1.692096,3.11760061,2.37752493,3.04224073,1.46797174,3.51005616,1.72558014,3.48719855,2.33791808,3.16061839,1.51267621]","[2.27772773, 1.60331802, 3.15866152, 1.62804827, 3.20362154, 1.82938288, 2.97933347, 1.53702223, 3.23411248, 1.692096, 3.11760061, 2.37752493, 3.04224073, 1.46797174, 3.51005616, 1.72558014, 3.48719855, 2.33791808, 3.16061839, 1.51267621]"
"[4.31791392,2.9013097,3.25360598,1.57982117,3.51144977,2.0133332,2.73944518,1.8852569,3.12320726,2.64579697,3.16071494,1.34004626,3.02287757,1.66537006,2.91836564,1.42399022,3.17910308,1.611614,3.34683919,1.67087199]","[4.31791392, 2.9013097, 3.25360598, 1.57982117, 3.51144977, 2.0133332, 2.73944518, 1.8852569, 3.12320726, 2.64579697, 3.16071494, 1.34004626, 3.02287757, 1.66537006, 2.91836564, 1.42399022, 3.17910308, 1.611614, 3.34683919, 1.67087199]"
"[3.71989713,1.56404464,3.0037584,1.59824878,2.72587188,1.33917656,3.67423236,2.25877092]","[3.71989713, 1.56404464, 3.0037584, 1.59824878, 2.72587188, 1.33917656, 3.67423236, 2.25877092]"
"[4.23631345,1.47938166,3.14083626,1.68049377,2.33408624,1.64449775,3.14467963,1.84639913,3.138538,1.81714858,3.2115532,1.47851836,4.49201104,1.8140198,3.13799802,1.51995006,4.78570404,1.27551239,4.25063379,1.70562619]","[4.23631345, 1.47938166, 3.14083626, 1.68049377, 2.33408624, 1.64449775, 3.14467963, 1.84639913, 3.138538, 1.81714858, 3.2115532, 1.47851836, 4.49201104, 1.8140198, 3.13799802, 1.51995006, 4.78570404, 1.27551239, 4.25063379, 1.70562619]"
"[2.43289989,1.15523449,2.92066911,1.69988541,3.11839197,1.45432657,2.93565463,1.52539518,3.09574361,1.54726689,3.04762537,0.75267372,2.80368613,1.7059698,3.3239116,2.93886037,2.71397826,1.20245008,3.13775334,1.10325763]","[2.43289989, 1.15523449, 2.92066911, 1.69988541, 3.11839197, 1.45432657, 2.93565463, 1.52539518, 3.09574361, 1.54726689, 3.04762537, 0.75267372, 2.80368613, 1.7059698, 3.3239116, 2.93886037, 2.71397826, 1.20245008, 3.13775334, 1.10325763]"
"[3.25195181,1.50269089]","[3.25195181, 1.50269089]"
"[3.38943793,1.59373051,3.16898225,1.30305331,2.71838905,1.58839028,3.11198285,3.08992528,3.28790435,2.54689258,3.68042531,2.06078003,3.07012858,2.50462537]","[3.38943793, 1.59373051, 3.16898225, 1.30305331, 2.71838905, 1.58839028, 3.11198285, 3.08992528, 3.28790435, 2.54689258, 3.68042531, 2.06078003, 3.07012858, 2.50462537]"
"[3.13075585,3.13925557,1.97732934,1.88525824,2.71472881,1.70101848,3.11419372,2.46442581,2.72758737,1.17833114,3.09300643,1.27989543,3.1615702,1.17458061]","[3.13075585, 3.13925557, 1.97732934, 1.88525824, 2.71472881, 1.70101848, 3.11419372, 2.46442581, 2.72758737, 1.17833114, 3.09300643, 1.27989543, 3.1615702, 1.17458061]"
"[4.83552524,0.78445849,2.68744208,1.64964519,2.75990216,1.64837377,3.08734762,2.9374463,3.26591637,1.507305,3.15282857,1.49713308,3.13419041,1.82224609]","[4.83552524, 0.78445849, 2.68744208, 1.64964519, 2.75990216, 1.64837377, 3.08734762, 2.9374463, 3.26591637, 1.507305, 3.15282857, 1.49713308, 3.13419041, 1.82224609]"
"[4.15883436,3.15813177,3.12301551,1.88772009,3.39138077,1.49659428,3.22935819,1.32253153,3.44452214,1.66510413,3.07288468,1.5952661,3.46759951,1.25585383,2.93146332,1.53849795,3.46555131,1.73543517,3.28310396,1.61123029]","[4.15883436, 3.15813177, 3.12301551, 1.88772009, 3.39138077, 1.49659428, 3.22935819, 1.32253153, 3.44452214, 1.66510413, 3.07288468, 1.5952661, 3.46759951, 1.25585383, 2.93146332, 1.53849795, 3.46555131, 1.73543517, 3.28310396, 1.61123029]"
