param_str,final_params
"[2.38995696,1.58536379,3.12417229,1.89774548,2.84438496,1.55122447,3.19289414,1.73480431,3.19804892,1.50030431,3.11829552,1.37741164,3.27386262,1.59006651,3.27144365,1.63879206,2.52360861,1.4917834,2.94947131,1.67766152]","[2.38995696, 1.58536379, 3.12417229, 1.89774548, 2.84438496, 1.55122447, 3.19289414, 1.73480431, 3.19804892, 1.50030431, 3.11829552, 1.37741164, 3.27386262, 1.59006651, 3.27144365, 1.63879206, 2.52360861, 1.4917834, 2.94947131, 1.67766152]"
"[3.96964451,1.7363721,3.97320669,1.74079233,3.27989478,2.825371,3.27810382,1.6410504,3.05520964,1.78439987,2.8109414,1.11773661,3.04406823,3.09045627,3.6651989,1.35920167,3.90931818,1.15053249,3.99412063,2.12943388]","[3.96964451, 1.7363721, 3.97320669, 1.74079233, 3.27989478, 2.825371, 3.27810382, 1.6410504, 3.05520964, 1.78439987, 2.8109414, 1.11773661, 3.04406823, 3.09045627, 3.6651989, 1.35920167, 3.90931818, 1.15053249, 3.99412063, 2.12943388]"
"[3.14373624,1.64231589]","[3.14373624, 1.64231589]"
"[4.12628767,2.01059076,2.3475069,1.62484683,2.67411064,1.43738894,3.12914127,1.48473827,2.39097001,1.59097814,3.24626359,1.54115231,3.38883011,1.72636903,3.07604333,1.46079502,3.91716434,2.42749069,3.15667653,1.53018028]","[4.12628767, 2.01059076, 2.3475069, 1.62484683, 2.67411064, 1.43738894, 3.12914127, 1.48473827, 2.39097001, 1.59097814, 3.24626359, 1.54115231, 3.38883011, 1.72636903, 3.07604333, 1.46079502, 3.91716434, 2.42749069, 3.15667653, 1.53018028]"
"[3.95489002,1.31250412,2.56440764,1.98791348,2.34193842,1.67479317,2.65536495,1.5814337,3.5733642,1.23569324,3.5609337,1.45434159,3.40951822,1.70399398]","[3.95489002, 1.31250412, 2.56440764, 1.98791348, 2.34193842, 1.67479317, 2.65536495, 1.5814337, 3.5733642, 1.23569324, 3.5609337, 1.45434159, 3.40951822, 1.70399398]"
"[4.17921593,1.492742,2.56052635,1.42909689,3.11426602,1.55442589,2.84681059,1.52635224,3.12797418,1.57620831,3.18940691,2.49291612,2.97424329,2.89638575,4.05690425,1.269371,2.96988643,1.01585848,3.84176778,1.60662982]","[4.17921593, 1.492742, 2.56052635, 1.42909689, 3.11426602, 1.55442589, 2.84681059, 1.52635224, 3.12797418, 1.57620831, 3.18940691, 2.49291612, 2.97424329, 2.89638575, 4.05690425, 1.269371, 2.96988643, 1.01585848, 3.84176778, 1.60662982]"
"[3.25195184,1.50269018]","[3.25195184, 1.50269018]"
"[2.39130827,1.41624123,3.28995065,1.5758238,3.2345217,1.64167927,2.98642546,1.49595356,3.04321069,1.54257836,3.12098184,1.55335999,3.50911568,1.80846973,3.29151174,1.05353046,3.47630505,0.66937437,3.09400692,1.44208359]","[2.39130827, 1.41624123, 3.28995065, 1.5758238, 3.2345217, 1.64167927, 2.98642546, 1.49595356, 3.04321069, 1.54257836, 3.12098184, 1.55335999, 3.50911568, 1.80846973, 3.29151174, 1.05353046, 3.47630505, 0.66937437, 3.09400692, 1.44208359]"
"[2.2369835,3.31095916,3.0135984,3.29499748,3.13521221,1.74666524,2.9777925,1.48305809,3.19351939,1.65238987,3.07540378,1.67640808,4.19115837,1.6687534,2.99927849,1.67220908,3.70615449,1.55591202,3.92174861,1.14868448]","[2.2369835, 3.31095916, 3.0135984, 3.29499748, 3.13521221, 1.74666524, 2.9777925, 1.48305809, 3.19351939, 1.65238987, 3.07540378, 1.67640808, 4.19115837, 1.6687534, 2.99927849, 1.67220908, 3.70615449, 1.55591202, 3.92174861, 1.14868448]"
"[2.50802603,1.05155974,2.59824857,1.60901842,3.27277879,1.52153278,3.02978417,1.69732623]","[2.50802603, 1.05155974, 2.59824857, 1.60901842, 3.27277879, 1.52153278, 3.02978417, 1.69732623]"
"[4.19718484,1.86195421,3.16224862,1.92116488,3.82068694,1.67629081,2.65998408,1.30408271,4.42587062,1.51092815,3.25573056,1.75403373,3.95438944,2.18726188,3.16528285,1.94318241,3.08849032,1.66618398,3.18620835,1.35588967]","[4.19718484, 1.86195421, 3.16224862, 1.92116488, 3.82068694, 1.67629081, 2.65998408, 1.30408271, 4.42587062, 1.51092815, 3.25573056, 1.75403373, 3.95438944, 2.18726188, 3.16528285, 1.94318241, 3.08849032, 1.66618398, 3.18620835, 1.35588967]"
"[4.72643383,2.12819814,2.82353929,1.62439623,3.20840853,1.77549448,2.97925375,2.94153861,3.15769979,2.56908162,2.52273292,1.18628454,4.96802131,2.27636069]","[4.72643383, 2.12819814, 2.82353929, 1.62439623, 3.20840853, 1.77549448, 2.97925375, 2.94153861, 3.15769979, 2.56908162, 2.52273292, 1.18628454, 4.96802131, 2.27636069]"
"[3.14112094,1.41618026,2.44557043,1.76159213,4.6873464,1.67438404,3.05142114,2.99487597]","[3.14112094, 1.41618026, 2.44557043, 1.76159213, 4.6873464, 1.67438404, 3.05142114, 2.99487597]"
"[3.25195183,1.50269035]","[3.25195183, 1.50269035]"
"[3.53066693,2.45901513]","[3.53066693, 2.45901513]"
"[2.59239748,1.64865488,3.00778641,1.54171958,3.05872585,1.74029407,3.34703763,1.60405419,3.28645734,1.64622421,2.99660933,1.44984648,3.64737886,2.06604775,3.38194874,1.4901602,2.67437417,2.36486915,3.09622398,2.40493811]","[2.59239748, 1.64865488, 3.00778641, 1.54171958, 3.05872585, 1.74029407, 3.34703763, 1.60405419, 3.28645734, 1.64622421, 2.99660933, 1.44984648, 3.64737886, 2.06604775, 3.38194874, 1.4901602, 2.67437417, 2.36486915, 3.09622398, 2.40493811]"
"[4.56624969,3.02793633,3.92932246,2.08026754,2.8859613,2.37488003,4.44891172,1.60999291,2.72828181,1.7433504,2.82324082,1.4607701,3.40498286,2.85615819,2.9349043,1.54792486,3.03160793,1.17861559,2.89886117,2.1259284 ]","[4.56624969, 3.02793633, 3.92932246, 2.08026754, 2.8859613, 2.37488003, 4.44891172, 1.60999291, 2.72828181, 1.7433504, 2.82324082, 1.4607701, 3.40498286, 2.85615819, 2.9349043, 1.54792486, 3.03160793, 1.17861559, 2.89886117, 2.1259284]"
"[3.14385738,1.67475327]","[3.14385738, 1.67475327]"
"[3.7262203,1.46226715,3.00522162,1.64294959,2.71485494,1.26851568,3.59181559,2.35001657]","[3.7262203, 1.46226715, 3.00522162, 1.64294959, 2.71485494, 1.26851568, 3.59181559, 2.35001657]"
"[3.1473814,1.57012606,3.14227044,1.67072892,3.68623612,1.59845729,3.13970329,1.49204174,4.15882398,1.76909571,2.80940125,1.6898889,3.32281778,1.74480541,3.06007791,2.53144183,2.73090084,1.40427464,2.79351098,2.54933893]","[3.1473814, 1.57012606, 3.14227044, 1.67072892, 3.68623612, 1.59845729, 3.13970329, 1.49204174, 4.15882398, 1.76909571, 2.80940125, 1.6898889, 3.32281778, 1.74480541, 3.06007791, 2.53144183, 2.73090084, 1.40427464, 2.79351098, 2.54933893]"
"[3.97499001,2.84951778,2.67185717,1.85266131,4.54690768,1.43371777,3.10277935,3.11993522,3.02035997,2.22999492,3.23167396,1.59127675,3.39463952,1.04939715]","[3.97499001, 2.84951778, 2.67185717, 1.85266131, 4.54690768, 1.43371777, 3.10277935, 3.11993522, 3.02035997, 2.22999492, 3.23167396, 1.59127675, 3.39463952, 1.04939715]"
"[2.67002009,2.69976359]","[2.67002009, 2.69976359]"
"[3.25195179,1.50269032]","[3.25195179, 1.50269032]"
"[2.94595228,1.05736084]","[2.94595228, 1.05736084]"
"[1.95236967,1.92293628,3.18361859,1.55024926,3.05549948,3.22518725,4.32522497,1.23849581]","[1.95236967, 1.92293628, 3.18361859, 1.55024926, 3.05549948, 3.22518725, 4.32522497, 1.23849581]"
"[4.14899778,3.28924685,3.07917355,1.55959152,3.03671788,1.46445274,3.20254385,1.57226745,3.03449911,1.51367498,3.13946319,2.92944117,4.12697467,1.54679247,3.24383887,2.62958448,3.68579583,1.90061088,3.69235613,2.66821592]","[4.14899778, 3.28924685, 3.07917355, 1.55959152, 3.03671788, 1.46445274, 3.20254385, 1.57226745, 3.03449911, 1.51367498, 3.13946319, 2.92944117, 4.12697467, 1.54679247, 3.24383887, 2.62958448, 3.68579583, 1.90061088, 3.69235613, 2.66821592]"
"[2.93851442,1.41917301,3.02224047,1.54697019,4.1025825,1.52732785,3.74448529,1.42513801,3.6918055,2.24630651,3.23616076,1.43989201,3.14472198,1.88604939,3.09284728,1.76145995,2.89784295,1.88277564,3.19355447,1.56029183]","[2.93851442, 1.41917301, 3.02224047, 1.54697019, 4.1025825, 1.52732785, 3.74448529, 1.42513801, 3.6918055, 2.24630651, 3.23616076, 1.43989201, 3.14472198, 1.88604939, 3.09284728, 1.76145995, 2.89784295, 1.88277564, 3.19355447, 1.56029183]"
"[3.1438841,1.68820372]","[3.1438841, 1.68820372]"
"[3.1404503,2.2436602,2.26631924,1.52202742,3.17248975,1.84805482,3.3353622,1.45388575,3.22300084,1.44682874,4.43719897,1.79612383,2.93774735,1.59624289,2.98030421,0.98921187,2.79661646,1.97652721,4.19954836,1.66518012]","[3.1404503, 2.2436602, 2.26631924, 1.52202742, 3.17248975, 1.84805482, 3.3353622, 1.45388575, 3.22300084, 1.44682874, 4.43719897, 1.79612383, 2.93774735, 1.59624289, 2.98030421, 0.98921187, 2.79661646, 1.97652721, 4.19954836, 1.66518012]"
"[4.19668699,3.07339332,2.63440338,1.72771189,3.27515261,1.41368785,3.85142235,3.12836044]","[4.19668699, 3.07339332, 2.63440338, 1.72771189, 3.27515261, 1.41368785, 3.85142235, 3.12836044]"
"[3.71009568,1.47247007,3.22439273,3.28567729,3.4746013,1.59412444,2.50679575,1.66240245,2.9694055,1.67734447,2.55807958,2.11983806,3.19965278,1.4288978 ]","[3.71009568, 1.47247007, 3.22439273, 3.28567729, 3.4746013, 1.59412444, 2.50679575, 1.66240245, 2.9694055, 1.67734447, 2.55807958, 2.11983806, 3.19965278, 1.4288978]"
"[3.06920355,1.6484085,4.11137061,1.95442701,2.51136756,1.59614524,2.76834918,1.42759528,2.83789249,1.60345552,3.12924338,2.9500351,3.23702451,1.52114044,3.22982417,2.14392417,3.14964203,1.53161988,2.92829544,0.83027657]","[3.06920355, 1.6484085, 4.11137061, 1.95442701, 2.51136756, 1.59614524, 2.76834918, 1.42759528, 2.83789249, 1.60345552, 3.12924338, 2.9500351, 3.23702451, 1.52114044, 3.22982417, 2.14392417, 3.14964203, 1.53161988, 2.92829544, 0.83027657]"
"[4.10348954,1.55655004,3.22589625,1.66631235,3.25857308,1.01996288,3.3792764,1.5166037,3.30112468,1.70392888,2.8661596,1.15091651,4.14050986,1.75216299,3.07389083,1.89789909,2.39372872,2.43914703,3.05229148,2.70988371]","[4.10348954, 1.55655004, 3.22589625, 1.66631235, 3.25857308, 1.01996288, 3.3792764, 1.5166037, 3.30112468, 1.70392888, 2.8661596, 1.15091651, 4.14050986, 1.75216299, 3.07389083, 1.89789909, 2.39372872, 2.43914703, 3.05229148, 2.70988371]"
"[3.25195182,1.50269029]","[3.25195182, 1.50269029]"
"[4.72073099,1.57027352,2.11502527,1.56875877,3.1399158,1.4923709,4.0148346,1.57143093,3.14182264,0.50401517,2.71697849,1.31005254,2.25739705,1.62449727,3.08972354,1.3348954,3.36816446,1.44038143,3.14906463,1.68398618]","[4.72073099, 1.57027352, 2.11502527, 1.56875877, 3.1399158, 1.4923709, 4.0148346, 1.57143093, 3.14182264, 0.50401517, 2.71697849, 1.31005254, 2.25739705, 1.62449727, 3.08972354, 1.3348954, 3.36816446, 1.44038143, 3.14906463, 1.68398618]"
"[3.53066693,2.45901514]","[3.53066693, 2.45901514]"
"[3.83473614,3.12995487,3.15997917,2.76907641,2.90447695,1.88608402,2.97280244,1.42483342]","[3.83473614, 3.12995487, 3.15997917, 2.76907641, 2.90447695, 1.88608402, 2.97280244, 1.42483342]"
"[4.49804728,2.42982896,4.4336523,1.40698347,3.14070879,1.68510799,3.17927612,3.1697714,3.17839008,3.220311,3.1476463,2.33428421,3.92158706,2.67358737]","[4.49804728, 2.42982896, 4.4336523, 1.40698347, 3.14070879, 1.68510799, 3.17927612, 3.1697714, 3.17839008, 3.220311, 3.1476463, 2.33428421, 3.92158706, 2.67358737]"
"[4.13681673,1.60628735,3.68986798,1.78297245,2.58861414,2.4278777,4.20925833,1.47416715,3.13703566,1.76444603,3.43290265,1.43038313,3.2962488,3.13898657,2.99113929,1.62363717,3.0826395,1.59913409,4.29737412,1.66096685]","[4.13681673, 1.60628735, 3.68986798, 1.78297245, 2.58861414, 2.4278777, 4.20925833, 1.47416715, 3.13703566, 1.76444603, 3.43290265, 1.43038313, 3.2962488, 3.13898657, 2.99113929, 1.62363717, 3.0826395, 1.59913409, 4.29737412, 1.66096685]"
"[3.14382218,1.76322809]","[3.14382218, 1.76322809]"
"[3.10516615,2.30157963,3.14655612,2.80767759,4.48354677,2.05178826,4.58027818,1.54176373]","[3.10516615, 2.30157963, 3.14655612, 2.80767759, 4.48354677, 2.05178826, 4.58027818, 1.54176373]"
"[4.2387136,1.796932,2.5929337,1.45672576,3.15719678,1.72146479,2.38831424,1.72094174,3.7931361,1.78503561,3.20807515,1.66147965,3.12459212,1.17163099,4.57826385,1.6705282,3.11957715,1.80680003,2.89307765,2.87894035]","[4.2387136, 1.796932, 2.5929337, 1.45672576, 3.15719678, 1.72146479, 2.38831424, 1.72094174, 3.7931361, 1.78503561, 3.20807515, 1.66147965, 3.12459212, 1.17163099, 4.57826385, 1.6705282, 3.11957715, 1.80680003, 2.89307765, 2.87894035]"
"[2.7152162,2.20518774,2.03634946,1.70132577,3.15337177,0.81671027,2.98850462,1.92324555,2.90529885,1.59910154,3.20864935,3.02921574,3.22875964,1.61143966,4.26329577,1.98025151,3.19722101,3.06808726,3.19417668,3.10634891]","[2.7152162, 2.20518774, 2.03634946, 1.70132577, 3.15337177, 0.81671027, 2.98850462, 1.92324555, 2.90529885, 1.59910154, 3.20864935, 3.02921574, 3.22875964, 1.61143966, 4.26329577, 1.98025151, 3.19722101, 3.06808726, 3.19417668, 3.10634891]"
"[4.00164029,1.47494788,2.63842173,1.62333242,2.73955797,1.59414178,3.17399577,3.11917957,3.2796845,2.49333833,3.09873064,2.04563143,3.05867043,1.81698839]","[4.00164029, 1.47494788, 2.63842173, 1.62333242, 2.73955797, 1.59414178, 3.17399577, 3.11917957, 3.2796845, 2.49333833, 3.09873064, 2.04563143, 3.05867043, 1.81698839]"
"[2.55204726,1.71383291,4.82079847,3.05194456,3.17743032,1.3689523,3.3360206,1.71576506,3.16046299,1.49295061,3.08098104,1.24608526,2.91868906,1.55042138,2.90590626,1.80254075,3.69234379,0.79581113,2.80119034,1.19271955]","[2.55204726, 1.71383291, 4.82079847, 3.05194456, 3.17743032, 1.3689523, 3.3360206, 1.71576506, 3.16046299, 1.49295061, 3.08098104, 1.24608526, 2.91868906, 1.55042138, 2.90590626, 1.80254075, 3.69234379, 0.79581113, 2.80119034, 1.19271955]"
"[3.63071413,2.74756769]","[3.63071413, 2.74756769]"
"[3.53066696,2.45901515]","[3.53066696, 2.45901515]"
"[4.27081793,2.30578337,4.12992806,2.57722037,3.25892447,1.55727457,2.83943597,3.14134806,3.03474274,3.15033409,3.17929022,1.22677922,3.37173386,3.13245322]","[4.27081793, 2.30578337, 4.12992806, 2.57722037, 3.25892447, 1.55727457, 2.83943597, 3.14134806, 3.03474274, 3.15033409, 3.17929022, 1.22677922, 3.37173386, 3.13245322]"
"[4.37369325,2.92702127,3.37491511,1.60127547,4.55003699,1.37619445,3.08499391,3.1806516,3.2620345,1.27899766,2.87710409,2.42908135,3.22509492,2.42984617]","[4.37369325, 2.92702127, 3.37491511, 1.60127547, 4.55003699, 1.37619445, 3.08499391, 3.1806516, 3.2620345, 1.27899766, 2.87710409, 2.42908135, 3.22509492, 2.42984617]"
"[4.01948306,3.27187688,3.02853914,1.44927163,3.07794687,1.69633893,3.02461806,1.64693645,2.97846764,1.50848098,3.1330641,2.68394431,1.78913174,2.70872874,2.33301338,2.3624508,3.55441413,1.99443245,3.29077464,2.86026074]","[4.01948306, 3.27187688, 3.02853914, 1.44927163, 3.07794687, 1.69633893, 3.02461806, 1.64693645, 2.97846764, 1.50848098, 3.1330641, 2.68394431, 1.78913174, 2.70872874, 2.33301338, 2.3624508, 3.55441413, 1.99443245, 3.29077464, 2.86026074]"
"[2.80441162,2.24722246,3.83602632,2.82809244,2.75242732,1.54482859,3.29776619,1.81393965,3.34047048,1.86875062,2.83033271,1.51055091,4.15068282,1.72391857,3.8977213,1.51804592,3.20422343,1.4375911,3.16025755,1.18100601]","[2.80441162, 2.24722246, 3.83602632, 2.82809244, 2.75242732, 1.54482859, 3.29776619, 1.81393965, 3.34047048, 1.86875062, 2.83033271, 1.51055091, 4.15068282, 1.72391857, 3.8977213, 1.51804592, 3.20422343, 1.4375911, 3.16025755, 1.18100601]"
"[3.15082914,1.92571354,3.89784662,2.6726908,3.51147283,2.77483342,3.13095058,3.13627348]","[3.15082914, 1.92571354, 3.89784662, 2.6726908, 3.51147283, 2.77483342, 3.13095058, 3.13627348]"
"[4.28348421,2.3230537,3.34198611,2.02778588,2.99805246,1.60585249,3.05427117,3.2157484,3.37415029,3.02259305,3.21449635,2.69207178,3.91709115,1.68407478]","[4.28348421, 2.3230537, 3.34198611, 2.02778588, 2.99805246, 1.60585249, 3.05427117, 3.2157484, 3.37415029, 3.02259305, 3.21449635, 2.69207178, 3.91709115, 1.68407478]"
"[2.94595225,1.05736084]","[2.94595225, 1.05736084]"
"[2.64967338,1.66073853,4.6237739,3.03126069,2.99399304,1.40832302,3.09029938,1.61524972,2.99900425,1.57936194,2.9254942,1.39323555,4.85457392,3.40165438,2.64511325,1.87691169,4.07554831,1.79537934,3.09962463,1.4554307 ]","[2.64967338, 1.66073853, 4.6237739, 3.03126069, 2.99399304, 1.40832302, 3.09029938, 1.61524972, 2.99900425, 1.57936194, 2.9254942, 1.39323555, 4.85457392, 3.40165438, 2.64511325, 1.87691169, 4.07554831, 1.79537934, 3.09962463, 1.4554307]"
"[4.03368758,1.83238851,3.7886568,1.43386521,3.36066469,1.65041471,2.25612745,1.5154702,2.61390446,1.44042687,2.82898839,1.40849718,3.09327294,1.32497591]","[4.03368758, 1.83238851, 3.7886568, 1.43386521, 3.36066469, 1.65041471, 2.25612745, 1.5154702, 2.61390446, 1.44042687, 2.82898839, 1.40849718, 3.09327294, 1.32497591]"
"[2.67002009,2.69976358]","[2.67002009, 2.69976358]"
"[3.63071418,2.74756772]","[3.63071418, 2.74756772]"
"[5.47229988,0.86646913,3.25320244,2.23898107,3.11115849,1.29208856,3.07730851,3.25056656,3.02073166,2.63099604,3.53436426,2.21212236,4.16774973,1.59849188]","[5.47229988, 0.86646913, 3.25320244, 2.23898107, 3.11115849, 1.29208856, 3.07730851, 3.25056656, 3.02073166, 2.63099604, 3.53436426, 2.21212236, 4.16774973, 1.59849188]"
"[2.64368874,1.41648555,4.1534716,1.84484614,3.07014203,1.39162146,3.22094598,1.35237941,2.98048993,1.64296567,2.93756349,2.87825856,3.16399809,2.63857348,4.25409774,1.21941619,3.72347339,1.59591264,2.699626,1.60286261]","[2.64368874, 1.41648555, 4.1534716, 1.84484614, 3.07014203, 1.39162146, 3.22094598, 1.35237941, 2.98048993, 1.64296567, 2.93756349, 2.87825856, 3.16399809, 2.63857348, 4.25409774, 1.21941619, 3.72347339, 1.59591264, 2.699626, 1.60286261]"
"[3.14372758,1.64040701]","[3.14372758, 1.64040701]"
"[3.21562622,1.41686561,3.43962766,1.57589089,4.26286887,1.7150956,3.28582261,2.29845719]","[3.21562622, 1.41686561, 3.43962766, 1.57589089, 4.26286887, 1.7150956, 3.28582261, 2.29845719]"
"[3.95950321,1.81248461,4.63710886,1.65838753,3.03619066,1.4644325,3.2286101,1.61652117,3.14967381,1.64941095,3.11725735,2.63201659,3.20689544,2.57933362,3.13197434,1.52137367,3.46737517,1.38943983,3.3698677,1.64143513]","[3.95950321, 1.81248461, 4.63710886, 1.65838753, 3.03619066, 1.4644325, 3.2286101, 1.61652117, 3.14967381, 1.64941095, 3.11725735, 2.63201659, 3.20689544, 2.57933362, 3.13197434, 1.52137367, 3.46737517, 1.38943983, 3.3698677, 1.64143513]"
"[2.54263132,1.44853702,3.22356481,1.53093882,3.07902122,1.872836,3.79653346,2.76624104]","[2.54263132, 1.44853702, 3.22356481, 1.53093882, 3.07902122, 1.872836, 3.79653346, 2.76624104]"
"[4.47493414,2.84889844,2.93633994,1.38422476,3.09172168,1.52976741,3.06922536,3.12712609,3.47968671,1.5052588,2.71193545,1.14320139,3.10234916,2.38699319]","[4.47493414, 2.84889844, 2.93633994, 1.38422476, 3.09172168, 1.52976741, 3.06922536, 3.12712609, 3.47968671, 1.5052588, 2.71193545, 1.14320139, 3.10234916, 2.38699319]"
"[2.67002011,2.6997636 ]","[2.67002011, 2.6997636]"
"[3.63071419,2.7475677 ]","[3.63071419, 2.7475677]"
"[3.53066694,2.45901516]","[3.53066694, 2.45901516]"
"[2.51182861,1.41445369,3.32467681,3.35721689,4.54874158,1.64082591,2.99057857,1.55849134,3.31568688,1.67294867,3.01366258,1.95075221,3.68835604,1.41886696,3.57712484,1.93403138,4.74661527,2.93835586,2.82481504,2.32040256]","[2.51182861, 1.41445369, 3.32467681, 3.35721689, 4.54874158, 1.64082591, 2.99057857, 1.55849134, 3.31568688, 1.67294867, 3.01366258, 1.95075221, 3.68835604, 1.41886696, 3.57712484, 1.93403138, 4.74661527, 2.93835586, 2.82481504, 2.32040256]"
"[ 2.55351272,2.43630482,4.22356732,1.33141902,3.08145313 -0.07720315,3.03347355,3.02664673]","[2.55351272, 2.43630482, 4.22356732, 1.33141902, 3.08145313, -0.07720315, 3.03347355, 3.02664673]"
"[4.73350725,1.61377143,3.6602681,1.31467467,3.50348093,1.9808967,3.03355632,1.58302504,3.16649697,1.3288898,2.54451952,1.18695912,2.93422785,2.43701655]","[4.73350725, 1.61377143, 3.6602681, 1.31467467, 3.50348093, 1.9808967, 3.03355632, 1.58302504, 3.16649697, 1.3288898, 2.54451952, 1.18695912, 2.93422785, 2.43701655]"
"[3.63071417,2.7475677 ]","[3.63071417, 2.7475677]"
"[4.84525941,0.57980457,2.18181402,1.64855376,2.71783781,1.61199291,3.18776169,2.99858102,3.22065561,3.0767694,3.15993791,0.87257309,3.1012886,1.72311127]","[4.84525941, 0.57980457, 2.18181402, 1.64855376, 2.71783781, 1.61199291, 3.18776169, 2.99858102, 3.22065561, 3.0767694, 3.15993791, 0.87257309, 3.1012886, 1.72311127]"
"[3.5306669,2.45901514]","[3.5306669, 2.45901514]"
"[3.93735573,1.4322723,4.74508499,2.94982782,2.7812817,0.56489653,3.55675055,1.35122017]","[3.93735573, 1.4322723, 4.74508499, 2.94982782, 2.7812817, 0.56489653, 3.55675055, 1.35122017]"
"[2.5018491,1.46853105,3.35156872,1.61179154,3.07921705,1.73272962,2.97769946,1.47589337,3.01450552,1.58638183,3.05811546,1.89572405,4.39214054,1.51792584,3.99834086,1.77233575,4.45839835,2.53640813,3.24672003,1.87129538]","[2.5018491, 1.46853105, 3.35156872, 1.61179154, 3.07921705, 1.73272962, 2.97769946, 1.47589337, 3.01450552, 1.58638183, 3.05811546, 1.89572405, 4.39214054, 1.51792584, 3.99834086, 1.77233575, 4.45839835, 2.53640813, 3.24672003, 1.87129538]"
"[3.89429466,2.24353544,4.05551121,0.90133378,4.09855731,1.28255149,2.71408995,1.80865578,3.71625202,1.58494147,2.85126646,1.1107416,2.99083891,2.21108908,3.3440924,1.69710197,3.19034156,1.98897247,2.81196654,2.39039179]","[3.89429466, 2.24353544, 4.05551121, 0.90133378, 4.09855731, 1.28255149, 2.71408995, 1.80865578, 3.71625202, 1.58494147, 2.85126646, 1.1107416, 2.99083891, 2.21108908, 3.3440924, 1.69710197, 3.19034156, 1.98897247, 2.81196654, 2.39039179]"
"[4.11414883,1.53739949,4.3758037,1.53842939,3.36272437,1.86421033,2.47377208,1.78607065,2.9607987,1.58191983,3.43619398,1.17188135,5.01505013,2.51275685]","[4.11414883, 1.53739949, 4.3758037, 1.53842939, 3.36272437, 1.86421033, 2.47377208, 1.78607065, 2.9607987, 1.58191983, 3.43619398, 1.17188135, 5.01505013, 2.51275685]"
"[4.67302016,0.97338826,4.52592441,1.56748659,3.67636934,1.65061841,3.49709891,2.80595361,3.35353323,1.86364302,2.88121218,3.34124449,3.96431757,2.75805677]","[4.67302016, 0.97338826, 4.52592441, 1.56748659, 3.67636934, 1.65061841, 3.49709891, 2.80595361, 3.35353323, 1.86364302, 2.88121218, 3.34124449, 3.96431757, 2.75805677]"
"[3.63071418,2.7475677 ]","[3.63071418, 2.7475677]"
"[2.73240448,1.5911378,3.18765678,1.68690556,3.1490209,1.70602053,3.3892887,1.68546266,3.11742808,1.47316192,2.9907649,1.95515239,2.99443341,1.70639593,2.99301669,1.36256015,2.56383296,1.66918168,3.65538396,1.4080903 ]","[2.73240448, 1.5911378, 3.18765678, 1.68690556, 3.1490209, 1.70602053, 3.3892887, 1.68546266, 3.11742808, 1.47316192, 2.9907649, 1.95515239, 2.99443341, 1.70639593, 2.99301669, 1.36256015, 2.56383296, 1.66918168, 3.65538396, 1.4080903]"
"[3.12469843,1.33003893]","[3.12469843, 1.33003893]"
"[3.53066694,2.45901514]","[3.53066694, 2.45901514]"
"[2.51496353,1.76226109,3.82139575,1.73676629,3.10034245,1.38041119,2.92723019,2.87180369]","[2.51496353, 1.76226109, 3.82139575, 1.73676629, 3.10034245, 1.38041119, 2.92723019, 2.87180369]"
"[3.63071415,2.74756772]","[3.63071415, 2.74756772]"
"[2.75329786,1.43973227,4.19035416,1.82864962,3.04115545,1.71700217,3.12336833,1.5581177,2.89008496,1.95933895,2.95591241,1.45272809,2.88394937,1.54589152,3.15565333,1.75879992,2.87892952,1.58140055,3.15013997,1.75092122]","[2.75329786, 1.43973227, 4.19035416, 1.82864962, 3.04115545, 1.71700217, 3.12336833, 1.5581177, 2.89008496, 1.95933895, 2.95591241, 1.45272809, 2.88394937, 1.54589152, 3.15565333, 1.75879992, 2.87892952, 1.58140055, 3.15013997, 1.75092122]"
"[2.53216535,1.52746439,3.1521956,1.49164013,3.02539587,2.89589252,4.78080412,1.7524332 ]","[2.53216535, 1.52746439, 3.1521956, 1.49164013, 3.02539587, 2.89589252, 4.78080412, 1.7524332]"
"[2.16472218,1.41198528,2.7188274,1.61661183,3.15498289,3.11855844,4.58403898,3.10127237]","[2.16472218, 1.41198528, 2.7188274, 1.61661183, 3.15498289, 3.11855844, 4.58403898, 3.10127237]"
"[3.13372888,1.87863752,3.14099067,1.15211596,3.44442931,1.52506746,3.12631115,2.49932814,3.85713765,2.23628716,3.98897796,1.29588948,3.42415641,1.12584513]","[3.13372888, 1.87863752, 3.14099067, 1.15211596, 3.44442931, 1.52506746, 3.12631115, 2.49932814, 3.85713765, 2.23628716, 3.98897796, 1.29588948, 3.42415641, 1.12584513]"
"[4.02389307,3.26145891,3.03549296,1.47856193,3.19432181,1.62304857,3.22556508,1.48990488,3.24519769,1.61869191,3.12856448,1.7055488,3.60750157,1.89998208,2.87079523,1.46569537,2.87861928,2.02268721,3.30869375,1.682674  ]","[4.02389307, 3.26145891, 3.03549296, 1.47856193, 3.19432181, 1.62304857, 3.22556508, 1.48990488, 3.24519769, 1.61869191, 3.12856448, 1.7055488, 3.60750157, 1.89998208, 2.87079523, 1.46569537, 2.87861928, 2.02268721, 3.30869375, 1.682674]"
