,qaoa_variant,warm_start,errors,depth,vertexcover,graph_size,graph_name,time_elapsed,quantum_func_evals,obj_func_evolution,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal
10,vanilla,False,False,1,False,5,>>graph6<<Dm{,11.938757181167603,67,"[array(-0.2047), array(0.12755), array(0.0467), array(0.93305), array(-0.1014), array(0.00505), array(-0.162), array(-0.28385), array(-0.2785), array(-0.32895), array(-0.367), array(-0.3609), array(-0.4092), array(-0.401), array(-0.42115), array(-0.3535), array(-0.50055), array(-0.5351), array(-0.56905), array(-0.6113), array(-0.62995), array(-0.63905), array(-0.6902), array(-0.7362), array(-0.74235), array(-0.7216), array(-0.70235), array(-0.73295), array(-0.72885), array(-0.73605), array(-0.72975), array(-0.7359), array(-0.7286), array(-0.7358), array(-0.7349), array(-0.75175), array(-0.7457), array(-0.74895), array(-0.7456), array(-0.75915), array(-0.75395), array(-0.7275), array(-0.72455), array(-0.7376), array(-0.74785), array(-0.7412), array(-0.7258), array(-0.73035), array(-0.72615), array(-0.75345), array(-0.749), array(-0.74995), array(-0.7453), array(-0.7228), array(-0.7571), array(-0.73095), array(-0.72775), array(-0.7463), array(-0.76745), array(-0.7464), array(-0.72945), array(-0.7237), array(-0.7432), array(-0.7305), array(-0.7428), array(-0.75895), array(-0.7456)]","[0, 1, 1, 1, 0]",3.75,"[1.0, 0, 0, 0, 1.0]",3.75,[1.23436745 1.28770081],0.2994
11,vanilla,True,False,1,False,5,>>graph6<<Dm{,10.154018640518188,49,"[array(-0.16515), array(-1.1729), array(-0.2982), array(-0.41465), array(-1.10785), array(-1.11745), array(-1.0428), array(-1.2418), array(-1.267), array(-1.2619), array(-1.22235), array(-1.27205), array(-1.2411), array(-1.2636), array(-1.25535), array(-1.2601), array(-1.2563), array(-1.2555), array(-1.26095), array(-1.26245), array(-1.25295), array(-1.2532), array(-1.264), array(-1.2569), array(-1.2784), array(-1.24845), array(-1.2583), array(-1.2692), array(-1.2509), array(-1.26255), array(-1.2654), array(-1.2643), array(-1.25865), array(-1.2576), array(-1.2588), array(-1.2618), array(-1.2575), array(-1.2588), array(-1.26435), array(-1.26155), array(-1.2638), array(-1.25595), array(-1.25235), array(-1.25705), array(-1.2749), array(-1.2639), array(-1.2538), array(-1.25845), array(-1.2589)]","[0, 1, 1, 1, 0]",3.75,"[1.0, 0, 0, 0, 1.0]",3.75,[3.37720558 0.30504474],0.7849999999999999
12,vanilla,False,False,1,False,5,>>graph6<<DkO,10.305617570877075,51,"[array(-0.0095), array(-0.4273), array(-0.3519), array(0.57705), array(-0.1752), array(0.07365), array(-0.46895), array(-0.5909), array(-0.54035), array(-0.5836), array(-0.5353), array(-0.57845), array(-0.58615), array(-0.59465), array(-0.59215), array(-0.58645), array(-0.59355), array(-0.5869), array(-0.5864), array(-0.5877), array(-0.5949), array(-0.57825), array(-0.57035), array(-0.59195), array(-0.58715), array(-0.5867), array(-0.5787), array(-0.57975), array(-0.5761), array(-0.58755), array(-0.58695), array(-0.5942), array(-0.5806), array(-0.5953), array(-0.5928), array(-0.59345), array(-0.5955), array(-0.5755), array(-0.5798), array(-0.5726), array(-0.5968), array(-0.5889), array(-0.57315), array(-0.57215), array(-0.5921), array(-0.58425), array(-0.5958), array(-0.5913), array(-0.5961), array(-0.5671), array(-0.59235)]","[1, 0, 0, 1, 0]",2.5,"[1.0, 0, 0, 1.0, 0]",2.5,[4.29035555 2.75890724],0.24230000000000002
13,vanilla,False,False,1,False,5,>>graph6<<Dm{,13.967477798461914,55,"[array(1.21945), array(-0.11655), array(-0.0404), array(-0.2417), array(-0.6151), array(-0.30055), array(1.0158), array(-0.75695), array(-0.31385), array(-0.5827), array(-0.61085), array(-0.68675), array(-0.80945), array(-0.8169), array(-0.77135), array(-0.79885), array(-0.8004), array(-0.81365), array(-0.8209), array(-0.82375), array(-0.80675), array(-0.808), array(-0.821), array(-0.82175), array(-0.8138), array(-0.7989), array(-0.82295), array(-0.82395), array(-0.81375), array(-0.7931), array(-0.81815), array(-0.78325), array(-0.8061), array(-0.80515), array(-0.83475), array(-0.80335), array(-0.8166), array(-0.80155), array(-0.8197), array(-0.80595), array(-0.8196), array(-0.81565), array(-0.81745), array(-0.81605), array(-0.79775), array(-0.8249), array(-0.81555), array(-0.80315), array(-0.7971), array(-0.81695), array(-0.79435), array(-0.80205), array(-0.8071), array(-0.8171), array(-0.8239)]","[0, 1, 1, 1, 0]",3.75,"[1.0, 0, 0, 0, 1.0]",3.75,[5.95565386 0.95152488],0.2705
14,vanilla,True,False,1,False,5,>>graph6<<DkO,12.896711111068726,51,"[array(-0.09035), array(0.18105), array(-0.2208), array(-0.3872), array(-0.1446), array(-0.49495), array(-0.14085), array(-0.65585), array(-0.55825), array(-0.59125), array(-0.6345), array(-0.6389), array(-0.65675), array(-0.65475), array(-0.6535), array(-0.65665), array(-0.63745), array(-0.65), array(-0.6631), array(-0.64965), array(-0.66415), array(-0.6458), array(-0.65395), array(-0.65695), array(-0.6574), array(-0.63315), array(-0.65445), array(-0.65345), array(-0.64565), array(-0.64475), array(-0.65215), array(-0.6359), array(-0.64985), array(-0.6557), array(-0.662), array(-0.65255), array(-0.6607), array(-0.63975), array(-0.65175), array(-0.65845), array(-0.644), array(-0.6502), array(-0.65395), array(-0.64245), array(-0.6425), array(-0.6493), array(-0.64875), array(-0.6509), array(-0.6591), array(-0.65025), array(-0.6555)]","[1, 0, 0, 1, 0]",2.5,"[1.0, 0, 0, 1.0, 0]",2.5,[0.84503217 3.13761906],0.3143
15,vanilla,True,False,1,False,5,>>graph6<<Dm{,15.347429990768433,51,"[array(0.84835), array(-0.2482), array(-0.24825), array(-0.58435), array(0.56995), array(0.0213), array(-0.5261), array(-0.7513), array(-0.44145), array(-0.6138), array(-0.8127), array(-0.84055), array(-0.78375), array(-0.89025), array(-0.87915), array(-0.8727), array(-0.85705), array(-0.86185), array(-0.87075), array(-0.87855), array(-0.86965), array(-0.85355), array(-0.8795), array(-0.8722), array(-0.8786), array(-0.86365), array(-0.85695), array(-0.8562), array(-0.86065), array(-0.8599), array(-0.8737), array(-0.87215), array(-0.86255), array(-0.8551), array(-0.869), array(-0.8755), array(-0.87155), array(-0.8794), array(-0.86915), array(-0.8634), array(-0.86685), array(-0.87995), array(-0.8716), array(-0.83855), array(-0.8817), array(-0.86035), array(-0.8653), array(-0.85035), array(-0.8711), array(-0.86515), array(-0.87505)]","[1, 0, 0, 0, 1]",3.75,"[1.0, 0, 0, 0, 1.0]",3.75,[6.99509223 1.38521562],0.4429
16,vanilla,False,False,1,False,5,>>graph6<<DkO,14.842217445373535,52,"[array(0.4358), array(-0.1713), array(-0.2416), array(-0.2539), array(-0.30405), array(-0.33555), array(-0.5283), array(0.0813), array(0.17245), array(-0.4303), array(-0.53045), array(-0.4881), array(-0.5819), array(-0.49755), array(-0.5696), array(-0.6031), array(-0.58905), array(-0.5781), array(-0.58035), array(-0.59555), array(-0.5734), array(-0.5766), array(-0.5876), array(-0.58655), array(-0.5906), array(-0.58635), array(-0.5876), array(-0.56225), array(-0.57345), array(-0.59855), array(-0.56735), array(-0.57045), array(-0.5926), array(-0.58855), array(-0.5888), array(-0.58285), array(-0.58605), array(-0.5775), array(-0.5918), array(-0.57585), array(-0.5881), array(-0.58595), array(-0.58815), array(-0.573), array(-0.589), array(-0.58915), array(-0.58555), array(-0.59575), array(-0.5976), array(-0.57855), array(-0.59475), array(-0.57795)]","[0, 1, 1, 0, 1]",2.5,"[1.0, 0, 0, 1.0, 0]",2.5,[2.76251168 2.9748596 ],0.2117
17,vanilla,False,False,1,False,5,>>graph6<<Dm{,15.17983889579773,53,"[array(-0.0978), array(0.27705), array(-0.1428), array(-0.00275), array(0.0509), array(-0.29395), array(-0.36215), array(-0.24635), array(-0.4122), array(-0.43405), array(-0.4013), array(-0.43275), array(-0.42475), array(-0.44645), array(-0.4329), array(-0.4196), array(-0.4277), array(-0.4127), array(-0.41605), array(-0.41825), array(-0.44465), array(-0.4204), array(-0.4151), array(-0.41355), array(-0.43815), array(-0.40385), array(-0.4212), array(-0.42675), array(-0.42475), array(-0.42345), array(-0.4014), array(-0.4089), array(-0.43805), array(-0.43095), array(-0.45135), array(-0.4372), array(-0.42035), array(-0.41985), array(-0.43485), array(-0.40355), array(-0.44235), array(-0.43695), array(-0.38265), array(-0.43865), array(-0.4131), array(-0.4194), array(-0.40685), array(-0.40965), array(-0.4157), array(-0.4369), array(-0.40835), array(-0.41015), array(-0.39115)]","[0, 1, 1, 1, 0]",3.75,"[1.0, 0, 0, 0, 1.0]",3.75,[0.56361271 3.64637468],0.3739
18,vanilla,True,False,1,False,5,>>graph6<<DkO,14.794617652893066,50,"[array(-0.6996), array(0.33425), array(-0.3922), array(-0.9992), array(-1.0253), array(-0.69135), array(-0.6928), array(-0.91595), array(-0.98885), array(-0.9917), array(-0.99615), array(-1.0176), array(-1.01645), array(-1.01115), array(-1.02075), array(-1.01195), array(-1.0139), array(-1.0217), array(-1.0208), array(-1.0116), array(-1.0248), array(-1.02165), array(-1.0289), array(-1.02425), array(-1.01425), array(-1.0221), array(-1.0067), array(-1.00975), array(-1.01685), array(-1.0182), array(-1.0257), array(-1.0171), array(-1.02135), array(-1.0091), array(-1.02355), array(-1.01565), array(-1.01855), array(-1.01765), array(-1.01245), array(-1.02065), array(-1.015), array(-1.0186), array(-1.01805), array(-1.0246), array(-1.0214), array(-1.0174), array(-1.02855), array(-1.01995), array(-1.0228), array(-1.02605)]","[0, 1, 1, 0, 1]",2.5,"[1.0, 0, 0, 1.0, 0]",2.5,[ 2.63942708 -0.51774475],0.7489
19,vanilla,False,False,1,False,5,>>graph6<<DkO,10.750032663345337,46,"[array(0.3554), array(-0.43555), array(-0.5939), array(0.32525), array(0.097), array(-0.22205), array(-0.63805), array(-0.5982), array(-0.52055), array(-0.6217), array(-0.5962), array(-0.63635), array(-0.6174), array(-0.6229), array(-0.63915), array(-0.6184), array(-0.6237), array(-0.6228), array(-0.6269), array(-0.61845), array(-0.61225), array(-0.61055), array(-0.62595), array(-0.63745), array(-0.63465), array(-0.627), array(-0.60605), array(-0.6319), array(-0.62045), array(-0.62905), array(-0.62905), array(-0.6186), array(-0.6167), array(-0.6211), array(-0.6252), array(-0.6332), array(-0.62035), array(-0.625), array(-0.6157), array(-0.61805), array(-0.6301), array(-0.6179), array(-0.61555), array(-0.6316), array(-0.61795), array(-0.63105)]","[0, 1, 1, 0, 1]",2.5,"[1.0, 0, 0, 1.0, 0]",2.5,[5.94305221 1.30449301],0.2435
