,param_initialization,optimizer,qaoa_variant,warm_start,errors,depth,graph_size,graph_name,time_elapsed,quantum_func_evals,obj_func_evolution,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal
10,gaussian,COBYLA,vanilla,False,True,2,5,B,204.1649374961853,35,"[array(0.51848152), array(0.35464535), array(0.64235764), array(0.68231768), array(-0.23876124), array(1.11988012), array(-0.37462537), array(-0.11888112), array(0.16883117), array(-0.55644356), array(-0.11888112), array(-0.08891109), array(-0.35464535), array(-0.6043956), array(-0.59040959), array(-0.52447552), array(-0.39260739), array(-0.62637363), array(-0.47252747), array(-0.63236763), array(-0.59040959), array(-0.68831169), array(-0.70629371), array(-0.7022977), array(-0.72427572), array(-0.72627373), array(-0.7022977), array(-0.75024975), array(-0.74425574), array(-0.6983017), array(-0.77422577), array(-0.73826174), array(-0.72627373), array(-0.68231768), array(-0.77022977)]","[1, 0, 1, 0, 1]",4.0,"[1.0, 1.0, 0, 0, 0]",4.0,[4.26571833 2.12361424 2.84295685 2.7271511 ],0.8795999999999999
11,gaussian,COBYLA,vanilla,False,True,2,5,k,141.94074988365173,24,"[array(0.09290709), array(0.17082917), array(0.03596404), array(0.16583417), array(-0.14085914), array(0.69130869), array(-0.08491508), array(-0.74825175), array(0.87112887), array(-0.66633367), array(-0.94305694), array(-0.64735265), array(-0.88411588), array(-0.69130869), array(-0.8011988), array(-0.91708292), array(-0.8951049), array(-0.91008991), array(-0.9030969), array(-0.89210789), array(-0.92807193), array(-0.92007992), array(-0.85114885), array(-0.85014985)]","[0, 0, 1, 1, 0]",6.0,"[1.0, 1.0, 0, 0, 0]",6.0,[2.88630075 1.89325539 3.03746122 2.51519037],0.32720000000000005
12,gaussian,COBYLA,vanilla,False,True,4,5,D,340.44239473342896,57,"[array(-0.05644356), array(-0.24925075), array(0.22027972), array(-0.82867133), array(0.18031968), array(-0.32117882), array(-0.41608392), array(-0.37912088), array(-0.51798202), array(-0.19130869), array(0.07342657), array(-0.77572428), array(-0.76173826), array(-0.68481518), array(-0.44205794), array(-0.67282717), array(-0.83366633), array(-0.81168831), array(-0.72677323), array(-0.82067932), array(-0.87762238), array(-0.91858142), array(-0.83766234), array(-0.88861139), array(-0.9045954), array(-0.89160839), array(-0.92957043), array(-0.99050949), array(-0.97252747), array(-0.98351648), array(-0.90959041), array(-0.9035964), array(-1.02647353), array(-1.02247752), array(-0.98651349), array(-1.02247752), array(-1.02047952), array(-1.04745255), array(-1.02247752), array(-1.03146853), array(-1.02247752), array(-1.01748252), array(-1.03146853), array(-0.97552448), array(-1.05444555), array(-1.04645355), array(-1.02147852), array(-1.02747253), array(-1.01248751), array(-1.05444555), array(-1.03346653), array(-1.00649351), array(-1.02147852), array(-1.02547453), array(-1.02047952), array(-1.02547453), array(-1.01648352)]","[1, 0, 0, 1, 0]",4.0,"[1.0, 1.0, 1.0, 0, 0]",4.0,"[4.16065731 1.73421952 4.49380795 1.79925024 2.95305571 2.21081898
 3.28806834 1.6444535 ]",0.6652
13,gaussian,COBYLA,vanilla,False,True,4,5,B,292.05966091156006,48,"[array(0.28071928), array(0.05894106), array(0.77622378), array(1.13986014), array(0.05094905), array(1.2037962), array(1.25374625), array(-0.07892108), array(0.71228771), array(0.73426573), array(0.02697303), array(-0.28671329), array(0.28871129), array(-0.32667333), array(0.8021978), array(-0.6023976), array(-0.80619381), array(-0.67832168), array(-0.75624376), array(-0.34665335), array(-0.33266733), array(-0.66633367), array(-0.63836164), array(-0.61838162), array(-0.64035964), array(-0.76023976), array(-0.78221778), array(-0.76823177), array(-0.78021978), array(-0.7982018), array(-0.73426573), array(-0.76623377), array(-0.82817183), array(-0.74425574), array(-0.8041958), array(-0.77022977), array(-0.81018981), array(-0.78021978), array(-0.78821179), array(-0.79420579), array(-0.79020979), array(-0.77222777), array(-0.81418581), array(-0.78821179), array(-0.78021978), array(-0.8021978), array(-0.80619381), array(-0.79420579)]","[0, 0, 0, 0, 1]",4.0,"[1.0, 1.0, 0, 0, 0]",4.0,"[3.7738691  1.98821147 3.09787613 2.98945801 2.81407085 2.19402216
 4.43322043 1.67388755]",0.9143
14,gaussian,COBYLA,vanilla,False,True,4,5,k,262.36428022384644,44,"[array(-0.37262737), array(-0.15984016), array(-0.40959041), array(0.18781219), array(0.30769231), array(-0.82817183), array(0.65134865), array(1.1988012), array(-0.63836164), array(-0.11488511), array(-0.28071928), array(0.04295704), array(0.53546454), array(-0.27172827), array(-0.97502498), array(-0.89210789), array(-0.7002997), array(-1.14685315), array(-0.78121878), array(-0.99400599), array(-1.04995005), array(-0.83216783), array(-1.08491508), array(-1.06393606), array(-1.05394605), array(-1.13386613), array(-1.13786214), array(-1.1018981), array(-1.13186813), array(-0.97902098), array(-1.12787213), array(-1.08991009), array(-1.08491508), array(-1.1048951), array(-1.13686314), array(-1.17282717), array(-1.11888112), array(-1.12387612), array(-1.12687313), array(-1.14685315), array(-1.14885115), array(-1.1028971), array(-1.16083916), array(-1.15684316)]","[0, 0, 1, 1, 0]",6.0,"[1.0, 1.0, 0, 0, 0]",6.0,"[3.38727397 2.19824184 3.40694081 1.6774423  4.0004146  1.4039803
 3.44989338 1.67878819]",0.5831
15,gaussian,COBYLA,vanilla,False,True,6,5,D,469.51266503334045,77,"[array(1.00649351), array(0.53496503), array(-0.19330669), array(0.29120879), array(0.12337662), array(0.1043956), array(0.24425574), array(-0.02447552), array(0.6048951), array(0.18031968), array(0.18331668), array(0.2002997), array(0.20529471), array(-0.43506494), array(-0.25124875), array(-0.68281718), array(0.1973027), array(0.27822178), array(-0.18331668), array(-0.52797203), array(-0.64085914), array(-0.82567433), array(-0.7047952), array(-0.66883117), array(-0.14535465), array(-1.08641359), array(-1.00749251), array(-0.63586414), array(-0.98951049), array(-0.56693307), array(-0.9045954), array(-0.78871129), array(-0.84265734), array(-1.02547453), array(-1.00749251), array(-1.03546454), array(-0.96353646), array(-1.0984016), array(-0.8966034), array(-1.11738262), array(-0.94155844), array(-1.05644356), array(-0.99050949), array(-1.01848152), array(-0.97352647), array(-1.07442557), array(-1.01048951), array(-1.0014985), array(-1.05744256), array(-1.06243756), array(-1.06643357), array(-1.06543457), array(-1.06043956), array(-1.08741259), array(-1.05044955), array(-1.04145854), array(-1.07542458), array(-1.0954046), array(-1.05544456), array(-1.14035964), array(-1.10939061), array(-1.08841159), array(-1.08841159), array(-1.07042957), array(-1.12737263), array(-1.06043956), array(-1.07542458), array(-1.0964036), array(-1.11538462), array(-1.05644356), array(-1.07542458), array(-1.0974026), array(-1.11238761), array(-1.06943057), array(-1.07942058), array(-1.05544456), array(-1.09140859)]","[0, 1, 0, 0, 1]",4.0,"[1.0, 1.0, 1.0, 0, 0]",4.0,"[4.37375762 3.13270175 2.77288648 1.47720774 3.27777859 1.74845628
 2.41688499 1.71623063 2.63461972 0.98442144 3.20855076 1.61254827]",0.7044999999999999
16,gaussian,COBYLA,vanilla,False,True,6,5,B,486.0759823322296,81,"[array(0.32467532), array(0.13486513), array(0.64435564), array(0.62437562), array(0.43256743), array(0.76223776), array(-0.11488511), array(0.16483516), array(0.6043956), array(0.65834166), array(0.05494505), array(1.06593407), array(0.71628372), array(-0.22477522), array(0.996004), array(-0.22077922), array(0.47852148), array(-0.36263736), array(0.20879121), array(0.03496503), array(0.63636364), array(-0.39460539), array(-0.16883117), array(0.05494505), array(-0.01898102), array(-0.1988012), array(0.32267732), array(-0.04495504), array(0.36263736), array(0.09090909), array(-0.14085914), array(-0.46253746), array(-0.66233766), array(-0.61838162), array(-0.57842158), array(-0.44655345), array(-0.64235764), array(-0.6963037), array(-0.69230769), array(-0.7022977), array(-0.66033966), array(-0.75224775), array(-0.74425574), array(-0.46653347), array(-0.68831169), array(-0.65034965), array(-0.73426573), array(-0.71028971), array(-0.71028971), array(-0.77622378), array(-0.71828172), array(-0.71028971), array(-0.77022977), array(-0.73826174), array(-0.68831169), array(-0.79220779), array(-0.7002997), array(-0.68431568), array(-0.72827173), array(-0.73026973), array(-0.71628372), array(-0.76223776), array(-0.71628372), array(-0.74225774), array(-0.75224775), array(-0.6963037), array(-0.72427572), array(-0.72627373), array(-0.8021978), array(-0.73226773), array(-0.71828172), array(-0.72027972), array(-0.70829171), array(-0.72027972), array(-0.74625375), array(-0.76423576), array(-0.74225774), array(-0.74025974), array(-0.7042957), array(-0.77422577), array(-0.72627373)]","[0, 1, 0, 0, 1]",4.0,"[1.0, 1.0, 0, 0, 0]",4.0,"[4.20300548 1.31256358 2.6114786  1.50704357 2.57237698 2.87127666
 2.80823468 0.60555383 2.85202336 1.43609762 2.40211093 0.99915968]",0.8799
17,gaussian,COBYLA,vanilla,False,True,6,5,k,532.7136089801788,87,"[array(0.73926074), array(0.7002997), array(0.22177822), array(-0.17882118), array(1.11988012), array(0.25374625), array(-0.02497502), array(0.78321678), array(0.002997), array(-0.00799201), array(-0.3966034), array(-0.09290709), array(-0.41258741), array(-0.04995005), array(-0.36163836), array(-0.22477522), array(0.37762238), array(0.22577423), array(0.36463536), array(-0.25074925), array(-0.72727273), array(-0.36963037), array(-0.63736264), array(0.18681319), array(-0.2967033), array(-0.95204795), array(-0.98101898), array(-0.97602398), array(-0.4995005), array(-0.02797203), array(-0.74825175), array(-0.96703297), array(-0.86613387), array(-0.94605395), array(-0.58041958), array(-0.66133866), array(-0.53346653), array(-0.88511489), array(-1.01298701), array(-1.00899101), array(-0.81718282), array(-0.7022977), array(-1.17382617), array(-0.7962038), array(-1.18381618), array(-0.95704296), array(-1.05894106), array(-0.94105894), array(-0.87312687), array(-1.05194805), array(-1.10889111), array(-1.18381618), array(-1.23176823), array(-1.22077922), array(-1.34065934), array(-1.37362637), array(-1.34765235), array(-1.29170829), array(-1.30969031), array(-1.34765235), array(-1.34365634), array(-1.27772228), array(-1.48951049), array(-1.34365634), array(-1.38261738), array(-1.35664336), array(-1.38361638), array(-1.36063936), array(-1.38661339), array(-1.37362637), array(-1.34165834), array(-1.4005994), array(-1.35564436), array(-1.37862138), array(-1.4035964), array(-1.40659341), array(-1.42657343), array(-1.36063936), array(-1.41258741), array(-1.38961039), array(-1.33166833), array(-1.42357642), array(-1.40659341), array(-1.36763237), array(-1.40959041), array(-1.35864136), array(-1.35664336)]","[0, 0, 1, 1, 1]",6.0,"[1.0, 1.0, 0, 0, 0]",6.0,"[4.00559401 2.33311852 4.63219526 1.88305681 2.91927139 1.70614802
 3.50776988 1.31173438 2.69839489 2.63053042 3.38757511 2.95067681]",0.684
18,gaussian,COBYLA,vanilla,False,True,2,5,D,182.40246105194092,30,"[array(-0.15134865), array(0.08441558), array(0.41308691), array(-0.32217782), array(-0.06843157), array(-0.3031968), array(-0.41608392), array(-0.49400599), array(-0.21028971), array(-0.67782218), array(-0.62887113), array(-0.87362637), array(-0.28421578), array(-0.76473526), array(-0.94755245), array(-0.88761239), array(-0.83366633), array(-0.93756244), array(-0.89260739), array(-0.81168831), array(-0.92157842), array(-0.92457542), array(-0.87262737), array(-0.93956044), array(-0.87562438), array(-0.88061938), array(-0.88761239), array(-0.8966034), array(-0.88761239), array(-0.94555445)]","[1, 0, 1, 1, 0]",4.0,"[1.0, 1.0, 1.0, 0, 0]",4.0,[3.54612685 1.7259849  3.98094828 1.11345282],0.579
19,gaussian,COBYLA,vanilla,False,True,2,5,B,196.55553269386292,33,"[array(0.01098901), array(-0.21478521), array(0.42857143), array(0.37262737), array(-0.33466533), array(0.65834166), array(-0.50849151), array(1.43556444), array(-0.28071928), array(-0.38861139), array(-0.60839161), array(-0.004995), array(-0.65434565), array(-0.55244755), array(-0.76423576), array(-0.62637363), array(-0.7042957), array(-0.64635365), array(-0.67632368), array(-0.66233766), array(-0.72227772), array(-0.70829171), array(-0.66833167), array(-0.71428571), array(-0.76623377), array(-0.75624376), array(-0.77622378), array(-0.77822178), array(-0.74225774), array(-0.77622378), array(-0.76023976), array(-0.80819181), array(-0.77822178)]","[1, 0, 1, 0, 1]",4.0,"[1.0, 1.0, 0, 0, 0]",4.0,[4.38519554 2.1015101  2.86096594 2.85927649],0.8968000000000002
