,depth,param_initialization,qaoa_variant,graph_size,graph_name,time_elapsed,quantum_func_evals,obj_func_evolution,quantum_solution,quantum_obj_value,classic_solution,classic_value,final_params,percent_measure_optimal
10,2,uniform,vanilla,9,>>graph6<<HkPsgZ@,131.50109910964966,77,"[array(-8.5296), array(-13.0448), array(39.6082), array(-7.286), array(-5.25), array(6.032), array(71.289), array(3.818), array(-19.9228), array(-15.6726), array(50.5174), array(2.531), array(55.1916), array(2.6586), array(43.7772), array(-23.2354), array(-23.535), array(-3.1234), array(-24.5354), array(46.77), array(-16.2764), array(-25.4298), array(-4.133), array(-23.2916), array(-25.8198), array(-21.1198), array(-25.812), array(-23.2572), array(-25.5128), array(-25.2078), array(-25.4824), array(-25.6402), array(-25.5648), array(-25.0958), array(-25.5574), array(-25.4566), array(-25.6442), array(-25.762), array(-25.4494), array(-25.4798), array(-25.7324), array(-25.7034), array(-25.7216), array(-25.6208), array(-25.3846), array(-25.674), array(-25.3438), array(-25.7416), array(-25.3592), array(-25.2466), array(-25.3326), array(-25.348), array(-25.6398), array(-25.5972), array(-25.267), array(-25.3218), array(-25.1846), array(-25.5264), array(-25.5532), array(-25.4106), array(-25.1422), array(-25.4754), array(-25.4782), array(-25.563), array(-25.5512), array(-25.6862), array(-25.7704), array(-25.7024), array(-25.7868), array(-25.3838), array(-25.6028), array(-25.7548), array(-25.3124), array(-25.5236), array(-25.3048), array(-25.5362), array(-25.5684)]","[1, 1, 0, 1, 0, 1, 0, 1, 0]",5,"[1.0, 1.0, 0, 0, 0, 0, 1.0, 1.0, 0]",7.5,[3.09107661 2.71279897 4.9058592  2.07956575],0.0363
11,2,uniform,vanilla,9,>>graph6<<Hm~]x^^,131.9763412475586,79,"[array(-5.3014), array(0.529), array(-4.2344), array(-0.9248), array(-2.1896), array(8.102), array(9.662), array(-11.3152), array(4.5076), array(-12.6936), array(43.3424), array(94.9504), array(2.2294), array(5.2012), array(4.8188), array(-11.434), array(-12.294), array(-15.5406), array(-11.4776), array(-14.5198), array(-15.6114), array(-13.0438), array(-16.66), array(-11.876), array(-14.5244), array(-14.6944), array(-15.0826), array(-14.9924), array(-14.2562), array(-15.445), array(-13.9974), array(-15.042), array(-14.3548), array(-14.705), array(-16.0954), array(-16.2482), array(-15.5412), array(-16.4022), array(-14.459), array(-15.462), array(-15.9482), array(-13.0184), array(-12.8418), array(-16.4104), array(-16.1908), array(-14.8768), array(-15.098), array(-16.159), array(-16.0082), array(-14.8662), array(-15.2264), array(-15.0854), array(-13.3126), array(-14.3578), array(-16.3818), array(-14.484), array(-13.7692), array(-15.7596), array(-16.945), array(-15.041), array(-17.6078), array(-15.13), array(-14.8718), array(-14.613), array(-16.1338), array(-14.9304), array(-15.5516), array(-15.364), array(-15.8364), array(-16.0316), array(-14.0188), array(-15.2992), array(-15.797), array(-14.7876), array(-16.3516), array(-13.9658), array(-14.5022), array(-14.0814), array(-16.271)]","[0, 0, 0, 0, 0, 0, 0, 0, 0]",56,"[1.0, 1.0, 0, 1.0, 0, 0, 0, 1.0, 0]",12.25,[ 1.88424637e+00 -1.17853420e-03  1.98619378e+00  2.23656576e+00],0.034499999999999996
12,1,gaussian,vanilla,5,>>graph6<<DkO,10.230575561523438,58,"[array(0.8788), array(-2.0508), array(-2.5806), array(0.9704), array(-0.125), array(-1.5472), array(-1.4326), array(-3.367), array(-3.456), array(-2.6648), array(-2.9906), array(-3.6624), array(-3.617), array(-3.526), array(-3.8886), array(-3.973), array(-3.8654), array(-3.8564), array(-3.9828), array(-3.9612), array(-3.9504), array(-3.9346), array(-3.9824), array(-3.9572), array(-3.9268), array(-3.9666), array(-3.954), array(-3.998), array(-3.9814), array(-3.9754), array(-3.9622), array(-3.9448), array(-3.958), array(-3.9796), array(-3.9832), array(-3.9314), array(-3.941), array(-3.9698), array(-3.95), array(-3.9816), array(-4.0178), array(-3.9446), array(-3.9566), array(-3.9724), array(-4.0118), array(-3.974), array(-4.0188), array(-3.9644), array(-3.9566), array(-3.967), array(-4.0008), array(-3.918), array(-3.942), array(-3.9716), array(-3.9974), array(-3.9722), array(-3.982), array(-3.9678)]","[1, 1, 1, 1, 1]",5,"[1.0, 0, 0, 1.0, 0]",2.5,[4.21385536 2.02154115],0.0147
13,1,gaussian,vanilla,5,>>graph6<<Dm{,10.573019742965698,59,"[array(-0.1618), array(2.455), array(0.0156), array(0.6168), array(0.8438), array(0.348), array(0.1872), array(-4.2418), array(-3.7048), array(5.4978), array(-1.2804), array(-2.2314), array(-3.691), array(-4.2298), array(-4.6682), array(-4.9716), array(-4.4706), array(-5.0044), array(-5.273), array(-5.188), array(-5.2034), array(-5.292), array(-4.8708), array(-5.1186), array(-5.1082), array(-4.9616), array(-5.0678), array(-5.2114), array(-5.2706), array(-5.051), array(-5.1858), array(-5.1862), array(-5.141), array(-5.1752), array(-5.3552), array(-5.1474), array(-5.1654), array(-5.094), array(-5.2234), array(-4.9666), array(-5.2836), array(-4.8854), array(-5.2496), array(-5.321), array(-5.2402), array(-5.1892), array(-5.352), array(-5.2578), array(-5.0214), array(-5.0932), array(-5.0376), array(-4.91), array(-5.2214), array(-5.041), array(-5.071), array(-4.8256), array(-4.9028), array(-4.9734), array(-5.0436)]","[1, 0, 0, 1, 1]",3,"[1.0, 0, 0, 0, 1.0]",3.75,[2.88597174 1.90253177],0.2014
14,1,gaussian,vanilla,7,>>graph6<<FkPsg,23.348623037338257,52,"[array(34.5964), array(-16.1328), array(3.842), array(-0.1672), array(3.0224), array(4.04), array(7.9182), array(-3.7204), array(-15.0172), array(-15.8112), array(-13.5114), array(-16.0764), array(-16.6208), array(-16.553), array(-16.632), array(-16.645), array(-16.633), array(-16.6038), array(-16.637), array(-16.6412), array(-16.6586), array(-16.6504), array(-16.6554), array(-16.644), array(-16.6116), array(-16.6618), array(-16.6442), array(-16.6444), array(-16.6474), array(-16.6456), array(-16.6456), array(-16.664), array(-16.6638), array(-16.672), array(-16.6832), array(-16.6538), array(-16.6432), array(-16.6698), array(-16.6286), array(-16.6732), array(-16.662), array(-16.623), array(-16.6456), array(-16.6418), array(-16.6442), array(-16.6594), array(-16.6432), array(-16.6266), array(-16.658), array(-16.6312), array(-16.656), array(-16.6706)]","[1, 1, 1, 1, 1, 1, 1]",7,"[0, 1.0, 1.0, 1.0, 1.0, 0, 0]",5.25,[3.73124035 1.56978256],0.00030000000000000003
15,1,gaussian,vanilla,7,>>graph6<<Fm~]w,23.0121009349823,51,"[array(-0.1566), array(6.6636), array(0.7772), array(0.3476), array(7.5646), array(2.9734), array(0.0838), array(3.2772), array(0.5612), array(0.401), array(0.0102), array(0.452), array(0.248), array(0.0068), array(-0.28), array(-0.0468), array(0.0778), array(0.6426), array(-0.0504), array(0.5822), array(-0.1436), array(0.7004), array(-0.5668), array(0.2638), array(-0.4488), array(0.1346), array(-0.1824), array(-0.08), array(0.1066), array(-0.2746), array(0.3086), array(-0.235), array(-0.131), array(0.6194), array(-0.1418), array(-0.1528), array(-0.0204), array(-0.6604), array(0.2818), array(0.1082), array(-0.2322), array(0.0852), array(-0.4736), array(0.0758), array(-0.6118), array(-0.3498), array(-0.087), array(-1.0674), array(-0.043), array(-0.183), array(0.1854)]","[0, 1, 1, 0, 1, 1, 0]",10,"[1.0, 0, 1.0, 1.0, 0, 0, 1.0]",7.0,[3.14659569 1.30654047],0.0269
16,1,gaussian,vanilla,9,>>graph6<<HkPsgZ@,85.01406025886536,48,"[array(2.1822), array(2.674), array(3.1276), array(31.3184), array(0.9914), array(6.4938), array(75.4382), array(-0.2862), array(2.166), array(3.1674), array(-0.5924), array(-0.7926), array(0.1136), array(0.7382), array(0.252), array(0.0514), array(0.1568), array(0.35), array(-0.2006), array(0.6858), array(0.0254), array(-0.666), array(0.2998), array(-0.0968), array(-0.2506), array(0.1954), array(0.8178), array(0.8702), array(0.2018), array(0.4978), array(0.658), array(-0.0762), array(0.8824), array(1.0508), array(0.0074), array(-0.2224), array(0.3926), array(0.5272), array(0.0206), array(0.6584), array(0.8056), array(0.2694), array(0.2212), array(0.2742), array(0.3196), array(0.7322), array(0.3356), array(0.5976)]","[1, 1, 1, 1, 1, 1, 1, 1, 1]",9,"[1.0, 1.0, 0, 0, 0, 0, 1.0, 1.0, 0]",7.5,[3.29078205 0.96566284],0.0006000000000000001
17,1,gaussian,vanilla,9,>>graph6<<Hm~]x^^,69.72159934043884,51,"[array(-6.029), array(12.2992), array(0.8442), array(4.1184), array(3.947), array(-21.936), array(2.1028), array(1.7998), array(-1.603), array(-12.3224), array(-16.7852), array(8.3382), array(-23.5272), array(-27.7252), array(-27.9654), array(-25.5036), array(-31.3144), array(-31.2412), array(-28.3722), array(-29.8392), array(-27.6984), array(-29.6416), array(-29.5174), array(-30.2334), array(-29.5004), array(-30.225), array(-29.8532), array(-30.2324), array(-29.9394), array(-29.649), array(-30.0226), array(-30.2748), array(-29.7356), array(-29.9236), array(-29.9534), array(-29.797), array(-30.0462), array(-30.4608), array(-30.604), array(-29.9748), array(-29.5804), array(-29.8022), array(-29.8684), array(-29.522), array(-30.0048), array(-28.9356), array(-28.726), array(-29.6876), array(-29.7448), array(-29.72), array(-30.937)]","[1, 1, 1, 1, 1, 1, 1, 1, 1]",9,"[1.0, 1.0, 0, 1.0, 0, 0, 0, 1.0, 0]",12.25,[3.27608063 1.2565325 ],0.0413
18,2,uniform,vanilla,5,>>graph6<<DkO,14.652966976165771,87,"[array(-2.932), array(3.5786), array(3.4312), array(2.4492), array(-2.6674), array(-0.7468), array(-0.639), array(-4.3098), array(1.1592), array(-4.222), array(-1.503), array(0.6114), array(-4.255), array(-3.9996), array(-4.1816), array(-3.3238), array(-4.2558), array(-4.1734), array(-4.2692), array(-4.3186), array(-4.1198), array(-4.3398), array(-4.272), array(-4.3594), array(-4.2902), array(-4.3686), array(-4.3956), array(-4.442), array(-4.3968), array(-4.4248), array(-4.3768), array(-4.3876), array(-4.41), array(-4.379), array(-4.416), array(-4.4106), array(-4.3426), array(-4.4428), array(-4.4488), array(-4.4498), array(-4.359), array(-4.435), array(-4.398), array(-4.4238), array(-4.4244), array(-4.4188), array(-4.4126), array(-4.4626), array(-4.4484), array(-4.4322), array(-4.4322), array(-4.4258), array(-4.4582), array(-4.409), array(-4.479), array(-4.455), array(-4.4262), array(-4.4428), array(-4.4216), array(-4.4454), array(-4.4046), array(-4.4866), array(-4.4822), array(-4.416), array(-4.4574), array(-4.4126), array(-4.4368), array(-4.444), array(-4.4262), array(-4.4248), array(-4.3606), array(-4.412), array(-4.412), array(-4.4176), array(-4.4422), array(-4.45), array(-4.3904), array(-4.3806), array(-4.4394), array(-4.4368), array(-4.4612), array(-4.4386), array(-4.4332), array(-4.485), array(-4.484), array(-4.3922), array(-4.4076)]","[1, 1, 1, 1, 1]",5,"[1.0, 0, 0, 1.0, 0]",2.5,[2.59271407 0.01731123 0.14037343 0.06305027],0.10289999999999999
19,2,uniform,vanilla,5,>>graph6<<Dm{,17.50901746749878,81,"[array(3.5676), array(13.4988), array(20.5916), array(4.5434), array(5.3842), array(-4.1472), array(0.9282), array(3.8374), array(4.7112), array(2.2456), array(2.0242), array(1.7116), array(-4.9858), array(-6.0768), array(-6.8666), array(2.9702), array(-3.6462), array(20.4408), array(-5.126), array(-6.497), array(-6.3354), array(-6.1304), array(-6.833), array(-7.0818), array(-6.7146), array(-6.5908), array(-6.9858), array(-6.9196), array(-7.1604), array(-6.8778), array(-6.9674), array(-6.9704), array(-6.809), array(-7.0146), array(-6.9084), array(-7.004), array(-7.0174), array(-7.096), array(-6.9512), array(-7.0934), array(-6.8706), array(-7.1114), array(-7.1048), array(-7.0646), array(-6.8504), array(-6.9518), array(-6.779), array(-6.9658), array(-6.9144), array(-6.8082), array(-6.885), array(-7.1152), array(-7.048), array(-7.2382), array(-7.1614), array(-6.7962), array(-7.1574), array(-7.1024), array(-7.0238), array(-7.0456), array(-7.16), array(-6.9434), array(-6.9484), array(-7.2086), array(-7.0604), array(-7.2356), array(-6.6204), array(-6.7764), array(-6.918), array(-6.966), array(-6.8868), array(-6.8614), array(-6.8946), array(-7.1458), array(-7.0968), array(-6.9092), array(-7.0846), array(-7.1154), array(-7.1774), array(-7.0326), array(-6.8162)]","[1, 1, 1, 1, 0]",4,"[1.0, 0, 0, 0, 1.0]",3.75,[-0.58877338  0.49051826  6.46822756  1.95087759],0.0374
