param_initialization,qaoa_variant,warm_start,depth,graph_size,graph_name,time_elapsed,quantum_func_evals,quantum_solution,quantum_obj_value,classic_solution,classic_value,obj_func_evolution,
49,uniform,vanilla,True,3,9,F?~vw,442.75906348228455,43,"[array(0.0579905), array(0.00946201), array(0.07180868), array(0.03618985), array(0.05044735), array(0.03531216), array(0.01887637), array(-0.03975574), array(-0.04530715), array(0.05887425), array(0.04602284), array(-0.02980276), array(-0.01540117), array(-0.07799877), array(-0.05588495), array(-0.02734329), array(-0.11712765), array(-0.04728831), array(-0.03025439), array(-0.03422919), array(-0.04461651), array(0.00543581), array(-0.05444084), array(-0.01491543), array(-0.02751221), array(-0.05011264), array(-0.07536169), array(-0.05823093), array(-0.08398863), array(-0.00788737), array(-0.05243139), array(-0.04574487), array(-0.01586135), array(-0.04620377), array(-0.04992646), array(-0.05618058), array(-0.07118418), array(-0.11081561), array(-0.04254753), array(-0.00760358), array(-0.04178843), array(-0.03860101), array(0.01569125)]","[1, 1, 1, 1, 1, 0, 0]",5.136949160124757,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.76637017433752
50,uniform,vanilla,True,3,9,FCOfw,433.94520115852356,43,"[array(-0.29445619), array(0.50294243), array(-0.0343431), array(-0.03373968), array(0.20531839), array(-0.11215886), array(0.04422331), array(0.56441599), array(-0.07981392), array(-0.36256474), array(-0.26620995), array(-0.29829817), array(-0.22727716), array(-0.34713426), array(-0.28939942), array(-0.43738968), array(-0.4763614), array(-0.53748788), array(-0.53456131), array(-0.44667213), array(-0.42392788), array(-0.46682911), array(-0.49910929), array(-0.40940864), array(-0.49255296), array(-0.50726532), array(-0.40913871), array(-0.50955182), array(-0.48464751), array(-0.45621096), array(-0.5142084), array(-0.52693402), array(-0.49549794), array(-0.50806843), array(-0.51882722), array(-0.51710528), array(-0.44715403), array(-0.49505572), array(-0.453187), array(-0.56784344), array(-0.49650098), array(-0.55833724), array(-0.492574)]","[0, 0, 1, 1, 1, 0, 0]",4.362722409250714,"[0, 0, 1.0, 1.0, 1.0, 0, 0]",4.362722409250715
51,uniform,vanilla,True,3,9,FQzvO,419.92181491851807,41,"[array(0.17581976), array(0.19365389), array(0.38909304), array(0.32664123), array(0.14592961), array(0.16655323), array(0.13604482), array(-0.0828988), array(0.08092878), array(0.01622252), array(0.24724957), array(-0.05685874), array(-0.04207096), array(0.09554458), array(-0.03793957), array(-0.04900631), array(-0.03062624), array(0.08078191), array(-0.07762284), array(-0.06664638), array(-0.07571022), array(0.03372648), array(-0.07423725), array(-0.00243093), array(-0.05808182), array(-0.10161315), array(-0.01365275), array(-0.03148811), array(-0.00347574), array(-0.0491314), array(-0.11382415), array(-0.06103134), array(-0.07818164), array(-0.05398164), array(-0.03151505), array(0.00716565), array(-0.03862258), array(-0.02182918), array(-0.04743866), array(-0.02045306), array(-0.02238407)]","[0, 0, 0, 1, 1, 1, 1]",4.641189136142812,"[0, 0, 1.0, 0, 0, 1.0, 1.0]",5.546261575784191
52,uniform,vanilla,True,3,9,FQjdg,322.33094906806946,32,"[array(0.15058159), array(0.01088158), array(0.18028653), array(0.16416523), array(-0.07487838), array(0.06102601), array(-0.10724919), array(-0.06770132), array(-0.06171564), array(-0.03653565), array(-0.09576742), array(-0.08604254), array(-0.02040806), array(-0.00073372), array(-0.07188427), array(-0.05293195), array(-0.06561117), array(-0.03732536), array(-0.09506666), array(0.010119), array(-0.01384148), array(-0.06460143), array(-0.07855578), array(-0.04298336), array(-0.04848282), array(-0.04414009), array(-0.0902907), array(-0.07392623), array(-0.07155124), array(-0.05482266), array(-0.02187087), array(-0.04137985)]","[1, 1, 0, 1, 0, 0, 1]",3.1347404539729373,"[1.0, 0, 0, 1.0, 0, 1.0, 0]",4.435975452335594
53,uniform,vanilla,True,3,9,FCR`w,550.7479186058044,55,"[array(0.06430039), array(0.04385039), array(0.10485589), array(0.10883247), array(-0.09548888), array(-0.13701232), array(-0.13000476), array(-0.17987831), array(-0.11635053), array(0.04792794), array(-0.12289812), array(-0.16176814), array(0.00276675), array(-0.10398621), array(-0.03970877), array(-0.21344536), array(-0.19576689), array(-0.14541031), array(-0.31772085), array(-0.33105555), array(-0.31966504), array(-0.42621007), array(-0.51139147), array(-0.4870104), array(-0.52833172), array(-0.60444924), array(-0.42587705), array(-0.55694015), array(-0.59808408), array(-0.61050755), array(-0.64167119), array(-0.64463037), array(-0.65492252), array(-0.7205789), array(-0.65941062), array(-0.68614069), array(-0.80094456), array(-0.69354182), array(-0.63410684), array(-0.74807827), array(-0.6982644), array(-0.64448675), array(-0.62627842), array(-0.64826331), array(-0.70296175), array(-0.66970281), array(-0.70369725), array(-0.65592454), array(-0.71963411), array(-0.70689148), array(-0.71176217), array(-0.68327119), array(-0.63484019), array(-0.60114607), array(-0.72696209)]","[0, 0, 1, 1, 1, 1, 0]",5.11808513939146,"[0, 0, 1.0, 1.0, 1.0, 1.0, 0]",5.11808513939146
54,uniform,vanilla,True,3,9,F~~~w,397.1371896266937,38,"[array(0.00598532), array(0.03276501), array(0.02995209), array(0.01736957), array(-0.02708352), array(0.07766369), array(-0.0348953), array(0.0502418), array(-0.09189832), array(0.0025295), array(-0.07020155), array(-0.07225164), array(-0.09852404), array(-0.02940284), array(-0.05690577), array(-0.0587556), array(0.00223456), array(0.02625056), array(-0.14225865), array(-0.0741017), array(-0.05244084), array(-0.10319031), array(-0.06842703), array(0.002455), array(-0.05352846), array(-0.09292069), array(-0.06750835), array(-0.02566057), array(-0.1125369), array(-0.11936294), array(-0.0555894), array(-0.08313703), array(-0.11764354), array(-0.11270782), array(-0.05057672), array(-0.09848533), array(-0.11915663), array(-0.13629653)]","[1, 1, 0, 0, 1, 0, 0]",6.739036643909061,"[0, 0, 1.0, 1.0, 0, 0, 1.0]",7.632510861100366
55,uniform,vanilla,True,3,9,FQinw,466.35924220085144,46,"[array(-0.19495297), array(0.26107742), array(-0.3586677), array(-0.03659595), array(-0.19981135), array(-0.34429984), array(-0.1308911), array(0.08695115), array(-0.21037915), array(-0.33567131), array(-0.36642469), array(-0.37948299), array(-0.37527737), array(-0.34323775), array(-0.36711847), array(-0.39970452), array(-0.40971419), array(-0.40275481), array(-0.35819105), array(-0.3868694), array(-0.4056136), array(-0.41998294), array(-0.43676985), array(-0.3687356), array(-0.42773964), array(-0.44655433), array(-0.41991815), array(-0.39927398), array(-0.44838719), array(-0.42731535), array(-0.37272652), array(-0.43526272), array(-0.43837801), array(-0.42134863), array(-0.42652389), array(-0.40506347), array(-0.43831549), array(-0.41240764), array(-0.44065918), array(-0.45680858), array(-0.42412085), array(-0.40763821), array(-0.43496374), array(-0.40345845), array(-0.38404847), array(-0.4447813)]","[1, 1, 1, 1, 1, 0, 0]",4.584620798581043,"[1.0, 1.0, 1.0, 1.0, 1.0, 0, 0]",4.584620798581044
56,uniform,vanilla,True,3,9,F?zPw,420.8576636314392,42,"[array(-0.03478563), array(-0.10719311), array(-0.04629102), array(-0.10762828), array(-0.14090056), array(-0.15817648), array(-0.12434888), array(0.15988337), array(-0.2583279), array(-0.23921722), array(-0.21480352), array(-0.39382265), array(-0.15595253), array(-0.43637425), array(-0.44027665), array(-0.43201419), array(-0.33555831), array(-0.41400842), array(-0.37416226), array(-0.47737805), array(-0.5117544), array(-0.51109252), array(-0.42370669), array(-0.54297625), array(-0.41760139), array(-0.41771876), array(-0.42933485), array(-0.43144212), array(-0.43038761), array(-0.44851145), array(-0.45010374), array(-0.45394053), array(-0.45134317), array(-0.48464786), array(-0.44610964), array(-0.48346851), array(-0.53561856), array(-0.46368423), array(-0.49534715), array(-0.49083488), array(-0.44587399), array(-0.43092577)]","[0, 0, 1, 1, 0, 1, 0]",3.894767048580954,"[1.0, 1.0, 1.0, 0, 0, 0, 1.0]",4.175628727248147
57,uniform,vanilla,True,3,9,FCzcw,487.72388076782227,49,"[array(-0.11142684), array(0.12195315), array(-0.10687742), array(-0.13849719), array(-0.1245656), array(-0.14476737), array(-0.12295905), array(0.11013617), array(-0.2004922), array(-0.03499853), array(-0.07804065), array(-0.27777287), array(-0.01442437), array(-0.26514022), array(-0.36441266), array(-0.39935144), array(-0.32379166), array(-0.42413797), array(-0.2336296), array(-0.40983921), array(-0.33212109), array(-0.44388381), array(-0.43227205), array(-0.4547614), array(-0.45497674), array(-0.31473819), array(-0.43802109), array(-0.45197795), array(-0.46268119), array(-0.44352815), array(-0.48650229), array(-0.42636327), array(-0.50822206), array(-0.42920676), array(-0.44704217), array(-0.47055344), array(-0.47857109), array(-0.47345078), array(-0.45942476), array(-0.47436992), array(-0.42668477), array(-0.49782742), array(-0.47018144), array(-0.48793542), array(-0.4575496), array(-0.43217667), array(-0.47582165), array(-0.47518994), array(-0.44351779)]","[1, 1, 1, 0, 0, 0, 1]",3.607591052789439,"[1.0, 1.0, 1.0, 0, 0, 0, 1.0]",3.607591052789439
58,uniform,vanilla,True,3,9,FCf~w,514.7961776256561,51,"[array(-0.04298781), array(0.01992234), array(0.02363733), array(0.02324411), array(0.00043796), array(-0.00191564), array(0.04237008), array(-0.03043807), array(-0.04706346), array(-0.02933408), array(0.02792125), array(-0.02903577), array(-0.00171754), array(0.03477744), array(0.05842704), array(-0.04954247), array(-0.07699821), array(-0.03417956), array(-0.04342661), array(-0.04737455), array(-0.0851178), array(-0.04100916), array(-0.08060996), array(0.01677705), array(-0.03776981), array(-0.08523252), array(-0.08621951), array(-0.00636644), array(-0.07625953), array(-0.07511288), array(-0.03513573), array(0.00851934), array(0.00045436), array(0.02634461), array(-0.07887968), array(-0.05114354), array(-0.08112626), array(-0.01405455), array(-0.08653408), array(-0.05969079), array(0.01265885), array(-0.08569745), array(-0.06840227), array(-0.08099164), array(-0.08882962), array(-0.02343073), array(-0.03284591), array(0.03596225), array(-0.04125126), array(-0.01997646), array(-0.03332165)]","[0, 0, 1, 1, 1, 1, 0]",3.4831622940882863,"[1.0, 1.0, 1.0, 1.0, 1.0, 0, 0]",5.576647441350781
59,uniform,vanilla,True,3,9,F?bro,423.91828632354736,43,"[array(-0.20702926), array(0.02960192), array(-0.04743475), array(-0.27394548), array(-0.25964133), array(-0.02343597), array(-0.2330594), array(0.04427178), array(-0.29598252), array(-0.34188022), array(-0.24591112), array(-0.35731478), array(-0.19064936), array(-0.36138112), array(-0.15830889), array(-0.30055932), array(-0.25702158), array(-0.26994776), array(-0.37734652), array(-0.41322154), array(-0.4266929), array(-0.39335779), array(-0.38400732), array(-0.40954896), array(-0.43152002), array(-0.39989543), array(-0.41355096), array(-0.3918278), array(-0.43945303), array(-0.40897791), array(-0.43182326), array(-0.40717554), array(-0.37668529), array(-0.41211586), array(-0.42411965), array(-0.40668819), array(-0.41100059), array(-0.39802069), array(-0.41220102), array(-0.41167346), array(-0.36797201), array(-0.4459549), array(-0.42451738)]","[0, 0, 0, 0, 1, 1, 0]",2.3763345583148823,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0]",2.7452423862481785
60,uniform,vanilla,True,3,9,GCZMY{,348.6821274757385,35,"[array(-0.00890918), array(-0.1952831), array(0.17576831), array(0.07096963), array(-0.01892349), array(0.01097572), array(-0.17628934), array(-0.10887899), array(-0.31854606), array(-0.24948681), array(-0.15471833), array(-0.14267836), array(-0.12073125), array(-0.1935849), array(-0.21531347), array(-0.0544919), array(-0.15865387), array(-0.24043244), array(-0.23398245), array(-0.21278181), array(-0.18368533), array(-0.22518002), array(-0.25758549), array(-0.22713462), array(-0.23844779), array(-0.16670635), array(-0.20648947), array(-0.23171592), array(-0.21856061), array(-0.16865814), array(-0.27172127), array(-0.24520914), array(-0.25861944), array(-0.27732014), array(-0.2075153)]","[1, 0, 1, 1, 1, 1, 0, 0]",5.216632442211712,"[1.0, 0, 0, 0, 1.0, 0, 0, 1.0]",6.1656518279704855
61,uniform,vanilla,True,3,9,GCqnfc,427.0099129676819,44,"[array(0.48332496), array(0.05023263), array(0.28888094), array(-0.03827729), array(0.16393024), array(0.24135564), array(0.01572056), array(-0.3661713), array(0.026424), array(0.10700354), array(-0.3417725), array(-0.41978345), array(-0.57488511), array(-0.28854069), array(-0.55854835), array(-0.28176223), array(-0.67301005), array(-0.65893899), array(-0.63547717), array(-0.70049264), array(-0.71466481), array(-0.6832604), array(-0.71488106), array(-0.73497878), array(-0.69496737), array(-0.63116733), array(-0.63789378), array(-0.72074974), array(-0.73119655), array(-0.71382346), array(-0.67430718), array(-0.71069751), array(-0.70785024), array(-0.72095721), array(-0.7035524), array(-0.70716387), array(-0.7067138), array(-0.72442679), array(-0.77880579), array(-0.6794415), array(-0.74270076), array(-0.73846787), array(-0.6959098), array(-0.68211245)]","[1, 1, 1, 1, 0, 1, 0, 0]",5.45351934250716,"[0, 1.0, 1.0, 1.0, 0, 1.0, 0, 0]",5.497646681997324
62,uniform,vanilla,True,3,9,GCrb`o,419.1211380958557,43,"[array(-0.08401461), array(-0.10218356), array(-0.0896202), array(0.00905853), array(-0.0034601), array(0.09734925), array(0.0447572), array(0.23362868), array(-0.00336171), array(-0.10806471), array(-0.17871141), array(-0.11148618), array(-0.1690472), array(-0.20040335), array(-0.02894959), array(-0.18374625), array(-0.17001055), array(-0.20502534), array(-0.09544455), array(-0.15682416), array(-0.13341792), array(-0.22254807), array(-0.24569915), array(-0.25186519), array(-0.23556347), array(-0.19418941), array(-0.19792949), array(-0.26708283), array(-0.25862459), array(-0.22071892), array(-0.1633961), array(-0.18621975), array(-0.22393757), array(-0.18760869), array(-0.21262501), array(-0.19782292), array(-0.19487191), array(-0.23601423), array(-0.20605601), array(-0.25045898), array(-0.24345382), array(-0.21304207), array(-0.19319111)]","[1, 0, 1, 1, 0, 0, 1, 0]",5.042559085168672,"[1.0, 1.0, 1.0, 0, 0, 0, 0, 1.0]",5.746790969279266
63,uniform,vanilla,True,3,9,G?`c^c,386.94724559783936,40,"[array(-0.05452384), array(0.1130727), array(0.02049426), array(-0.05041429), array(-0.02693451), array(-0.02239628), array(-0.15084496), array(-0.02243967), array(-0.31981445), array(-0.34646941), array(-0.21975892), array(-0.29865867), array(-0.2584194), array(-0.28064713), array(-0.26906955), array(-0.24520715), array(-0.277854), array(-0.32636153), array(-0.35527472), array(-0.33554858), array(-0.27403569), array(-0.35195477), array(-0.30982166), array(-0.33373534), array(-0.38126703), array(-0.36548837), array(-0.28697114), array(-0.27997352), array(-0.35630986), array(-0.28914628), array(-0.28201064), array(-0.30687666), array(-0.30683615), array(-0.39448691), array(-0.26754433), array(-0.32751888), array(-0.29300146), array(-0.36145167), array(-0.29697999), array(-0.26023453)]","[1, 1, 1, 1, 0, 0, 1, 0]",5.456219255426035,"[0, 0, 0, 0, 1.0, 1.0, 0, 1.0]",5.456219255426036
64,uniform,vanilla,True,3,9,GCY^fo,469.3135793209076,48,"[array(-0.00536474), array(-0.13362931), array(-0.24873692), array(-0.04155421), array(-0.12265487), array(-0.27192175), array(-0.12698452), array(-0.06291611), array(-0.13459326), array(-0.21919396), array(-0.01822768), array(-0.28821256), array(-0.20478311), array(-0.28399687), array(-0.28557284), array(-0.28781336), array(-0.24099124), array(-0.27533551), array(-0.29110802), array(-0.27518993), array(-0.2772337), array(-0.31568826), array(-0.35325793), array(-0.29315146), array(-0.29962746), array(-0.32438923), array(-0.30527709), array(-0.27688345), array(-0.26584636), array(-0.23600743), array(-0.30044361), array(-0.20399852), array(-0.27036321), array(-0.22908638), array(-0.26505476), array(-0.33257134), array(-0.2794501), array(-0.35737128), array(-0.27850339), array(-0.23501768), array(-0.27669956), array(-0.26898234), array(-0.32742054), array(-0.27139575), array(-0.23429492), array(-0.20071206), array(-0.32749925), array(-0.36443523)]","[0, 0, 0, 0, 1, 1, 1, 1]",6.479057280322159,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0, 0]",6.479057280322161
65,uniform,vanilla,True,3,9,G?BDvw,366.373028755188,38,"[array(-0.09086262), array(0.01315997), array(0.06081518), array(-0.29012001), array(-0.05171912), array(-0.24718855), array(-0.17274633), array(-0.17667282), array(0.03474953), array(-0.46108789), array(-0.19762428), array(-0.41816172), array(-0.28840809), array(-0.49145099), array(-0.41750069), array(-0.51836609), array(-0.53669035), array(-0.46601613), array(-0.51265026), array(-0.37925782), array(-0.51126203), array(-0.48247502), array(-0.47573619), array(-0.45277702), array(-0.47589801), array(-0.42375366), array(-0.40774054), array(-0.47479325), array(-0.44829434), array(-0.42245088), array(-0.46463098), array(-0.39042598), array(-0.44942587), array(-0.46600405), array(-0.52956979), array(-0.45070316), array(-0.48360709), array(-0.45972103)]","[0, 0, 0, 0, 0, 1, 1, 1]",6.131206333504157,"[1.0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0]",6.1312063335041564
66,uniform,vanilla,True,3,9,GCrrt[,379.63279581069946,39,"[array(-0.02301803), array(0.47673271), array(-0.46753222), array(-0.12868979), array(-0.03015922), array(-0.47195447), array(-0.39387722), array(-0.05773417), array(-0.56018822), array(-0.5649291), array(-0.29223339), array(-0.53500853), array(-0.38222073), array(-0.52699143), array(-0.50641999), array(-0.66010504), array(-0.67491564), array(-0.62881938), array(-0.63628579), array(-0.57275049), array(-0.62840858), array(-0.62508327), array(-0.57463315), array(-0.6250791), array(-0.63105066), array(-0.54732625), array(-0.62824543), array(-0.63066491), array(-0.5786292), array(-0.59737752), array(-0.55929226), array(-0.59750783), array(-0.66799729), array(-0.64497781), array(-0.57907487), array(-0.58715326), array(-0.57784138), array(-0.63699218), array(-0.63180279)]","[1, 0, 0, 0, 0, 1, 1, 0]",6.832223019458334,"[0, 1.0, 1.0, 1.0, 1.0, 0, 0, 1.0]",6.832223019458334
67,uniform,vanilla,True,3,9,G?`cno,347.30200362205505,36,"[array(0.50595719), array(-0.26914688), array(-0.08809204), array(-0.09347269), array(-0.08079648), array(-0.20881396), array(-0.27435696), array(-0.02542617), array(0.08487723), array(-0.177266), array(-0.21497239), array(-0.25365216), array(-0.3036855), array(-0.33434623), array(-0.30175709), array(-0.36618727), array(-0.33693405), array(-0.41832604), array(-0.2990129), array(-0.34557357), array(-0.32833299), array(-0.31662155), array(-0.3499019), array(-0.33788308), array(-0.34881985), array(-0.33289836), array(-0.3194547), array(-0.40043607), array(-0.34527097), array(-0.29068506), array(-0.36906543), array(-0.32772189), array(-0.33769501), array(-0.40864981), array(-0.39752971), array(-0.34817062)]","[0, 1, 1, 1, 1, 0, 0, 0]",4.507230900842529,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0, 0]",5.211623763820935
68,uniform,vanilla,True,3,9,G?BDn[,384.4558575153351,40,"[array(0.19855023), array(-0.02876276), array(-0.11881017), array(-0.06056739), array(-0.13658745), array(0.00824938), array(-0.07383506), array(0.00939279), array(-0.1482653), array(-0.12370911), array(-0.1010993), array(-0.11997092), array(-0.12110054), array(-0.14665308), array(-0.14435043), array(-0.12985555), array(-0.11244891), array(-0.09294457), array(-0.17230479), array(-0.12139454), array(-0.1382755), array(-0.16174778), array(-0.13994947), array(-0.09682228), array(-0.11054583), array(-0.12926725), array(-0.07342177), array(-0.14683004), array(-0.14846141), array(-0.09419608), array(-0.1269289), array(-0.09703691), array(-0.18574095), array(-0.13257767), array(-0.1313056), array(-0.15658167), array(-0.1092807), array(-0.1471002), array(-0.13213827), array(-0.11047409)]","[1, 0, 0, 0, 1, 1, 0, 0]",3.7979941497194964,"[0, 0, 0, 1.0, 0, 1.0, 0, 1.0]",5.636585732809579
69,uniform,vanilla,True,3,9,GCRVF[,377.67786288261414,39,"[array(-0.05865233), array(-0.0056793), array(0.07712222), array(-0.07691117), array(-0.09560977), array(-0.03352862), array(-0.05966407), array(0.0213168), array(-0.09738086), array(-0.01169613), array(-0.07789672), array(-0.05488124), array(-0.16258915), array(-0.14348397), array(-0.0057664), array(-0.0470589), array(-0.06477361), array(-0.0576179), array(0.00965508), array(-0.03421657), array(-0.04199124), array(-0.09599688), array(-0.06058052), array(-0.09119228), array(-0.12857181), array(-0.10914331), array(-0.05534197), array(-0.12501194), array(-0.0717802), array(-0.08773399), array(-0.09592495), array(-0.0709114), array(-0.11866342), array(-0.08093821), array(-0.13300791), array(-0.10516389), array(-0.13022507), array(-0.16125141), array(-0.06350809)]","[0, 0, 0, 0, 1, 1, 1, 1]",6.069347106075864,"[1.0, 1.0, 1.0, 0, 0, 0, 0, 0]",6.49004782359108
70,uniform,vanilla,True,3,9,GCXmf{,466.1004204750061,48,"[array(-0.01546067), array(0.09371291), array(-0.12181358), array(-0.03772329), array(-0.2817389), array(-0.36422059), array(-0.27780636), array(0.02155855), array(-0.33125543), array(-0.28845502), array(-0.24853648), array(-0.3757135), array(-0.38875252), array(-0.39401324), array(-0.39075697), array(-0.28159367), array(-0.47524831), array(-0.43785772), array(-0.48390615), array(-0.50930286), array(-0.58819553), array(-0.49137022), array(-0.47861923), array(-0.54015333), array(-0.52922023), array(-0.50665806), array(-0.48963383), array(-0.50179731), array(-0.46282261), array(-0.4689383), array(-0.52847132), array(-0.51117973), array(-0.5231542), array(-0.49850064), array(-0.53611216), array(-0.5212415), array(-0.52582286), array(-0.42222989), array(-0.54754356), array(-0.46923185), array(-0.46271038), array(-0.48688835), array(-0.60293178), array(-0.46248492), array(-0.51300101), array(-0.5116405), array(-0.45227533), array(-0.55793782)]","[0, 0, 0, 0, 1, 1, 1, 1]",6.856126558148147,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0, 0]",6.856126558148148
71,uniform,vanilla,True,3,9,G?qm]s,426.77888226509094,44,"[array(-0.04768415), array(-0.00660188), array(-0.03802355), array(-0.05648527), array(0.05130239), array(-0.05131072), array(0.07240598), array(0.11345896), array(-0.00786347), array(0.22917939), array(-0.30838048), array(-0.14054877), array(-0.23337685), array(-0.25425291), array(-0.41750934), array(-0.38905284), array(-0.40062505), array(-0.19270442), array(-0.35266724), array(-0.34913297), array(-0.41213774), array(-0.39884372), array(-0.35253841), array(-0.38816232), array(-0.36615874), array(-0.43466177), array(-0.38630808), array(-0.40690044), array(-0.42348148), array(-0.38384976), array(-0.46392452), array(-0.44141344), array(-0.41131417), array(-0.43371114), array(-0.43079978), array(-0.45320255), array(-0.43109539), array(-0.41144477), array(-0.37312578), array(-0.36087397), array(-0.44067698), array(-0.40382584), array(-0.44784201), array(-0.39890544)]","[1, 1, 0, 1, 0, 0, 0, 0]",5.609903282505742,"[1.0, 0, 1.0, 0, 1.0, 0, 0, 1.0]",6.047342113736631
72,uniform,vanilla,True,3,9,GEit^[,298.7583076953888,31,"[array(-0.00291061), array(0.09938611), array(-0.0164762), array(0.0340631), array(0.01734343), array(-0.01901126), array(0.037835), array(0.01619151), array(-0.01431184), array(-0.05453491), array(0.06369241), array(0.04773386), array(0.0393749), array(0.05194936), array(-0.00500742), array(0.08292381), array(-0.05012784), array(0.07659432), array(0.06349239), array(0.05931989), array(0.02310987), array(0.06980669), array(0.00995832), array(-0.03883218), array(0.09352829), array(0.05041205), array(0.05172362), array(0.01709845), array(0.04974379), array(-0.01726558), array(0.06214249)]","[1, 1, 1, 1, 0, 0, 0, 1]",5.229383420798083,"[1.0, 1.0, 0, 0, 1.0, 1.0, 0, 0]",7.82556732702197
73,uniform,vanilla,True,3,9,GCXk~{,358.7527768611908,37,"[array(0.22489269), array(0.21073018), array(0.08250927), array(-0.0026307), array(-0.00688868), array(-0.05312971), array(-0.01915162), array(0.03240939), array(0.04048532), array(0.02028882), array(0.00257173), array(-0.01259456), array(-0.05250441), array(-0.05717334), array(-0.02901239), array(-0.04772023), array(-0.06106296), array(0.0264785), array(0.04505885), array(-0.00284857), array(-0.06633234), array(-0.0660448), array(0.03003062), array(-0.00414069), array(-0.00054068), array(-0.04468923), array(-0.02606498), array(0.00783197), array(0.00586296), array(-0.05890627), array(0.06946261), array(-0.00640456), array(-0.02261543), array(0.00398013), array(-0.04181146), array(0.03737277), array(0.01818415)]","[1, 1, 0, 1, 1, 0, 0, 1]",4.940016976423868,"[1.0, 0, 0, 0, 0, 1.0, 0, 1.0]",6.510915383817328
74,uniform,vanilla,True,3,9,G?B@~w,479.1752116680145,50,"[array(-0.04998976), array(0.00966225), array(-0.20861568), array(-0.19861707), array(-0.20739147), array(-0.19366555), array(0.00069241), array(-0.25366138), array(-0.00758753), array(-0.2662714), array(-0.17380039), array(-0.20291043), array(-0.28825427), array(-0.13089414), array(-0.37367562), array(-0.3851345), array(-0.38830847), array(-0.25385572), array(-0.43362513), array(-0.39359528), array(-0.34576281), array(-0.41563754), array(-0.35215007), array(-0.4018947), array(-0.43532904), array(-0.45104768), array(-0.43379183), array(-0.47680782), array(-0.40264069), array(-0.31755784), array(-0.48063495), array(-0.41603063), array(-0.41190725), array(-0.424317), array(-0.41747827), array(-0.38814737), array(-0.42618982), array(-0.39222043), array(-0.4608463), array(-0.42243151), array(-0.46509446), array(-0.44870198), array(-0.42277394), array(-0.3955269), array(-0.40735073), array(-0.39864326), array(-0.45575016), array(-0.44278599), array(-0.42696586), array(-0.4203995)]","[0, 0, 0, 0, 1, 1, 0, 1]",3.7593134446360867,"[1.0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0]",3.93487022973433
75,uniform,vanilla,True,3,9,GCznZ{,384.65300989151,40,"[array(-0.04656938), array(0.04143625), array(-0.06685029), array(-0.0355641), array(-0.02015986), array(-0.09434684), array(0.05190126), array(0.03307495), array(-0.15558213), array(-0.13081292), array(-0.02200326), array(-0.08843071), array(-0.12941213), array(-0.12764845), array(-0.16217485), array(-0.16687042), array(-0.09686626), array(-0.07865434), array(-0.17405954), array(-0.0976273), array(-0.18155291), array(-0.05942185), array(-0.05541641), array(-0.08876434), array(-0.16752477), array(-0.03437413), array(-0.08275575), array(-0.08781157), array(-0.04211763), array(-0.09299629), array(-0.08656833), array(-0.05232517), array(-0.08305555), array(-0.06068917), array(-0.08245332), array(-0.09366425), array(-0.1006134), array(-0.08678648), array(-0.14625655), array(-0.03995227)]","[0, 1, 0, 1, 0, 1, 0, 0]",5.7045219202651225,"[0, 1.0, 0, 1.0, 0, 1.0, 1.0, 0]",7.456502049762939
76,uniform,vanilla,True,3,9,G?BfN{,376.24673104286194,39,"[array(0.01259516), array(0.16302541), array(0.22411301), array(-0.09872987), array(-0.06722578), array(-0.07980764), array(-0.07726857), array(-0.03931955), array(-0.12475627), array(-0.11873259), array(-0.03390773), array(-0.17101206), array(-0.05702153), array(-0.10419025), array(-0.17627262), array(-0.17679334), array(-0.12504561), array(-0.20906682), array(-0.19643638), array(-0.14018252), array(-0.14089362), array(-0.19495432), array(-0.16237387), array(-0.19485553), array(-0.18155377), array(-0.14904913), array(-0.19282316), array(-0.16257391), array(-0.19746311), array(-0.20743004), array(-0.16915397), array(-0.17570283), array(-0.19420534), array(-0.19565212), array(-0.16560749), array(-0.159473), array(-0.14983142), array(-0.18945098), array(-0.16818862)]","[1, 0, 1, 1, 1, 0, 1, 0]",3.234348122092194,"[1.0, 0, 1.0, 1.0, 1.0, 0, 1.0, 0]",3.234348122092194
77,uniform,vanilla,True,3,9,G?ovf{,327.78449416160583,34,"[array(-0.04726558), array(-0.10609518), array(0.17653204), array(-0.01272001), array(0.07295829), array(-0.13717494), array(0.11775368), array(-0.02174169), array(-0.02214026), array(-0.10319703), array(-0.15467673), array(-0.08780165), array(0.02198691), array(-0.09343066), array(-0.02953276), array(0.01841588), array(-0.00812002), array(-0.00837811), array(-0.06779951), array(-0.08033881), array(-0.04273924), array(-0.08034735), array(-0.03729202), array(-0.03723089), array(-0.0679558), array(-0.01492499), array(-0.08899549), array(-0.10120584), array(-0.07641311), array(-0.00537826), array(-0.01323195), array(-0.11148091), array(-0.09399619), array(-0.04894254)]","[0, 0, 0, 1, 1, 1, 0, 0]",4.50935326208889,"[1.0, 1.0, 1.0, 1.0, 0, 0, 0, 1.0]",6.242557566308028
